# USBR Lower Colorado Basin Annual reports: Arizona Game Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# 2005-2012 this is part of Cibola Valley
2013 26 34 225 236 167 184 459 182 166 189 0 0 1868 
2014 0 53 282 109 260 245 438 41 0 122 0 0 1550
2015 0 26 19 301 35 187 170 378 392 160 205 15 1888 
2016 70 18 355 300 265 298 216 105 27 161 296 0 2111 
2017 0 0 252 284 212 300 304 305 0 0 0 0 1657 
2018 222 0 297 381 275 331 259 308 225 0 0 0 2298 
2019 0 457 253 468 381 470 103 114 54 265 0 0 2565 
2020 0 318 0 308 464 194 98 235 193 204 0 0 2014 
2021 0 12 134 380 337 439 271 334 186 430 0 29 2552 
