# USBR Lower Colorado Basin Annual reports: Arizona Game Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# 2005-2012 this is part of Cibola Valley
2013 36 48 314 330 233 257 642 254 232 265 0 0 2611 
2014 0 74 394 153 363 342 613 57 0 170 0 0 2166 
2015 0 36 27 421 49 262 238 528 548 224 287 21 2641 
2016 98 25 497 419 371 417 302 147 38 225 414 0 2953 
2017 0 0 353 397 295 420 425 427 0 0 0 0 2317 
2018 311 0 416 532 385 463 361 431 315 0 0 0 3214 
2019 0 639 354 655 533 657 144 160 75 371 0 0 3588 
2020 0 445 0 431 649 271 137 328 270 286 0 0 2817 
2021 0 17 188 531 471 614 379 467 260 602 0 40 3569 
