# USBR Lower Colorado Basin Annual reports: Bureau of Land Management Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2016 32 50 73 82 105 156 75 99 59 94 72 43 940
2016 18 22 30 32 39 48 52 50 39 33 23 23 409 
2016 10 13 17 19 23 27 30 29 23 19 13 13 236
2017 32 44 68 10 100 84 104 161 105 153 108 95 1064 
2017 7 9 12 13 16 19 21 20 16 13 9 9 164 
2017 8 10 14 15 18 22 24 23 18 16 11 11 190
2018 46 48 59 99 97 17 47 286 21 9 26 14 769 
2018 6 7 10 11 13 16 17 16 13 11 8 7 135 
2018 6 8 10 11 14 17 18 17 14 12 8 8 143
2019 255 87 105 75 91 93 28 144 143 154 102 104 1381 
2019 7 8 11 12 15 18 20 19 15 12 9 9 155 
2019 8 10 13 14 18 22 24 23 18 15 11 10 186
2020 226 87 39 59 79 84 16 130 61 75 54 97 1007 
2020 5 6 8 9 11 13 14 14 11 9 6 6 112
2020 9 11 15 16 19 23 25 25 19 16 11 11 200
2021 21 51 30 170 87 97 195 155 85 78 73 46 1088 
2021 0 0 0 0 0 0 0 0 0 0 0 0 0 
2021 12 15 21 22 27 33 36 35 28 23 16 16 284 

