# USBR Lower Colorado Basin Annual reports: Brooke Water Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, cu data starts in 2003
1995 22 20 24 28 33 37 43 43 39 33 30 25 377
1996 26 24 27 32 40 41 43 44 37 33 26 25 396
1997 25 24 31 31 43 39 45 44 36 32 28 25 403
1998 25 22 26 29 36 39 46 43 37 31 25 24 382
1999 26 25 30 31 39 41 43 43 38 34 29 27 407
2000 27 26 27 34 42 43 47 45 39 32 28 26 416
2001 25 24 28 32 42 45 43 42 38 33 30 25 407
2002 26 24 29 32 39 41 46 45 38 31 28 25 404
# Real CU data starts here
2003 18 17 20 23 28 31 34 32 27 27 23 21 301 
2004 21 19 23 23 28 29 31 31 27 23 19 18 292 
2005 17 16 22 23 29 30 34 31 29 25 22 19 297
2006 22 25 25 21 27 27 31 32 29 24 23 20 306 
2007 13 13 21 13 28 30 30 29 25 24 21 17 264
2008 19 17 21 22 26 28 32 28 23 23 20 16 275 
2009 19 17 21 21 25 28 32 27 23 23 20 16 272
2010 18 16 16 21 19 23 27 29 27 25 21 20 262 
2011 14 13 12 15 17 17 22 21 22 20 16 14 203 
2012 17 13 15 17 17 21 23 22 22 17 18 17 219
2013 13 15 14 15 17 19 21 21 21 14 17 14 201 
2014 13 15 14 14 19 17 33 19 21 15 14 13 207 
2015 21 20 22 23 25 29 33 28 28 27 24 21 301
2016 21 21 26 23 25 29 31 29 30 25 25 24 309 
2017 22 22 28 25 29 30 34 33 34 29 27 26 339 
2018 23 22 26 27 28 28 33 30 27 27 26 23 320 
2019 23 24 23 24 26 29 27 33 30 25 24 25 313 
2020 21 22 23 27 31 32 35 31 46 27 24 24 343 
