# USBR Lower Colorado Basin Annual reports: Brooke Water Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1995 22 20 24 28 33 37 43 43 39 33 30 25 377 
1996 26 24 27 32 40 41 43 44 37 33 26 25 396
1997 25 24 31 31 43 39 45 44 36 32 28 25 403 
1998 25 22 26 29 36 39 46 43 37 31 25 24 382 
1999 26 25 30 31 39 41 43 43 38 34 29 27 407 
2000 27 26 27 34 42 43 47 45 39 32 28 26 416
2001 25 24 28 32 42 45 43 42 38 33 30 25 407
2002 26 24 29 32 39 41 46 45 38 31 28 25 404 
2003 27 25 30 34 42 46 51 48 41 41 34 32 451 
2004 31 29 34 35 42 43 46 47 40 35 28 27 437 
2005 25 24 33 34 44 45 51 46 43 37 33 29 444
2006 33 38 37 32 40 41 47 48 43 36 34 30 459 
2007 19 19 32 20 42 45 45 44 37 36 32 26 397 
2008 29 26 31 32 38 42 48 41 35 34 30 24 410 
2009 29 26 31 32 38 42 48 41 35 34 30 24 410 
2010 27 24 24 32 28 34 40 43 40 37 32 30 391 
2011 21 19 18 23 25 25 33 32 33 30 24 21 304 
2012 25 20 23 25 26 32 34 33 33 25 27 26 329 
2013 19 22 21 22 25 28 31 32 32 21 26 21 300 
2014 20 23 21 21 29 25 49 29 32 23 21 20 313 
2015 32 30 33 34 37 43 50 42 42 40 36 31 450 
2016 32 32 39 35 37 44 46 44 45 38 37 36 465 
2017 33 33 41 38 43 44 51 49 50 44 41 39 506 
2018 35 33 39 40 42 42 49 45 40 40 39 34 478 
2019 34 36 35 36 38 43 41 49 44 38 36 37 467 
2020 32 33 34 41 46 47 52 47 68 40 36 36 512
# Changed to EPCOR 2021
