# USBR Lower Colorado Basin Annual reports: Bullhead City Consumptive Us
# CU data really starts 2003
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1987 383 383 383 383 383 383 383 383 383 383 383 383 4596 
1988 396 396 396 396 396 396 396 396 396 396 396 396 4752
1989 277 196 318 424 444 490 555 554 506 454 381 318 4917
1990 # No Record
1991 408 388 335 434 504 578 627 686 539 624 455 353 5931 
1992 398 395 348 439 491 558 600 644 507 602 447 375 5804 
1993 369 339 416 601 717 729 829 846 588 547 466 428 6875 
1994 351 323 422 606 719 734 829 847 597 559 473 430 6890 
1995 429 423 483 516 653 673 783 770 734 650 439 438 6991 
1996 456 423 460 664 669 698 781 819 737 660 553 537 7457 
1997 449 409 525 608 832 743 811 818 727 650 517 621 7710 
1998 495 367 470 580 660 917 843 621 716 646 570 541 7426 
1999 436 477 581 607 650 810 841 838 753 698 596 531 7818
2000 544 502 578 636 824 851 821 857 763 682 559 512 8129 
2001 520 499 544 627 739 836 868 885 750 756 622 556 8202 
2002 550 517 563 700 776 764 994 938 816 752 616 589 8575 
2003 417 332 392 420 480 557 671 581 517 578 409 418 5774
2004 421 395 486 496 591 693 667 565 638 563 459 440 6414 
2005 417 353 462 530 741 695 773 744 667 703 553 675 7313
2006 527 513 542 571 689 759 803 887 690 736 526 523 7766 
2007 499 476 554 588 734 770 845 832 706 653 567 490 7714 
2008 464 445 501 571 646 657 766 671 626 675 513 427 6962 
2009 449 403 475 532 638 643 679 700 634 665 519 450 6787 
2010 437 381 475 489 561 711 708 722 648 577 486 445 6640 
2011 412 391 475 491 550 573 702 703 653 531 458 445 6384 
2012 420 350 490 470 623 614 686 669 624 503 502 385 6336 
2013 421 377 456 501 604 659 677 618 596 458 442 459 6268 
2014 454 425 463 523 632 687 695 706 653 616 478 540 6872 
2015 423 399 494 554 600 602 617 646 612 533 462 409 6351 
2016 407 519 368 512 539 655 668 671 608 552 503 453 6455 
2017 401 387 483 543 624 655 773 686 637 600 525 487 6801 
2018 486 384 384 445 571 608 651 661 637 534 488 430 6279 
2019 416 349 430 461 596 814 730 674 637 573 459 377 6516 
2020 430 420 411 471 605 634 724 719 700 567 511 514 6706 
2021 454 501 605 550 601 728 835 791 948 1024 717 527 8281 
