# USBR Lower Colorado Basin Annual reports: Bullhead City Davis Dam
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1991 1 4 3 9 15 14 10 12 10 13 7 4 102
1992 3 3 8 8 9 10 9 11 11 10 6 9 97
1993 23 20 4 6 9 13 18 15 9 8 8 5 138
1994 4 3 7 8 5 13 13 11 12 8 4 2 90
1995 2 2 3 5 6 13 14 10 12 8 0 2 77
1996 3 3 4 9 9 19 19 18 10 6 4 1 105
1997 2 1 7 10 13 13 14 13 8 5 5 3 94
1998 3 2 3 7 7 14 13 17 12 12 11 3 104
1999 5 6 11 9 11 14 15 19 15 11 7 4 128
2000 5 5 5 8 17 19 18 15 13 7 6 4 122
2001 3 2 3 6 11 14 18 15 12 9 3 7 104
2002 4 5 7 8 12 12 13 14 13 6 5 4 103
2003 3 3 3 6 7 11 12 6 2 6 2 3 66
2004 3 3 6 6 8 8 10 10 9 8 5 5 81 
2005 4 2 5 6 9 15 12 10 12 9 7 6 97
2006 8 6 7 9 11 12 9 11 9 6 6 7 101
2007 5 7 8 8 13 11 13 11 11 8 8 6 109
2008 5 6 8 7 10 11 13 11 10 8 9 5 103
2009 5 5 5 10 13 13 15 15 13 10 17 8 129
2010 4 0 7 8 14 10 14 14 9 4 3 1 88 
2011 0 0 1 1 2 1 1 2 1 1 1 0 11 
2012 0 0 1 3 1 1 1 1 1 0 0 0 9 
2013 0 0 1 0 1 1 1 1 1 0 0 1 7
