# USBR Lower Colorado Basin Annual reports: Bullhead City Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1987 383 383 383 383 383 383 383 383 383 383 383 383 4596 
1988 396 396 396 396 396 396 396 396 396 396 396 396 4752 
1989 277 196 318 424 444 490 555 554 506 454 381 318 4917
1990 342 300 349 397 457 494 578 549 465 476 418 354 5179
1991 407 384 332 425 489 564 617 674 529 611 448 349 5829
1991 1 4 3 9 15 14 10 12 10 13 7 4 102 # Mohave County Parks
1992 395 392 340 431 482 548 591 633 496 592 441 366 5707
1992 3 3 8 8 9 10 9 11 11 10 6 9 97
1993 346 319 412 595 708 716 811 831 579 539 458 423 6737
1993 23 20 4 6 9 13 18 15 9 8 8 5 138
1994 347 320 415 598 714 721 816 836 585 551 469 428 6800
1994 4 3 7 8 5 13 13 11 12 8 4 2 90
1995 427 421 480 511 647 660 769 760 722 642 439 436 6914
1995 2 2 3 5 6 13 14 10 12 8 0 2 77
1996 453 420 456 655 660 679 762 801 727 654 549 536 7352
1996 3 3 4 9 9 19 19 18 10 6 4 1 105
1997 447 408 518 598 819 730 797 805 719 645 512 618 7616
1997 2 1 7 10 13 13 14 13 8 5 5 3 94
1998 492 365 467 573 653 903 830 604 704 634 559 538 7322
1998 3 2 3 7 7 14 13 17 12 12 11 3 104
1999 431 471 570 598 639 796 826 819 738 687 589 527 7690  # checked, diff = 1 expected =  7690  got =  7691
1999 5 6 11 9 11 14 15 19 15 11 7 4 128
2000 539 497 573 628 807 832 803 842 750 675 553 508 8007
2000 5 5 5 8 17 19 18 15 13 7 6 4 122
2001 517 497 541 621 728 822 850 870 738 747 619 549 8098  # checked, diff = 1 expected =  8098  got =  8099
2001 3 2 3 6 11 14 18 15 12 9 3 7 104
2002 546 512 556 692 764 752 981 924 803 746 611 585 8472
2002 4 5 7 8 12 12 13 14 13 6 5 4 103
2003 619 492 582 621 710 821 989 861 769 857 609 620 8550
2003 3 3 3 6 7 11 12 6 2 6 2 3 66
2004 626 587 720 735 874 1026 985 834 943 832 680 652 9494
2004 3 3 6 6 8 8 10 10 9 8 5 5 81
2005 619 525 684 785 1097 1022 1142 1100 984 1041 818 1001 10818
2005 4 2 5 6 9 15 12 10 12 9 7 6 97
2006 779 760 802 843 1018 1121 1189 1313 1021 1092 779 774 11491
2006 8 6 7 9 11 12 9 11 9 6 6 7 101
2007 740 703 819 870 1083 1139 1248 1231 1042 966 838 726 11405
2007 5 7 8 8 13 11 13 11 11 8 8 6 109
2008 688 658 740 845 954 970 1131 991 925 999 757 632 10290
2008 5 6 8 7 10 11 13 11 10 8 9 5 103
2009 665 597 704 784 939 947 998 1030 933 983 758 663 10001
2009 5 5 5 10 13 13 15 15 13 10 17 8 129
2010 648 568 702 722 824 1051 1043 1064 958 857 723 663 9823
2010 4 0 7 8 14 10 14 14 9 4 3 1 88
2011 615 583 708 732 819 854 1047 1047 973 792 683 664 9517
2011 0 0 1 1 2 1 1 2 1 1 1 0 11
2012 627 523 731 698 929 915 1023 998 930 751 749 575 9449
2012 0 0 1 3 1 1 1 1 1 0 0 0 9
2013 628 563 679 748 901 983 1010 921 888 683 659 684 9347
2013 0 0 1 0 1 1 1 1 1 0 0 1 7
2014 677 634 690 780 943 1026 1037 1053 974 918 713 806 10251
2014 1 0 1 1 1 0 1 0 1 1 0 0 7
2015 631 596 736 826 894 896 919 963 912 795 690 611 9469
2015 0 0 2 1 1 2 2 1 2 1 0 0 12
2016 608 774 548 763 804 976 996 1000 907 823 750 676 9625
2016 0 1 1 1 1 1 1 1 1 1 1 0 10
2017 598 576 720 810 930 975 1151 1022 950 915 799 748 10194
2017 1 1 1 1 2 2 2 2 1 2 1 1 17
2018 752 663 720 781 932 950 1022 1026 1001 847 775 696 10165
2018 1 0 1 1 2 2 2 2 1 2 1 1 16
2019 675 567 693 735 889 1213 1091 1059 1000 905 732 610 10169
2019 0 1 1 1 1 2 2 2 1 1 1 1 14
2020 677 672 660 748 946 987 1122 1123 1094 886 802 797 10514
2020 1 1 1 1 1 2 2 2 2 1 1 1 16
2021 705 791 953 870 947 1133 1292 1230 1462 1566 1111 836 12896
2021 1 1 1 1 1 2 2 2 1 1 1 1 15
