# USBR Lower Colorado Basin Annual reports: Camille Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 1 1 2 3 3 4 4 3 3 2 2 1 29
1984 1 1 2 3 3 3 3 3 2 2 2 1 26
1985 0 0 0 1 1 1 1 1 1 1 0 0 7
1986 0 1 0 0 0 0 0 0 0 1 2 1 5
1987 1 1 1 1 4 5 2 2 2 1 0 1 21
1988 1 0 3 2 1 3 5 3 4 3 0 2 27
1989 0 2 3 5 4 4 3 0 1 1 1 1 25
1990 2 2 5 2 2 4 3 2 1 1 0 0 24
1991 0 0 0 0 8 2 2 1 4 3 2 4 26
1992 3 0 3 2 3 0 0 0 6 6 4 0 27 
1993 0 2 5 0 2 3 4 2 1 0 0 0 19 
1994 4 0 3 3 5 3 7 0 5 0 2 0 32 
1995 4 0 0 4 2 4 5 2 4 3 2 4 34 
1996 7 5 6 5 5 4 2 5 4 2 2 3 50 
1997 0 2 2 5 4 5 2 5 2 2 0 0 29 
1998 0 2 0 0 0 0 0 0 0 0 0 0 2
1999 0 0 0 0 0 0 0 0 0 0 0 0 0 
2000 5 4 7 8 10 12 13 12 10 8 6 5 100 
2001 0 0 8 8 0 0 0 0 0 0 0 0 16 
2002 1 0 0 16 25 20 20 9 10 0 0 0 101 
2003 0 0 0 4 5 20 14 69 3 3 0 2 120 
2004 0 0 7 5 6 10 3 5 0 2 0 0 38 
2005 0 0 0 1 0 0 0 0 0 0 0 0 1 
2006 0 0 0 0 0 0 0 0 0 0 0 0 0 
2007 0 0 0 0 0 0 0 0 0 0 0 0 0 
2008 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 0 0 0 0 0 0 0 0 0 0 0 0 0
