# USBR Lower Colorado Basin Annual reports: Cibola National Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, CU data starts in 2003
1976 1011 484 1007 1103 1116 1630 1447 1488 1539 863 969 783 13440
1977 146 818 806 1117 1031 1302 1289 1588 691 1145 875 570 11378
1978 519 39 503 923 988 1171 1424 1031 1278 737 399 394 9406
1979 478 700 1756 1779 1723 1517 913 797 1027 686 1039 1132 13547 # Real CU Data
1980 1606 876 2187 1971 1437 1217 1503 1549 1438 1106 455 567 15912 # Real CU Data
1981 762 432 1932 1253 1158 1329 1030 724 836 1029 999 748 12232  # Real CU Data
1982 604 570 800 877 737 1208 1191 934 514 294 416 105 8250
1983 36 93 217 956 938 988 952 688 653 431 431 119 6502
1984 36 162 404 487 814 869 561 519 472 550 440 120 5434
1985 22 84 215 384 544 823 569 847 956 615 682 540 6281
1986 486 38 210 299 520 524 581 382 857 765 765 959 6386
1987 208 120 116 473 387 394 297 142 446 1460 1349 905 6297
1988 175 198 408 776 634 1091 847 724 678 1747 1963 869 10110
1989 701 211 162 1175 950 1227 859 1055 998 1311 1973 1474 12096
1990 589 208 329 463 821 1088 696 708 1090 1147 1496 1353 9989
1990 18 15 25 27 33 40 43 42 33 27 19 19 340
1991 1641 1162 519 682 2923 1350 1369 986 2012 1767 1859 1482 17751
1992 1489 1157 1094 839 1042 1530 975 1189 1630 2074 1489 1623 16131
1993 635 509 868 937 1146 1389 1515 1458 1146 960 682 671 11916
1994 1007 1143 405 729 646 773 756 686 1193 691 398 345 8772
1995 252 229 368 1056 763 1214 1009 1131 929 1081 1596 738 10366
1996 597 532 851 784 1005 1479 2003 1328 1930 1428 1806 724 14467
1997 625 327 565 1384 1085 1827 1798 1778 1735 1555 1583 814 15075
1998 333 154 241 538 987 945 1036 511 0 716 653 322 6435
1999 149 143 163 660 967 850 1511 473 918 940 1005 380 8161
2000 790 315 1331 595 844 1596 1813 967 1529 2000 1843 944 14567
2001 908 596 155 650 1021 646 520 1131 1441 1472 1449 1034 11025
2002 635 792 861 1317 1298 1336 1458 1010 808 1678 1115 1032 13339
# Real CU data starts here
2003 717 410 706 702 807 682 593 587 919 1125 558 529 8335 
2004 277 154 251 596 627 557 595 716 962 1007 703 537 6982 
2005 342 121 351 587 600 528 728 520 831 955 759 490 6812
2006 392 340 622 522 783 760 932 589 967 705 993 644 8249 
2007 375 257 630 528 838 733 986 703 1263 755 950 381 8399 
2008 391 753 743 883 1136 1014 1013 944 1215 1252 593 486 10423
2009 352 683 880 784 1178 1237 1047 836 892 632 1110 598 10229
2010 387 350 387 1162 1201 1162 1355 1311 1355 812 786 813 11081 
2011 457 409 448 817 839 805 1004 1005 980 487 477 494 8222 
2012 125 438 676 756 957 1315 1207 1043 1044 918 531 272 9282 
2013 246 120 864 534 879 1212 1496 1569 1872 955 699 492 10938 
2014 332 617 626 470 807 1189 1153 242 1087 797 440 685 8445 
2015 528 494 828 958 840 1441 867 1002 1087 775 640 399 9859 
2016 246 635 983 654 804 1053 1226 1006 1506 1325 635 238 10311 
2017 297 249 391 866 923 1240 955 1280 800 866 975 626 9468 
2018 1043 477 986 967 1156 1141 963 1183 1351 478 430 324 10499 
2019 184 1005 1086 1008 838 970 943 1058 898 786 303 184 9263 
2020 182 738 655 827 796 846 708 1035 814 682 460 339 8082 
2021 356 574 765 820 798 965 1256 972 1077 820 1121 960 10484 
