# USBR Lower Colorado Basin Annual reports: Cibola National Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1976 1011 484 1007 1103 1116 1630 1447 1488 1539 863 969 783 13440
1977 146 818 806 1117 1031 1302 1289 1588 691 1145 875 570 11378
1978 519 39 503 923 988 1171 1424 1031 1278 737 399 394 9406
1979 277 380 655 459 517 725 504 307 208 0 540 710 5282
1979 201 320 1101 1320 1206 817 823 708 819 686 499 422 8922
1980 907 317 1891 1219 226 454 453 398 210 151 67 169 6462
1980 699 559 296 8491 211 763 1050 1151 1323 955 388 398 9642
1981 493 28 1540 1900 486 724 1050 709 20 202 704 190 8046
1981 269 404 783 673 915 1078 1170 1035 915 827 295 558 8922
1982 604 570 800 877 737 1208 1191 934 514 294 416 105 8250
1983 36 93 217 956 938 988 952 688 653 431 431 119 6502
1984 36 162 404 487 814 869 561 519 472 550 440 120 5434
1985 22 84 215 384 544 823 569 847 956 615 682 540 6281
1986 486 38 210 299 520 524 581 382 857 765 765 959 6386
1987 208 120 116 473 387 394 297 142 446 1460 1349 905 6297
1988 175 198 408 776 634 1091 847 724 678 1747 1963 869 10110
1989 701 211 162 1175 950 1227 859 1055 998 1311 1973 1474 12096
1990 589 208 329 463 821 1088 696 708 1090 1147 1496 1353 9989
1990 18 15 25 27 33 40 43 42 33 27 19 19 340
1991 1641 1162 519 682 2923 1350 1369 986 2012 1767 1859 1482 17751 
1992 1489 1157 1094 839 1042 1530 975 1189 1630 2074 1489 1623 16131 
1993 635 509 868 937 1146 1389 1515 1458 1146 960 682 671 11916
1994 1007 1143 405 729 646 773 756 686 1193 691 398 345 8772 
1995 252 229 368 1056 763 1214 1009 1131 929 1081 1596 738 10366
1996 597 532 851 784 1005 1479 2003 1328 1930 1428 1806 724 14467
1997 625 327 565 1384 1085 1827 1798 1778 1735 1555 1583 814 15075 
1998 333 154 241 538 987 945 1036 511 0 716 653 322 6435 
1999 149 143 163 660 967 850 1511 473 918 940 1005 380 8161 
2000 790 315 1331 595 844 1596 1813 967 1529 2000 1843 944 14567 
2001 908 596 155 650 1021 646 520 1131 1441 1472 1449 1034 11025 
2002 635 792 861 1317 1298 1336 1458 1010 808 1678 1115 1032 13339 
2003 1157 661 1138 1133 1302 1100 956 946 1482 1814 900 853 13442 
2004 447 249 405 962 1012 898 959 1155 1552 1624 1134 866 11263 
2005 552 195 566 946 967 852 1175 839 1340 1540 1224 791 10987 
2006 632 549 1003 842 1263 1226 1503 950 1559 1137 1602 1039 13305 
2007 605 415 1016 851 1352 1183 1590 1134 2037 1218 1533 614 13548 
2008 631 1215 1199 1425 1833 1635 1634 1522 1959 2020 957 784 16814
2009 568 1101 1420 1264 1900 1995 1688 1348 1438 1020 1790 964 16496
2010 625 564 625 1875 1937 1875 2185 2115 2185 1310 1268 1311 17875 
2011 737 659 722 1318 1354 1299 1619 1621 1580 785 770 796 13260 
2012 202 707 1091 1219 1543 2137 1961 1682 1684 1481 857 438 15002 
2013 396 194 1410 1280 1492 1955 2413 2530 3019 1541 1127 794 18151 
2014 535 995 1216 898 1309 1917 1859 390 1754 1285 709 1105 13972 
2015 851 796 1335 1545 1355 2325 1398 1616 1754 1250 1033 644 15902 
2016 396 1025 1586 1055 1297 1698 1978 1622 2429 2137 1025 384 16632 
2017 479 402 631 1396 1488 2000 1541 2064 1291 1397 1572 1010 15271 
2018 1683 769 1590 1560 1864 1840 1553 1908 2180 771 694 522 16934 
2019 297 1622 1752 1626 1351 1564 1521 1706 1448 1267 489 297 14940 
2020 293 1191 1057 1334 1284 1364 1142 1669 1313 1100 742 546 13035 
2021 574 926 1234 1322 1286 1556 2026 1568 1738 1323 1808 1548 16909 
