# USBR Lower Colorado Basin Annual reports: Cibola Valley Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, CU data starts in 2003
1983 561 654 2085 1618 902 1487 2069 869 1156 470 219 35 12145
1984 140 319 2190 1362 1836 2118 2300 2712 1799 532 272 0 15580
1985 108 456 2660 1686 2397 3112 3270 2822 1427 243 334 255 18770
1986 335 1110 2586 1954 2157 3120 3263 2576 1506 627 436 119 19789
1987 827 1647 2617 2640 3512 4355 3973 4061 3023 1151 53 363 28222
1988 383 249 3052 1570 2374 4185 4832 2834 2349 1223 625 660 24336
1989 387 1482 3323 2320 2198 3967 4493 3637 2516 828 487 554 26192
1990 527 1355 3074 1807 2365 4292 4669 3279 2047 1335 991 1256 26997
1991 1085 1189 1106 209 2107 2379 2587 2212 2003 1815 1252 1043 18988
1992 111 636 2501 1481 2467 3273 3401 2831 1209 1333 976 54 20273
1993 40 40 1644 2742 2369 3715 4658 2722 1749 1340 653 473 22145
1994 1575 1262 2152 2323 2841 3444 3760 3615 2841 2380 1690 1663 29546
1995 104 1045 2686 2347 3351 4428 5383 4523 2633 1484 639 587 29210
1996 1024 1445 2537 3355 4467 4554 4409 3210 1660 1674 683 206 29223
1997 411 3001 1671 2823 4005 4470 5059 4535 2137 1275 714 782 30883
1998 1543 1236 2108 2276 2782 3376 3683 3544 2785 2334 1656 1630 28952
1999 1335 1946 1927 1899 3059 3614 4031 3559 2869 1491 710 483 26920
2000 1604 1285 2190 2365 2896 3510 3827 3680 2891 2422 1721 1694 30085
2001 77 2098 1122 1196 2720 3512 5037 3352 2900 1851 1435 1003 26302
2002 253 2780 1445 2192 3403 3686 4120 3850 2873 769 512 1185 27069
# Real CU data starts here
2003 196 1077 816 1346 906 2668 3360 2442 2188 1712 1155 1486 19352 
2004 59 1153 1097 1395 2158 2819 2899 3391 1815 1662 479 428 19355 
2005 87 95 1484 815 2236 2683 2938 1660 2084 1809 1791 1499 19181 
2006 812 1263 1056 1287 2192 3191 2943 3162 2320 471 266 333 19296 
2007 270 1200 2142 1253 2059 2907 3197 2485 2106 979 438 312 19348 
2008 795 1073 1645 1552 2254 2074 2480 2155 1837 1396 806 852 18918
2009 411 1412 1752 1356 2649 2022 2082 2547 1936 1143 786 554 18650
2010 383 751 907 1509 2042 2625 2992 2904 2248 1047 599 516 18523 
2011 339 1175 1945 1581 2090 2681 2339 2496 1790 842 869 406 18553 
2012 274 598 932 1581 1809 2226 3398 2646 3178 462 222 130 17456 
2013 87 265 880 654 742 857 608 538 550 340 2 214 5737 
2014 551 582 763 511 782 980 849 572 557 443 523 465 7578 
2015 195 650 747 1075 693 636 913 948 652 403 363 270 7545 
2016 214 220 445 1597 676 937 827 389 689 537 324 544 7399 
2017 137 396 583 953 636 731 770 712 200 282 201 938 6539 
2018 18 475 62 565 621 757 824 955 983 74 143 51 5528 
2019 1 310 641 487 705 804 839 958 543 274 189 123 5874 
2020 80 388 389 317 776 1099 1079 749 414 306 244 204 6045 
2021 8 415 267 640 476 806 1026 627 806 276 273 325 5945 
