# USBR Lower Colorado Basin Annual reports: city of yuma Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 376 382 458 593 756 1004 1183 1020 897 669 461 400 8199
1965 392 391 500 581 864 947 1164 1196 903 741 489 369 8537
1966 395 404 559 773 973 1104 1086 1144 933 721 514 491 9097
1967 493 497 603 619 901 1002 1145 1091 849 783 543 421 8947
1968 471 502 608 740 256 1072 976 1259 1074 729 603 487 8777
1969 429 482 648 788 1079 1132 1444 1515 1138 797 583 515 10550
1970 553 495 587 799 1137 1373 1506 1448 1065 925 726 618 11232
1971 659 589 808 831 1013 1224 1556 1298 1212 848 719 586 11343
1972 768 686 953 1061 1216 1329 1565 1440 1299 755 720 693 12485
1973 637 605 711 928 1306 1300 1484 1309 1227 961 757 669 11894
1974 647 650 792 987 1146 1476 1457 1361 1300 1012 842 676 12346
1975 248 272 382 423 648 1020 1079 1115 774 565 393 255 7144
1976 289 193 386 417 754 950 1070 989 639 479 345 271 6782
1977 139 415 498 740 842 1141 1283 975 818 622 427 312 8212
1978 209 248 419 686 950 1076 1480 1332 1111 692 501 352 9056
1979 193 391 382 705 840 1122 1050 732 926 708 500 433 7982
1980 215 234 397 738 831 961 1214 1259 1001 878 451 527 8706
1981 440 460 569 811 971 1152 1229 1132 1005 741 590 488 9588
1982 308 392 322 693 931 1077 1242 984 833 699 476 266 8223 
1983 454 385 598 807 1119 1190 1414 855 1038 661 564 377 9463
1984 524 827 992 961 1285 1323 1005 1036 941 961 567 369 10791
1985 336 456 657 919 1048 1191 1402 1369 896 606 490 452 9822 
1986 594 493 747 909 1437 1233 1228 1270 863 821 618 547 10760
1987 470 420 1267 905 1121 1354 1344 1311 1036 739 476 391 10834
1988 476 536 685 721 1126 1376 1475 1272 1173 931 768 591 11130
1989 429 520 780 1073 1250 1431 1441 1085 1116 927 765 534 11351
1990 381 425 753 937 1148 1323 1343 1286 1208 782 785 556 10927
1991 549 547 511 809 1152 1366 1568 1499 1159 1036 855 589 11640 
1992 517 534 559 874 1273 1472 1637 1483 1371 1163 855 654 12392 
1993 496 338 444 1040 1097 1479 1467 1690 1614 1374 1003 900 12942 
1994 805 673 904 1119 1277 1556 1735 1766 1439 1243 1021 790 14328 
1995 694 860 1059 781 1394 1577 1654 1924 1658 1371 1040 890 14902
1996 1221 973 1152 1355 1882 1896 2061 2051 1748 1688 1264 1209 18500 
1997 1003 968 1290 1262 1829 1851 1928 2140 1407 1362 1070 859 16969 
1998 854 633 1052 1184 1649 1695 2077 2037 1535 1472 1207 1079 16474 
1999 1075 936 1186 1102 1567 1760 1889 1938 1669 1709 1581 1259 17669 
2000 1911 1420 1739 1930 2572 3046 2849 2640 1519 1636 1105 1030 23397
2001 956 858 1014 1298 1754 1970 1996 1976 1937 1484 1281 1208 17732
2002 1073 1055 1437 1294 1688 1993 1877 2003 1865 1413 1241 1097 18036 
2003 1337 1112 1278 1311 1777 2277 2432 2061 1758 1627 1291 1244 19505
2004 1350 1010 1434 1373 1736 1940 2607 2240 1963 1480 1099 898 19130 
2005 1028 732 968 1287 1642 1912 2128 1949 1893 1399 1229 1153 17320
2006 1109 1044 1068 1183 1624 2007 2242 2070 1858 1575 1347 1243 18370 
2007 1226 1271 1366 1200 1376 1636 1523 1610 1268 1165 992 1010 15642 
2008 867 858 1004 984 1354 1929 1968 1757 1466 1391 1167 1150 15895
2009 1151 864 1268 1026 1438 1300 1986 1681 1354 1247 1189 906 15407
2010 801 637 941 644 851 1093 1103 1674 1629 1386 1202 1368 13329 
2011 1291 1154 1373 1259 1661 1736 1747 1763 1384 1363 1014 939 16684 
2012 1052 1100 1339 1056 1314 1424 1425 1428 1219 1176 1147 834 14514 
2013 1044 955 1212 1225 1598 1556 1344 1392 1020 1045 836 1162 14389 
2014 1034 951 1299 1455 1574 1395 1243 1062 996 1144 1258 1455 14866 
2015 1090 1034 1348 1369 1451 1326 1511 1374 1122 1116 1251 1109 15101 
2016 1115 1213 1472 1361 1541 1392 1262 1593 1124 945 1426 1158 15602 
2017 1085 1010 1277 1338 1342 1250 1214 1284 1027 1140 1341 1281 14589 
2018 1190 1110 1349 1424 1356 1245 1424 1405 1176 889 1456 1212 15236 
2019 1074 934 1076 1261 1111 1302 1565 1517 1281 1190 1299 1052 14662 
2020 1140 1071 1090 1290 1385 1226 1344 1430 1082 939 1190 1120 14307 
2021 1035 1009 1268 1239 1405 1443 1375 1110 682 807 1130 1008 13511 
