# USBR Lower Colorado Basin Annual reports: city of yuma diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 393 391 487 623 784 1018 1219 1032 924 706 486 430 8493
1965 418 413 523 602 896 975 1191 1218 928 766 503 379 8811
1966 410 419 571 786 981 1114 1108 1161 951 743 543 493 9260
1967 503 506 631 649 927 1020 1160 1100 867 791 556 427 9137
1968 471 502 608 740 256 1072 976 1259 1074 729 603 487 8777
1969 485 513 688 845 1142 1188 1455 1515 1145 851 642 580 11049
1970 628 557 656 858 1157 1385 1541 1486 1070 940 729 610 11617
1971 656 624 831 872 1049 1248 1604 1355 1242 868 738 611 11698
1972 771 713 983 1073 1219 1353 1593 1475 1307 756 747 712 12702
1973 662 634 739 982 1343 1344 1489 1349 1259 1019 792 703 12315
1974 673 682 836 1003 1196 1533 1509 1436 1361 1092 905 736 12962
1975 742 725 858 863 1148 1548 1669 1683 1305 1077 909 749 13276
1976 818 649 869 925 1290 1492 1617 1536 1195 1035 875 812 13133
1977 686 845 1005 1233 1273 1573 1722 1457 1295 1113 927 769 13808
1978 629 599 832 1118 1397 1460 1869 1727 1586 1194 986 847 14244
1979 737 778 944 1171 1318 1609 1526 1250 1389 1172 952 926 13772
1980 760 739 917 1155 1272 1388 1645 1695 1443 1319 862 967 14161
1981 907 888 1041 1253 1463 1682 1780 1656 1528 1251 1116 1017 15582
1982 874 909 971 1236 1434 1581 1752 1513 1420 1294 1060 852 14896 
1983 981 848 1095 1266 1609 1699 1902 1427 1611 1295 1145 974 15852
1984 991 1217 1451 1429 1800 1837 1602 1663 1692 1626 1226 993 17527
1985 987 1033 1303 1546 1692 1793 2060 2033 1498 1226 1119 1073 17363
1986 1206 1062 1403 1546 1809 1803 1830 1915 1493 1459 1250 1181 17957
1987 1172 1124 1340 1616 1837 2007 2061 2028 1799 1472 1217 1145 18818
1988 1264 1319 1539 1487 1918 2153 2277 2062 2015 1753 1499 1452 20738 
1989 1243 1175 1578 1796 2030 2236 2246 1989 1916 1777 1539 1417 20942
1990 1387 1348 1695 1806 2200 2189 2225 2149 2124 1795 1657 1520 22095
1991 1486 1608 1303 1611 1908 2072 2289 2242 1963 1870 1660 1431 21443
1992 1269 1229 1308 1632 1964 2186 2314 2208 2118 1899 1559 1378 21064 
1993 1201 1109 1454 1721 2050 2227 2297 2363 2097 1943 1615 1562 21639 
1994 1729 1659 1757 1849 2036 2332 2503 2571 2343 2146 1826 1732 24483
1995 1818 1935 1872 1509 2108 2370 2416 2703 2521 2284 1836 1789 25161
1996 1920 2057 1862 2022 2585 2560 2789 2806 2508 2503 2041 2045 27698
1997 1814 1691 2091 1990 2606 2669 2836 3061 2465 2787 2072 1968 28050
1998 1768 1428 1780 1848 2362 2404 2833 2770 2384 2236 1898 1783 25494 
1999 1751 1593 1918 1738 2186 2386 2568 2618 2363 2413 2273 2062 25869
2000 2645 2078 2370 2562 3265 3790 3603 3445 2358 2456 1949 1839 32363
2001 1725 1653 1792 1981 2473 2674 2744 2787 2639 2413 2102 2036 27019 
2002 1965 1791 2069 2212 2580 2802 2742 2888 2549 2436 2019 2083 28136 
2003 2380 1875 2114 2009 2487 3051 3245 2907 2560 2487 2140 2204 29459 
2004 2269 1849 2207 2049 2445 2707 3031 3067 2982 2446 1918 1836 28806 
2005 2015 1824 1863 2148 2541 2503 3023 2916 2946 2441 2157 2146 28523
2006 1938 1858 1879 1879 2331 2620 2815 2790 2508 2211 1967 1987 26783 
2007 1960 1800 2107 1939 2035 2297 2264 2407 2075 1985 1816 1847 24532
2008 1663 1586 1778 1700 2035 2606 2666 2551 2226 2187 1982 1880 24861 
2009 2006 1668 2051 1733 2208 2041 2023 1974 1802 1702 1417 1319 21944
2010 1147 981 1279 1327 1666 1803 2018 1921 1854 1582 1453 1216 18247 
2011 1194 995 1190 1309 1591 1654 1647 1729 1445 1353 1080 932 16119 
2012 1002 1038 1160 1190 1415 1541 1722 1661 1536 1555 1378 1157 16355 
2013 1077 951 1193 1305 1576 1509 1482 1655 1440 1449 1219 1107 15963 
2014 1163 1002 1359 1486 1624 1686 1857 1657 1536 1529 1347 1637 17883 
2015 1228 1112 1342 1333 1382 1651 1789 1823 1700 1557 1393 1385 17695 
2016 1077 1147 1281 1232 1482 1734 1866 1854 1423 1280 1157 1172 16705 
2017 1094 966 1168 1237 1378 1566 1554 1656 1383 1417 1184 1129 15732 
2018 1149 1072 1304 1379 1526 1630 1828 1801 1605 1359 1443 1313 17409 
2019 1195 1042 1295 1441 1555 1769 1939 1918 1750 1570 1455 1336 18265 
2020 1396 1273 1322 1381 1703 1738 1864 2003 1693 1536 1421 1387 18717 
2021 1265 1204 1398 1396 1720 1805 1981 1756 1709 1490 1405 1273 18402 
