# USBR Lower Colorado Basin Annual reports: city of yuma gila
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1991 62 69 66 65 73 79 92 92 81 69 34 28 810 
1992 44 48 47 43 54 59 59 55 56 55 52 44 616 
1993 43 45 60 54 59 60 64 64 62 36 27 21 595 
1994 30 27 32 32 33 39 44 44 39 32 27 32 411 
1995 28 29 34 32 34 46 44 59 55 51 28 44 484
1996 34 34 35 38 47 57 53 53 53 19 13 0 436 
1997 0 0 0 0 0 0 0 0 0 0 0 0 0 
1998 0 0 0 36 37 62 72 72 54 51 37 29 450 
1999 35 35 47 56 40 50 54 63 65 65 53 16 579 
2000 41 41 52 42 50 61 70 64 36 31 23 32 543
2001 32 17 48 50 50 52 62 49 49 50 41 39 539
2002 32 17 48 50 50 52 62 49 49 50 41 39 539 
2003 46 38 41 44 43 45 55 52 56 52 44 41 557
2004 42 37 40 39 42 43 66 30 0 0 0 0 339 
2005 0 0 0 0 0 0 0 0 0 0 0 17 17
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 402 748 539 426 362 440 435 3352 
2010 506 408 492 277 455 454 457 652 656 654 600 967 6578 
2011 958 941 995 651 809 786 842 776 707 810 799 877 9951 
2012 898 873 1003 538 591 583 483 544 484 477 607 558 7639
2013 833 767 841 667 804 808 675 584 424 444 489 1080 8416
2014 784 779 819 726 759 497 197 236 273 366 662 836 6934
2015 775 670 854 844 778 389 431 422 254 396 759 666 7238
2016 902 888 1090 886 803 411 444 514 449 435 1038 876 8736
2017 953 821 943 829 691 357 361 402 421 509 1017 976 8280
2018 944 835 872 822 600 341 410 428 396 388 917 890 7843
2019 776 663 629 624 389 316 443 465 408 481 737 887 6818
2020 751 651 715 703 490 287 335 375 317 387 751 732 6494
2021 757 679 831 776 618 597 434 425 314 203 600 770 7004
