# USBR Lower Colorado Basin Annual reports: Cocopah Indian R Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# This is diversion data
1964 112 78 255 214 438 361 483 182 250 236 146 110 2865
1965 90 112 94 141 328 301 313 246 181 327 522 60 2715
1966 308 319 271 346 460 476 385 234 564 95 0 28 3486
1967 234 237 430 227 33 312 286 347 166 67 41 140 2520
1968 11 330 314 187 102 35 33 25 30 97 20 20 1204
1969 17 127 18 50 29 27 45 81 130 0 0 68 592
1970 24 12 45 110 51 100 83 63 122 19 0 54 683
1971 66 107 74 104 52 68 238 98 48 0 5 74 934
1972 75 130 83 73 82 135 163 53 83 0 0 53 930
1973 56 0 195 134 38 44 79 84 92 41 46 15 824
1974 70 60 119 258 51 185 128 132 12 5 0 0 1020
1975 0 0 44 197 50 86 193 122 62 74 8 2 838
1976 68 38 161 183 94 64 162 251 188 2 7 46 1264
1977 5 0 209 96 113 84 181 93 151 29 0 10 971
1978 0 0 0 159 48 209 188 111 91 0 0 0 806
1979 0 0 169 142 104 162 141 129 0 0 11 74 932
1980 7 0 183 20 157 93 200 193 73 20 86 188 1220
1981 58 63 46 98 118 118 259 95 6 10 8 0 879
1982 0 225 17 129 94 139 230 73 38 0 0 0 945
1983 0 104 10 11 111 124 207 135 84 1 3 0 790
# Real Consumptive Use Data Starts Here
1984 229 249 338 298 475 396 611 560 609 316 75 123 4279
1985 396 267 749 1225 1012 837 1216 1429 1073 117 347 254 8922
1986 133 156 259 652 391 515 786 717 814 490 468 319 5700
1987 61 27 53 138 251 158 218 42 106 436 35 70 1595 
1988 60 53 26 0 225 127 265 135 5 0 269 27 1192
1989 43 50 106 110 136 92 248 19 245 323 69 57 1498 
1990 6 64 232 214 89 39 68 153 298 116 57 64 1400
1991 20 58 110 186 124 78 73 101 186 127 115 57 1235
1992 73 75 9 251 232 145 168 0 246 312 52 9 1572
1993 533 542 916 997 1198 1185 1395 1244 1116 1205 619 614 11564 # Big inreased in pump diversions here
1994 925 572 1268 1685 1516 2267 2034 1897 2037 404 555 636 15795 
1995 1769 767 725 1509 1358 1931 2008 1758 697 1191 1356 696 15765 
1996 74 59 199 18 83 307 171 40 120 114 135 32 1352 
1997 541 839 831 834 885 886 1263 926 712 381 362 395 8854 
1998 533 347 907 1466 1525 1387 1667 1618 872 1231 429 912 12893 
1999 415 499 785 786 877 1129 1117 1447 1326 1504 808 812 11505 
2000 838 904 1271 1466 1180 1063 1304 1170 904 842 420 699 12061
2001 495 701 255 1026 2017 1061 1289 1013 840 592 421 248 9957
2002 917 918 1084 1309 1395 2033 1763 1593 1385 1201 1015 1394 16006 # Pumping from N and W Well fields here
2003 124 117 353 282 497 287 623 2830 267 250 510 305 6445 
2004 50 88 274 137 208 532 927 506 646 383 39 0 3790 
2005 25 177 478 153 213 481 736 -1 182 428 327 364 3563 
2006 374 393 483 328 410 643 1128 673 287 254 180 26 5179 
2007 86 70 133 131 395 113 120 459 305 765 424 369 3370
2008 109 284 416 303 387 429 767 323 180 286 178 212 3874 
2009 383 379 664 566 382 651 239 230 180 151 108 106 4039
2010 139 174 238 255 313 379 416 400 320 260 457 406 3757 
2011 153 105 556 659 794 983 984 937 906 822 442 409 7750 
2012 116 266 419 436 943 606 1005 826 411 291 148 116 5583
2013 76 101 190 201 242 205 242 217 169 141 102 194 2080 
2014 136 119 171 179 159 191 209 201 158 133 94 143 1893 
2015 65 145 163 146 145 176 192 185 147 121 86 113 1684 
2016 67 115 169 173 150 181 198 191 195 125 123 88 1775
2017 75 82 137 391 102 123 134 129 102 97 72 91 1535 
2018 65 94 121 110 110 132 162 152 113 133 72 75 1339 
2019 62 107 106 87 153 199 209 209 161 99 81 62 1535 
2020 54 108 87 137 149 140 163 177 127 118 70 75 1405 
2021 39 48 122 72 118 169 199 148 101 98 60 79 1253 
