# USBR Lower Colorado Basin Annual reports: Cocopah Indian R Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 112 78 255 214 438 361 483 182 250 236 146 110 2865
1965 90 112 94 141 328 301 313 246 181 327 522 60 2715
1966 308 319 271 346 460 476 385 234 564 95 0 28 3486
1967 234 237 430 227 33 312 286 347 166 67 41 140 2520
1968 11 330 314 187 102 35 33 25 30 97 20 20 1204
1969 17 127 18 50 29 27 45 81 130 0 0 68 592
1970 24 12 45 110 51 100 83 63 122 19 0 54 683
1971 66 107 74 104 52 68 238 98 48 0 5 74 934
1972 75 130 83 73 82 135 163 53 83 0 0 53 930
1973 56 0 195 134 38 44 79 84 92 41 46 15 824
1974 70 60 119 258 51 185 128 132 12 5 0 0 1020
1975 0 0 44 197 50 86 193 122 62 74 8 2 838
1976 68 38 161 183 94 64 162 251 188 2 7 46 1264
1977 5 0 209 96 113 84 181 93 151 29 0 10 971
1978 0 0 0 159 48 209 188 111 91 0 0 0 806
1979 0 0 169 142 104 162 141 129 0 0 11 74 932
1980 7 183 20 157 93 200 193 73 20 86 188 1220 
1981 58 63 46 98 118 118 259 95 6 10 8 0 879
1982 0 225 17 129 94 139 230 73 38 0 0 0 945
1983 0 104 10 11 111 124 207 135 84 1 3 0 790
1984 1 124 12 15 137 121 65 105 30 3 0 14 627
1985 1 123 1 3 178 183 223 166 5 3 309 202 1397 
1986 56 66 29 150 28 86 203 176 38 272 280 146 1530 
1987 59 26 53 138 251 157 218 42 107 437 35 69 1592 
1988 59 53 26 0 227 128 267 136 5 0 264 27 1192
1989 41 49 105 109 135 91 248 19 241 323 69 55 1485 
1990 6 63 229 214 88 38 67 151 298 117 57 64 1392
1991 20 57 109 184 124 77 73 101 188 129 117 57 1236 
1992 72 76 9 254 235 145 167 0 250 317 52 9 1586 
1993 0 116 188 212 240 21 126 21 158 406 48 52 1588 # Big increase in pump diversions here, in pumped csv
1994 48 22 104 210 0 292 272 27 110 0 67 51 1203 
1995 63 58 140 82 93 164 190 155 24 348 112 40 1469 
1996 74 59 199 18 84 307 172 40 122 117 139 37 1368 
1997 88 120 74 134 138 202 610 171 143 41 54 248 2023 
1998 243 38 327 550 500 190 545 576 474 784 51 259 4537 
1999 62 221 309 268 245 361 277 638 687 961 434 435 4897
2000 502 546 698 794 446 241 530 208 77 75 65 104 4286
2001 312 521 69 612 1561 644 856 669 664 215 64 86 6273 
2002 286 395 235 266 78 530 395 219 224 132 118 715 3593  # Pumping from N and W Well fields here, in pumped csv
2003 0 0 214 0 136 56 428 2661 0 0 195 134 3824 
2004 51 90 274 138 211 543 938 518 660 397 41 0 3861 
2005 26 177 478 154 219 490 753 0 187 445 338 374 3641 
2006 381 398 479 330 424 661 1139 692 294 259 183 27 5267 
2007 87 71 136 133 397 115 121 467 312 789 441 376 3445 
2008 30 186 281 159 208 213 536 97 0 141 73 113 2037 
2009 316 284 540 427 206 444 0 0 0 0 0 0 2217
2010 0 0 0 0 0 0 0 0 15 0 425 340 780 
2011 106 0 639 777 945 1172 1143 1115 1145 1058 520 470 9090 
2012 44 242 417 418 1142 579 1194 938 346 201 47 0 5568 
2013 0 9 93 94 110 0 22 0 0 0 0 151 479  # Split into two diversions, from Imperial and pumps
2014 106 49 82 78 2 0 0 0 0 0 0 85 402 
2015 0 103 84 42 0 0 0 0 3 0 0 49 281 
2016 0 49 86 78 0 0 0 0 71 0 54 0 338 
2017 52 41 94 471 0 0 0 0 0 18 19 50 745 
2018 38 66 77 49 22 26 56 47 27 85 25 32 550 
2019 25 74 39 0 73 106 104 117 88 18 28 0 672 
2020 18 86 21 89 79 32 53 82 47 59 20 28 614 
2021 0 0 88 0 49 101 141 63 23 40 12 41 558 
