# USBR Lower Colorado Basin Annual reports: Cocopah Indian R Pumped
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 # No Pumping record
1965 # No Pumping record
1966 59 22 15 16 21 22 16 10 25 5 0 3 214
1967 21 12 22 12 2 15 13 13 9 2 2 15 138
1968 1 9 9 6 3 1 1 1 1 5 1 2 40
1969 1 4 1 2 1 1 2 2 5 0 0 7 26
1970 2 0 2 2 1 4 3 2 4 1 0 5 26
1971 4 4 2 3 2 2 6 3 2 0 0 7 35
1972 4 4 3 2 2 3 4 1 2 0 0 2 27
1973 2 0 5 2 1 1 2 1 2 1 3 1 21
1974 4 2 3 5 1 4 3 3 0 0 0 0 25
1975 0 0 1 4 1 2 4 3 1 3 0 0 19
1976 3 1 2 3 2 2 3 6 4 0 1 0 27
1977 0 0 5 3 4 219 138 93 55 1 0 1 519
1978 0 0 88 121 67 138 190 249 75 0 0 0 928
1979 0 0 6 4 3 5 4 4 0 0 1 5 32
1980 0 0 5 0 5 2 4 4 2 1 4 9 36
1981 2 1 1 2 3 2 5 2 0 0 0 0 18
1982 0 4 0 2 4 5 7 2 1 0 0 0 25
1983 0 6 0 0 5 5 6 5 3 0 0 0 30
1984 228 126 327 284 339 276 549 457 583 313 75 109 3666
1985 395 146 748 1222 835 655 995 1265 1068 114 41 53 7537
1986 77 90 230 503 363 429 584 541 776 219 189 173 4174 
1987 2 1 1 2 3 3 3 0 1 5 1 2 24
1988 1 1 0 0 2 1 2 1 0 0 9 1 18
1989 3 2 2 2 3 3 5 0 9 6 2 3 40 
1990 0 2 6 4 2 1 2 4 7 2 2 2 34
1991 1 2 3 4 2 2 1 2 3 2 2 2 26
1992 3 2 0 4 5 3 4 0 5 4 1 0 31
1993 533 432 733 789 964 1165 1273 1223 963 808 573 564 10020
1994 879 551 1167 1480 1516 1981 1769 1871 1930 404 491 588 14626
1995 1709 710 588 1428 1267 1770 1823 1606 674 851 1247 658 14331
1996 2 1 3 0 1 6 3 1 2 1 2 1 23
1997 2 1 1 2 2 3 8 3 3 1 1 7 34                               # West Cocopah wells start here in other csv
1998 6 1 4 5 5 2 5 6 4 5 0 3 46
1999 1 2 2 2 1 3 5 9 13 15 3 14 70
2000 7 6 5 3 3 2 4 2 0 0 0 1 31 
2001 3 3 0 2 6 3 3 1 2 1 0 0 24
2002 93 90 108 244 340 321 75 131 187 253 317 140 2296        # North Cocopah Wells is here # West Cocopah wells ends
2003 187 177 217 428 551 351 306 335 405 379 490 268 4093 
2004 0 0 1 0 1 1 3 4 5 2 0 0 17                               # North Cocopah Wells end here
2005 1 3 2 2 1 2 4 0 0 1 3 1 20
2006 1 1 8 1 0 1 1 2 1 0 1 0 17
2007 1 0 0 0 5 0 0 0 0 0 0 0 6
2008 121 152 207 223 274 332 364 348 273 229 163 161 2847
2009 123 153 207 224 273 332 362 348 273 229 163 160 2847
2010 212 265 362 390 477 579 632 608 478 400 286 282 4971
2011 129 160 220 237 290 357 384 372 289 246 175 174 3033
2012 134 168 228 248 308 369 406 390 301 253 180 176 3161 
2013 116 145 198 214 261 317 346 333 262 219 157 153 2721 
2014 106 133 181 196 239 290 316 304 239 201 142 141 2488
2015 98 122 166 180 220 267 291 280 220 184 131 129 2288
2016 101 126 172 186 227 275 300 289 227 190 135 133 2361 
2017 69 86 116 127 154 187 203 196 155 129 92 90 1604 
2018 63 80 108 117 144 174 190 183 144 120 85 84 1492 
2019 71 89 122 132 160 197 213 206 162 134 96 94 1676 
2020 66 83 113 122 149 181 197 190 149 126 88 87 1551 
2021 59 73 101 109 133 162 177 170 133 112 80 81 1390 
