# USBR Lower Colorado Basin Annual reports: Cocopah Indian R Return
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1984 0 1 1 1 3 2 4 0 0 0 14 
1985 45965 49103 58608 62616 62235 54295 56380 58454 53187 52535 55210 0397 658985 # error:  diff = 50000 got sum = 608985 1985_5
1986 0 0 0 1 0 0 1 0 0 1 1 0 4 
1987 0 0 1 2 3 2 3 0 2 6 21 
1988
1989 5020 4260 5009 5106 4214 2488 4321 4162 3206 2602 3531 3457 47376 
1990 45066 47515 57445 6371 5423 55882 60768 54922 5304 60099 56903 8 662616 # error:  diff = 206910 got sum = 455706 1990_4
1991 1 1 2 2 2 1 1 2 5 4 4 2 27 
1992 2 3 0 7 8 3 3 0 9 9 1 0 45 
1993 0 6 5 4 6 1 4 0 5 9 2 2 44 
1994 2 1 3 5 0 6 7 1 3 0 3 3 34 
1995 3 1 3 1 2 3 5 3 1 8 3 2 35 
1996 2 1 3 0 2 6 4 1 4 4 6 6 39 
1997 2 1 0 2 1 4 5 2 2 2 2 11 34 
1998 3 0 2 6 7 2 3 11 6 10 0 1 51 
1999 1 5 5 1 1 3 2 4 7 2 6 7 1 # error:  diff = 43 got sum = 44 1999_4
2000 2 3 7 5 7 5 7 4 2 1 1 2 26 # error:  diff = 20 got sum = 46 2000_4
2001 4 8 1 9 29 10 20 18 22 7 2 3 133 
2002 5 2 1 2 2 7 3 4 6 5 3 34 74 
2003 0 0 4 0 3 1 7 52 0 0 9 6 82 
2004 1 2 1 1 4 12 13 15 17 15 2 0 83 
2005 2 2 1 2 7 10 20 1 5 18 13 1 92 # error:  diff = 10 got sum = 82 2005_4
2006 8 6 1 3 14 19 12 20 8 5 4 1 101 
2007 2 1 3 2 5 2 1 8 7 24 7 7 79 # error:  diff = 10 got sum = 69 2007_4
2008 1 2 2 3 2 3 9 4 0 6 3 7 42 
2009 14 6 13 9 4 12 9 0 0 0 0 0 58 # error:  diff = 9 got sum = 67 2009_4
2010 1 1 1 2 2 3 1 1 5 4 12 5 38 
2011 2 1 4 10 21 26 24 44 40 39 17 16 251 # error:  diff = 7 got sum = 244 2011_4
2012 1 5 7 4 14 20 51 50 16 9 2 0 179 
2013 1 1 2 2 3 4 1 3 4 4 2 7 34 
2014 4 1 3 2 0 0 0 0 0 0 0 6 16 
2015 0 3 2 1 0 0 0 0 0 0 0 4 10 
2016 0 1 1 1 0 0 0 0 2 0 2 0 7 
2017 5 2 2 4 0 0 0 0 0 0 1 1 15 
2018 2 2 1 0 0 0 0 0 0 2 1 2 10 
2019 1 1 0 0 1 1 0 4 4 1 1 0 14 
2020 1 4 1 2 1 1 2 3 2 4 1 1 23 
2021 0 0 3 0 2 5 11 6 2 2 1 2 34 
