# USBR Lower Colorado Basin Annual reports: Colorado River Indian Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 13350 38280 48480 43880 44090 46200 54400 53650 45350 32890 17200 17880 455650
1965 9780 30100 43700 34770 38470 44050 51560 54840 46770 29900 20430 10280 414650
1966 5850 26480 47410 46310 44920 49140 58370 58440 51240 28300 23380 21660 461500
1967 12920 33910 47240 43440 49920 54350 59440 54940 38860 36040 24350 17700 473110
1968 15630 29900 51840 43530 47880 56270 63380 64760 46700 27260 21620 19800 488570
1969 14050 32750 56490 34470 54190 58460 65670 66700 43230 33710 24500 25760 520980  # checked, revision? diff = -11010 expected =  520980  got =  509970
1970 18290 39140 46440 52640 60190 62170 75310 70260 53590 41940 31980 28210 580160
1971 19010 47710 60760 64170 64730 58870 72700 64330 62090 43310 36210 37000 630890
1972 14570 55630 62390 62790 72460 70060 79760 72730 59620 37400 33890 38260 659560
1973 5010 53830 51030 70340 73530 70970 81460 74160 66420 53160 33070 30220 663200
1974 14160 44370 56300 65120 71020 72030 79580 76370 58960 39590 28270 29960 635730
1975 13390 43350 58910 67320 74560 72930 75060 72620 54960 42350 27910 32470 635830
1976 13220 30968 65164 57135 63875 74643 72255 72933 45271 27662 23988 25544 572658
1977 6748 47249 58212 57230 58930 76702 83704 74465 53781 32280 25064 20800 595165
1978 6535 12597 44994 70682 64214 79459 86143 86600 57696 27209 14722 15440 566291
1979 4340 30242 51010 60346 63288 76809 87373 75587 55611 30631 21204 24389 580830
1980 3392 16584 45839 69883 52140 74034 91876 85893 69686 38420 20886 25756 594389 
1981 2507 40805 55572 67764 63831 86838 91340 83287 54269 28072 16978 16838 608101
1982 9164 33803 51638 59886 63073 82573 92788 56520 55931 30227 18076 12601 566280
1983 10872 29175 38044 62052 61379 73092 77436 48766 52491 33271 28618 24312 539518
1984 14714 45791 63101 61197 64569 79042 78297 67302 50843 34717 23348 2696 585617
1985 3959 24403 58642 61792 67510 70234 79935 80536 47618 25228 22024 17492 559373 
1986 12375 33011 53941 58910 63365 73548 73719 70470 48040 29336 22786 22622 562123
1987 20035 44418 54167 62074 71676 82196 89059 79578 50659 32640 17450 22070 626022 
1988 10431 35622 61782 51686 73440 82593 88028 72541 56246 38400 28156 26180 625105 
1989 14760 35320 82090 69650 76880 87910 91660 75990 61530 38242 26694 28884 689610
1990 5800 38530 64830 59610 75420 91450 99290 78860 51530 40210 30040 31350 666920
1991 11250 43040 38680 60590 73050 83870 97140 84570 46600 36980 27210 30540 633520 
1992 10850 28310 38910 58870 68530 85420 96280 68310 41270 36170 27020 20420 580360 
1993 982 9790 57750 68070 73790 81120 87720 70840 45920 38480 29620 39290 603372 
1994 21680 38040 49110 64200 71770 87460 86830 85740 57090 42310 30190 30130 664550 
1995 1840 15320 62720 65630 75040 84410 93960 89620 59220 40810 28460 33810 650840 
1996 23240 42030 69610 67130 80910 89360 92020 83120 54760 39040 25430 34360 701010 
1997 7720 42700 55570 59260 75820 76440 81880 73480 50230 38460 28580 26240 616380 
1998 20590 15970 52190 61740 70300 69100 77070 70170 43120 42900 25250 31450 579850 
1999 22800 33470 58780 50490 68400 68930 65880 67710 46780 42210 28730 31880 586060 
2000 23187 37818 52256 57840 74799 75761 77799 75490 52712 36469 27638 29318 621087
2001 10470 34920 31010 59250 72800 74860 72580 71880 52890 38820 30710 28020 578210 
2002 26200 37380 48490 61740 71790 72120 78960 72090 46990 40860 26060 21320 604000 
2003 23070 20780 45490 65680 74320 73330 80370 68580 55770 40170 21580 26810 595950 
2004 24170 31260 49660 58190 70140 76270 75990 72940 51540 34450 8040 19110 571760 
2005 5650 6890 40410 72930 73790 76270 77370 69760 59930 40160 26700 26120 575980 
2006 26330 31450 45580 56700 74390 75370 76640 69220 51520 36920 26510 32280 602910 
2007 26410 32290 42280 64540 69880 69920 73230 70960 57050 40880 28160 25290 600890 
2008 18180 38010 61190 68410 63600 71840 80370 75410 60040 43770 30200 20550 631570 
2009 37190 30290 62150 69020 76020 68630 72680 72770 58520 41370 27900 21650 638190
2010 11390 20040 52090 65580 73000 78710 84680 83310 67680 36680 31550 27920 632630 
2011 23370 25740 48090 67890 68730 77570 83620 86800 61110 47640 24830 28220 643610 
2012 30480 40220 51970 59420 74240 78650 75050 71040 60850 41600 28690 24410 636620 
2013 16790 34440 51590 66500 73670 75080 70220 69950 45020 44380 30700 30630 608970 
2014 29640 37850 50870 62990 71500 66110 75310 62460 49470 45930 33790 29590 615510 
2015 27680 36820 49190 69320 61640 66160 66090 65980 48690 34400 31140 33070 590180 
2016 14210 41010 55920 56130 65160 65590 68350 58130 47050 36210 28170 28910 564840 
2017 9943 26660 50990 70780 68290 73450 74520 65550 52020 44450 26420 29809 592882 
2018 18660 30480 52640 58909 74200 73350 75290 67490 59160 31950 31650 21680 595459 
2019 9251 24190 43880 54569 67990 71790 79000 73350 38310 27200 15210 5242 509982 
2020 17500 30270 11150 47220 57730 56080 59550 57450 40820 28190 23090 27900 456950 
2021 5900 34570 47440 54779 57950 57350 57330 51420 43400 31330 21540 24210 487219 
