# USBR Lower Colorado Basin Annual reports: Colorado River Indian pump
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1966 7 6 7 7 7 7 7 7 7 7 7 7 83
1966 10 9 10 9 10 9 10 10 9 10 9 10 115
1966 0 0 1 2 2 2 2 2 2 2 2 1 18
1967 2 2 3 3 3 3 3 3 3 3 3 3 34
1967 3 3 4 4 4 4 4 4 4 4 4 3 45
1967 3 2 1 0 0 0 0 0 0 0 0 0 6
1968 3 3 3 3 3 4 4 4 3 3 3 3 39
1968 0 0 1 1 1 1 1 1 0 0 0 0 6
1968 1 2 2 2 2 2 2 2 2 2 2 1 22
1968 0 0 100 109 114 168 209 115 67 71 25 59 1037
1969 3 3 3 3 3 4 4 4 3 3 3 3 39
1969 0 0 1 1 1 1 1 1 0 0 0 0 6
1969 1 2 2 2 2 2 2 2 2 2 2 1 22
1969 0 157 224 256 409 821 1922 1640 706 316 152 185 6788
1969 46 52 107 116 177 180 113 180 144 226 157 168 1666
1970 3 3 3 3 4 4 4 4 4 3 3 3 41
1970 1 1 1 1 2 2 2 2 2 1 1 1 17
1970 2 3 3 3 4 4 4 4 4 3 3 2 39
1970 841 580 796 1603 1138 723 1229 1758 1549 1580 1310 845 13952
1970 66 147 193 341 512 486 359 617 486 286 346 274 4113
1971 3 3 3 3 4 4 4 4 4 3 3 3 41
1971 1 1 1 1 2 2 2 2 2 1 1 1 17
1971 2 3 3 3 4 4 4 4 4 3 3 3 40
1971 368 1119 1905 1502 1922 1391 2067 1887 1547 542 1462 770 16482
1971 24 178 545 123 318 571 471 291 349 362 522 333 4087
1972 3 3 3 3 4 4 4 4 4 3 3 3 41
1972 1 1 1 1 1 1 1 1 1 1 1 1 12
1972 2 3 3 3 4 4 4 4 4 3 3 3 40
1972 823 892 1875 1618 2269 1194 1500 1287 1518 440 630 915 14961
1972 188 311 333 294 351 59 67 77 254 143 0 137 2214
1973 3 3 3 3 4 4 4 4 4 3 3 3 41
1973 1 1 1 1 1 1 1 1 1 1 1 1 12
1973 2 3 3 3 4 4 4 4 4 3 3 3 40
1973 797 600 832 1728 2202 502 663 1355 2705 1250 1040 435 14109
1973 190 128 85 145 214 152 259 317 423 218 0 0 2131
1974 3 3 3 3 4 4 4 4 4 3 3 3 41
1974 1 1 1 1 1 1 1 1 1 1 1 1 12
1974 604 924 887 0 0 0 3365 1111 1227 1108 886 372 10484
1974 193 136 83 144 214 154 260 317 424 218 212 197 2552
1974 1 2 2 2 3 3 3 3 3 3 3 2 30
1975 3 3 3 4 4 5 5 5 4 4 3 3 46
1975 3 4 4 5 5 6 6 6 5 5 4 3 56
1975 76 591 1409 813 1624 951 1220 971 1496 958 140 418 10667
1975 601 569 605 786 1075 815 982 845 1123 1098 1021 987 10507
1975 1 1 1 1 2 2 2 2 2 1 1 1 17
1976 2 3 4 5 5 6 7 7 6 3 4 2 54
1976 3 4 4 5 6 7 8 8 7 6 4 3 65
1976 167 391 823 722 807 943 913 922 572 350 303 323 7236
1976 152 357 751 659 736 860 833 841 522 319 276 294 6600
1976 1 1 1 1 2 2 2 2 2 1 1 1 17
1977 2 3 4 5 5 6 7 7 6 3 4 2 54
1977 3 4 4 5 6 7 8 8 7 6 4 3 65
1977 217 3129 864 706 1673 1760 2528 1564 936 672 41 623 14713
1977 250 388 689 684 824 S41 536 431 634 674 682 449 6782
1977 1 1 1 1 2 2 2 2 2 1 1 1 17
1978 2 2 3 3 4 5 6 6 5 3 2 2 43
1978 4 5 5 6 8 9 10 10 9 7 5 4 82
1978 0 77 0 0 0 3 0 0 0 0 0 0 80
1978 79 126 111 932 927 1035 1179 640 1111 643 328 397 7506
1979 4 5 6 6 7 9 9 9 8 6 5 4 78
1979 5 6 6 8 10 12 13 13 12 9 7 6 1893
1979 37 104 174 195 215 195 175 182 181 149 156 130 1893
1979 178 504 851 946 1044 946 851 883 883 725 756 630 9197
1980 9 9 9 9 9 9 10 10 9 9 9 9 110
1980 1 1 2 2 2 2 2 2 2 2 2 1 21
1980 12 60 165 251 188 266 330 310 250 138 75 93 2138
1980 62 304 841 1282 956 1358 1685 1575 1278 705 382 472 10900
1980 15 15 16 16 16 16 16 16 16 16 16 15 189
1981 9 9 9 9 9 10 10 10 10 9 9 9 112
1981 8 8 9 9 10 10 11 11 10 9 8 8 111
1981 6 103 141 172 162 220 232 211 138 71 43 43 1542
1981 57 925 1259 1535 1446 1968 2070 1887 1230 636 385 382 13780
1982 0 4 8 13 16 18 15 14 15 5 0 2 110
1982 10 14 15 26 38 23 50 38 38 4 5 3 264
1982 930 840 930 900 930 900 930 930 300 930 900 930 10950
1983 0 4 6 16 21 18 18 12 8 10 3 0 116
1983 1 3 0 0 0 0 0 0 0 0 0 0 4
1983 351 312 473 300 723 805 984 574 794 522 537 86 6461
1984 1 1 1 1 1 1 1 0 0 0 0 0 7
1984 215 268 268 0 1342 1342 1809 215 1010 959 855 671 8954 # Revised
1985 1 0 1 1 1 1 1 1 1 1 1 1 11
1985 53 404 894 1634 1030 1786 1607 1442 1112 654 869 202 11692
1986 1 0 1 1 1 1 1 1 1 1 1 1 11
1986 47 46 55 93 116 132 135 134 82 71 43 50 1004
1987 1 0 1 1 1 1 1 1 1 1 1 1 11
1987 47 46 55 93 116 132 135 134 82 71 43 50 1004
1988 40 44 74 85 144 138 146 145 125 120 89 67 1187
1989 71 67 98 126 140 160 161 150 137 113 90 76 1389 
1990 320 286 437 472 577 699 763 734 577 483 344 338 6000
1991 343 376 349 66 666 752 818 699 633 574 396 330 6000
1992 320 256 437 472 577 699 763 734 577 483 343 338 6000
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 25 172 318 400 964 1038 1510 1073 1391 964 639 430 8923
1995 401 65 197 1091 1504 1382 1892 1698 1827 1715 461 971 13204
1996 463 766 195 1112 1264 1692 1864 2018 1813 1361 111 170 12829
1997 1077 555 879 1069 1568 2058 1995 2320 2082 942 259 472 15278
1998 326 597 290 452 1524 1427 1477 2094 2034 1177 297 377 12074
1999 909 1118 621 1617 1180 1759 2034 1743 606 879 641 342 13449
2000 382 306 522 563 688 835 912 877 689 577 410 403 7164
2001 565 391 215 265 684 1151 1138 1235 828 514 384 340 7710
2002 557 446 760 821 1004 1218 1328 1278 1005 842 597 588 10444
2003 539 269 393 980 1208 1273 1758 1525 1277 570 254 302 10348
2004 343 705 427 881 1161 1573 1807 2039 1888 1715 882 353 13774
2005 94 84 111 155 193 221 248 185 198 160 132 109 1890
2006 534 640 839 930 1152 1365 1491 1435 1135 957 704 677 11859
2007 537 634 876 941 1138 1349 1453 1408 1116 952 688 650 11742
2008 520 620 845 930 1117 1335 1448 1396 1124 962 702 658 11657
2009 524 611 832 895 1103 1294 1413 1370 1099 925 671 653 11390
