# USBR Lower Colorado Basin Annual reports: Desert Lawn Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 1 1 5 11 13 12 13 12 10 10 3 0 91 
2004 2 1 6 8 11 9 9 3 5 6 1 0 61 
2005 0 0 8 6 15 14 14 13 16 9 3 1 99 
2006 1 6 8 8 8 15 13 15 28 0 0 0 102 
2007 1 0 1 0 10 0 12 10 1 0 3 0 38 
2008 1 0 1 0 7 0 9 8 1 0 3 0 30
2009 0 5 0 8 0 17 0 21 0 24 0 15 90
2010 0 4 0 8 0 19 0 25 0 24 0 8 88 
2011 0 7 0 17 0 22 0 29 0 22 0 8 105 
2012 0 3 0 9 0 20 0 22 0 17 0 17 88 
2013 0 9 0 12 0 16 0 19 0 13 0 10 79 
2014 5 5 6 8 8 7 9 12 10 9 6 6 91 
2015 0 1 1 1 1 2 2 2 3 1 1 1 16 
2016 0 1 0 1 1 2 1 3 3 2 1 1 16 
2017 1 1 1 1 2 2 2 4 3 1 1 1 20 
2018 1 1 1 1 1 3 4 3 3 2 2 1 23
2019 1 1 3 3 3 3 3 3 3 3 3 1 30 
2020 1 2 2 1 3 3 3 3 3 3 1 1 26 
2021 1 1 1 2 2 3 2 2 1 2 3 3 23 
