# USBR Lower Colorado Basin Annual reports: Desert Lawn Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 6 6 13 19 19 25 26 19 18 12 11 6 180
1984 4 7 8 13 28 20 15 17 16 15 6 1 150
1985 3 4 4 4 10 11 14 2 0 0 0 1 53
1986 11 9 12 12 5 11 8 10 11 11 7 0 107
1987 4 7 1 0 6 13 13 15 14 0 0 4 77
1988 0 0 7 7 11 15 22 15 10 9 4 5 105
1989 2 7 7 7 15 12 11 10 9 8 6 5 99
1990 1 0 4 16 14 14 15 15 16 14 6 2 116
1991 1 1 9 9 15 19 21 21 7 13 2 1 119 
1992 1 1 3 9 4 15 14 15 13 10 5 0 90 
1993 1 3 9 10 15 20 20 19 16 9 3 2 127 
1994 5 8 11 14 13 18 21 16 13 11 6 1 137 
1995 0 4 11 14 17 18 16 13 15 2 0 2 112 
1996 4 5 9 13 15 14 21 19 2 0 0 0 102 
1997 0 0 0 0 0 0 0 0 2 0 0 0 2 
1998 0 0 31 36 55 64 62 66 62 49 21 2 448 
1999 17 18 28 39 44 32 28 55 52 45 25 10 394
2000 26 22 17 43 48 57 57 67 51 30 11 18 447
2001 18 16 24 29 62 65 65 20 15 9 12 1 336 
2002 18 16 24 29 62 65 65 20 15 9 12 1 336 
2003 2 2 7 16 18 17 19 17 14 14 5 0 131 
2004 3 2 9 12 16 13 13 5 7 8 2 0 90 
2005 0 0 11 8 21 20 20 18 23 13 5 1 140 
2006 1 9 12 12 12 21 19 22 40 0 0 0 148 
2007 2 0 2 0 14 0 17 15 2 0 5 0 57
2008 1 0 1 0 10 0 13 11 2 0 4 0 42
2009 0 7 0 12 0 25 0 30 0 35 0 22 131 
2010 0 6 0 12 0 27 0 36 0 35 0 11 127 
2011 0 10 0 24 0 31 0 41 0 32 0 12 150
2012 0 5 0 13 0 28 0 31 0 25 0 25 127 
2013 0 13 0 17 0 23 0 27 0 19 0 14 113 
2014 7 7 9 11 11 10 13 17 15 13 8 8 129 
2015 0 1 1 2 2 3 3 3 4 2 1 1 23 
2016 0 1 0 1 2 3 2 4 4 3 1 1 22 
2017 1 1 1 1 3 3 3 6 4 2 2 2 29 
2018 1 1 2 2 2 4 6 4 4 3 3 1 33 
2019 1 2 4 4 4 4 4 4 5 4 4 1 41 
2020 1 3 3 1 4 5 4 5 5 4 2 1 38 
2021 2 2 2 3 3 4 3 3 2 3 4 5 36 
