# USBR Lower Colorado Basin Annual reports: Fort Mojave Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 1077 640 1382 2683 3293 4575 4204 4100 4489 2740 1052 800 31034 
2004 1594 1989 2717 2935 3586 4352 4749 4567 3590 3008 2136 2101 37324 
2005 740 1211 2886 3622 4781 5402 4711 4459 6339 2507 1625 793 39076
2006 1087 2185 2883 3128 4489 5196 5364 5757 2818 1824 1134 776 36640 
2007 1730 2127 2874 3000 5600 5843 4940 4276 3886 3224 1867 456 39823 
2008 685 2638 2918 3244 4591 6426 6307 4775 2832 2200 1475 427 38518 
2009 1099 1969 3445 2689 4198 5600 6369 4429 2373 2104 1221 561 36057
2010 635 1218 1925 2529 2928 5590 6944 5548 2442 896 1379 1175 33209 
2011 1044 2190 3207 2873 4750 5888 6454 5579 2189 1538 1334 645 37691 
2012 1433 2020 3782 2028 4800 6557 5422 4874 1848 1105 1653 492 36014 
2013 570 2528 3206 2684 4221 6239 6240 3808 1953 1624 333 494 33900 
2014 1064 2969 2857 2449 4499 5913 5538 3874 2530 1796 1582 417 35488 
2015 950 2932 3278 3258 4435 5432 5227 5390 2738 1193 1521 921 37275 
2016 850 3041 2781 2846 3690 4676 4815 4370 2281 1949 1336 860 33495 
2017 599 2515 2978 3708 4351 4911 4712 4877 2396 2682 1340 1016 36085
2018 1245 2351 2729 3733 4065 4211 4072 4808 4671 2075 1215 673 35848 
2019 836 1284 2509 3887 3460 3977 4032 4662 3066 3545 1339 157 32754 
2020 1421 1677 1071 3448 5352 4262 4107 4325 3485 3065 1641 1802 35656 
2021 1940 2505 3009 4821 4942 3640 3490 4205 3113 2992 1868 1729 38254 
