# USBR Lower Colorado Basin Annual reports: Fort Mojave Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Fort Mohave spelling here
1975 7 19 128 273 197 437 363 556 381 148 17 54 2580
1976 125 28 443 338 783 641 799 1097 1254 477 584 432 7001
1977 0 0 0 4273 1374 2357 1126 1957 1983 1211 1877 1291 17449
1978 338 288 1682 2200 1712 2085 4027 3531 2117 1063 887 258 20188
1979 522 738 1101 2426 1573 1812 1816 2248 1855 973 730 420 16216
1980 99 350 1027 1654 1039 1817 2182 2086 1345 686 0 284 12569
1981 725 899 1941 5784 4588 5350 7817 8431 7563 4315 3831 632 51876
1982 732 1497 4424 5714 6869 7679 7294 8867 5250 2865 1080 394 52665
1983 1599 1905 3893 7042 5087 5449 2755 3911 5031 4984 4440 324 47220  # diff = -800 expected =  47220  got =  46420
1984 2806 1560 2470 4452 6370 5516 6723 5430 4014 2036 0 0 41377
1985 0 0 0 10920 8748 3557 10982 9503 934 1 0 0 44645
1986 0 0 0 8630 1545 12760 8999 9301 336 7 0 0 41578
1987 169 496 2896 3610 3642 5816 6730 6663 2340 1197 914 3683 38156
1988 3729 0 3342 4939 3162 5849 6022 4425 3560 1961 1228 899 39116
1989 689 2080 5930 5660 3530 6170 7620 5890 3820 1312 286 0 42987
1990 3138 2510 4279 4621 5648 6846 7474 7189 5648 4735 3366 3309 58764
1991 3403 3730 3469 654 6610 7461 8115 6937 6283 5694 3927 3272 59556
1992 929 647 3767 3630 4413 8847 8493 6687 2467 1820 1937 1138 44775
1993 255 1289 4423 6273 7257 9875 11176 7158 4667 3457 2166 1578 59573 # Three footnotes in here
1994 2747 2328 4343 4197 5530 9200 10105 9101 4188 3129 2362 1611 58843
1995 120 3257 6619 5128 6294 10791 10535 10099 5290 3267 2366 1386 65152
1996 1513 3935 6763 5017 9228 8124 10704 9968 5939 4561 1768 516 68035
1997 1040 1932 5602 5496 8211 10555 11118 8915 7069 4266 4395 1367 69967
1998 784 1321 5776 6927 10088 10598 11106 6188 4139 1465 1943 1553 61888
# Fort Mojave spelling here
1999 2090 6626 7255 5321 7306 8932 9653 10493 8458 5668 4678 3772 80252
2000 1835 2255 4081 5286 7661 10947 10637 7840 5228 5253 2662 2186 65871
2001 1751 2573 7564 4911 8073 9916 8843 8550 4387 1957 3317 1604 63446
2002 2088 3620 4010 5343 6092 8976 8132 8728 6932 3768 3062 1231 61982
2003 1992 1183 2558 4966 6094 8469 7782 7589 8310 5073 1946 1480 57442
2004 2951 3683 5031 5431 6641 8057 8790 8458 6648 5570 3953 3890 69103 
2005 1370 2242 5344 6707 8854 10004 8725 8257 11739 4643 3010 1469 72364
2006 1788 3792 4909 4941 7384 8241 8700 9324 4513 3055 1721 1350 59718 
2007 3200 3797 5059 5121 9689 10219 8943 7756 6588 5387 3313 843 69915 
2008 1268 4789 5024 4999 7528 11299 11350 8479 4932 4064 2731 794 67264  # diff = -7 expected =  67264  got =  6725
2009 1814 3399 6171 4862 7526 10196 11451 7855 4021 3724 2124 906 64043  # diff = 6 expected =  64043  got =  64049
2010 1093 2164 3388 4510 5245 10177 12566 10039 4254 1398 2416 1968 59218 
2011 1799 3961 5884 5243 8731 10783 11716 10043 3834 2683 2335 1104 68116 
2012 2555 3682 6942 3688 8675 12104 9742 8720 3143 1788 2879 782 64700 
2013 845 5042 6047 4677 7540 11200 11094 6705 3482 2970 548 816 60966 
2014 1852 6022 5343 4421 8131 10960 10014 6920 4528 3106 2742 696 64735 
2015 1709 5578 5964 5934 8018 9721 9251 9507 4982 2057 2756 1597 67074 
2016 1725 5797 5439 5260 6712 8553 8667 8036 4168 3566 2454 1564 61941
2017 1046 4572 5379 6711 7906 8802 8521 8760 4294 4758 2335 1763 64847 
2018 2224 4233 4938 6773 7382 7613 7332 8582 8302 3597 2110 1151 64237 
2019 1481 2311 4534 7062 6168 6947 6926 8047 5280 6165 2176 0 57097 
2020 2315 2810 1662 6035 9237 7452 7124 7437 5876 5387 2943 3139 61417 
2021 2457 4500 5411 8492 8715 6491 6027 7260 5518 5289 3265 2991 66416 
