# USBR Lower Colorado Basin Annual reports: Gila Monster Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2001 245 410 532 953 2083 1681 1747 943 935 896 1108 941 12474 
2002 611 609 995 1145 1170 1684 1411 769 815 835 745 644 11433 
2003 366 380 643 577 557 746 924 435 515 722 417 303 6585 
2004 271 364 567 635 861 699 805 324 377 496 155 209 5763 
2005 74 211 350 356 508 762 685 445 472 361 296 224 4744 
2006 195 248 297 437 683 853 899 597 422 370 219 163 5384 
2007 321 332 607 675 527 578 396 392 412 584 334 145 5303 
2008 300 244 553 601 508 217 246 249 319 547 341 32 4157 
2009 317 232 530 557 636 383 252 301 308 498 288 216 4518 
2010 78 167 347 572 585 524 373 281 385 458 292 119 4181 
2011 245 189 548 619 568 344 278 440 252 424 248 229 4384 
2012 274 324 492 555 801 503 225 311 322 446 300 172 4725 
2013 223 290 538 706 787 457 181 232 209 383 269 229 4504 
2014 304 344 558 799 700 326 215 209 237 481 334 165 4672 
2015 137 308 454 564 371 162 179 292 313 170 194 336 3480 
2016 213 375 540 301 167 339 333 184 251 438 390 225 3756 
2017 233 232 690 703 539 245 120 222 148 468 358 239 4197 
2018 259 334 553 638 564 368 275 312 259 358 343 273 4536 
2019 235 225 541 677 652 471 288 368 220 430 246 177 4530 
2020 281 145 405 504 538 462 180 172 328 465 433 391 4304 
2021 220 351 480 639 610 551 162 227 316 373 301 206 4436 
