# USBR Lower Colorado Basin Annual reports: Gila Monster Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2001 278 419 545 976 2134 1732 1829 952 934 917 1181 1056 12953 
2002 661 680 949 1190 1181 1716 1515 862 805 869 860 791 12080 
2003 722 757 1049 938 1026 1274 1566 722 877 1126 760 532 11349
2004 539 624 1100 1205 1426 1723 1343 534 647 874 314 348 10677 
2005 159 446 509 690 885 1296 1175 809 886 615 513 556 8539 
2006 378 412 603 758 1156 1437 1587 994 668 631 426 279 9330
2007 573 587 1168 1205 957 1053 706 709 686 1014 554 243 9455
2008 516 449 977 1009 851 376 429 466 562 921 606 90 7252 
2009 589 431 949 929 1108 703 442 543 650 864 495 373 8076
2010 141 286 633 1034 1053 941 664 502 674 784 530 215 7457 
2011 450 347 978 1111 1012 617 497 774 436 738 474 413 7847 
2012 495 578 856 966 1386 860 393 535 558 771 520 325 8243 
2013 399 507 931 1193 1317 796 323 447 376 676 494 449 7908 
2014 542 624 951 1331 1171 552 358 348 393 793 565 317 7945 
2015 253 522 774 992 647 283 302 502 525 289 340 591 6020 
2016 377 648 996 546 293 586 572 320 437 755 658 398 6586 
2017 441 416 1221 1224 923 418 209 385 256 824 623 416 7356 
2018 474 595 942 1115 969 613 468 533 459 621 586 507 7882 
2019 421 391 936 1174 1112 795 492 622 384 736 427 380 7870 
2020 491 253 744 865 920 795 320 300 572 814 754 724 7552 
2021 403 595 856 1130 1065 1009 301 437 558 601 522 452 7929 
