# USBR Lower Colorado Basin Annual reports: Golden Shores Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, cu data starts in 2003
1989 32 32 33 32 32 33 32 32 33 32 32 33 388  # Total only
1990 21 16 28 30 37 45 49 47 37 31 22 22 385
1991 22 24 22 4 42 47 52 44 40 36 25 21 378
1992 21 17 28 31 37 45 49 48 37 31 22 22 389
1993 22 18 30 32 40 49 53 51 40 34 24 23 416
1994 29 23 39 42 51 63 68 65 51 43 31 30 535
1995 31 25 43 46 57 69 75 72 57 47 34 33 589
1996 45 45 45 45 45 45 45 45 45 45 45 45 542
1997 28 23 39 42 51 62 68 65 51 43 30 30 532
1998 27 21 36 39 48 58 64 61 48 40 29 28 501
1999 27 21 37 40 48 59 64 62 48 41 29 28 503
2000 29 23 40 43 53 64 70 67 53 44 31 30 547
2001 28 23 39 42 51 62 68 65 51 43 31 30 534
2002 29 23 39 42 52 63 68 66 52 43 31 30 538
# Real cu data starts here
2003 19 15 27 29 36 43 47 45 36 29 21 21 367 
2004 14 17 24 26 32 39 42 41 32 27 19 19 332 
2005 16 21 28 30 37 45 49 47 37 31 22 21 384
2006 15 18 25 27 33 40 44 42 33 28 19 19 343 
2007 13 17 23 25 30 37 40 39 30 25 18 17 314
2008 13 15 21 23 28 34 37 36 28 23 17 16 291 
2009 13 16 22 24 29 36 40 38 30 25 17 17 307 
2010 13 16 22 24 29 36 39 37 29 25 17 17 304 
2011 13 17 23 25 30 36 40 38 30 25 18 17 312 
2012 13 17 22 24 29 36 39 38 29 25 17 17 306 
2013 21 19 21 27 36 35 39 40 27 27 21 21 334 
2014 21 17 22 40 25 28 36 28 27 27 18 20 309 
2015 15 16 16 19 21 27 30 24 26 21 17 21 253 
2016 17 17 17 23 19 33 29 27 26 21 19 21 269 
2017 15 15 19 19 23 43 27 29 26 27 24 17 284 
2018 16 15 19 19 24 43 27 29 26 28 24 17 287 
2019 19 17 19 23 27 30 32 33 30 21 17 20 288 
2020 18 17 18 24 27 30 32 34 31 22 17 20 290 
2021 17 19 22 22 25 32 30 31 35 24 15 18 290 
