# USBR Lower Colorado Basin Annual reports: Golden Shores Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1989 32 32 33 32 32 33 32 32 33 32 32 33 388  # Total only
1990 21 16 28 30 37 45 49 47 37 31 22 22 385
1991 22 24 22 4 42 47 52 44 40 36 25 21 378
1992 21 17 28 31 37 45 49 48 37 31 22 22 389
1993 22 18 30 32 40 49 53 51 40 34 24 23 416
1994 29 23 39 42 51 63 68 65 51 43 31 30 535
1995 31 25 43 46 57 69 75 72 57 47 34 33 589
1996 45 45 45 45 45 45 45 45 45 45 45 45 542
1997 28 23 39 42 51 62 68 65 51 43 30 30 532
1998 27 21 36 39 48 58 64 61 48 40 29 28 501
1999 27 21 37 40 48 59 64 62 48 41 29 28 503
2000 29 23 40 43 53 64 70 67 53 44 31 30 547
2001 28 23 39 42 51 62 68 65 51 43 31 30 534
2002 29 23 39 42 52 63 68 66 52 43 31 30 538
2003 29 23 40 43 53 64 70 67 53 44 31 31 547
2004 21 26 36 39 48 58 63 61 48 40 28 28 496 
2005 24 31 42 45 55 67 73 70 55 46 33 32 573
2006 23 27 37 40 50 60 66 63 50 42 28 29 515 
2007 20 25 34 37 45 55 60 58 45 38 27 26 470
2008 19 23 32 34 42 51 55 53 42 35 25 24 435
2009 20 24 33 36 44 53 59 56 45 37 26 25 458 
2010 19 24 33 36 44 53 58 55 44 37 26 25 454 
2011 20 25 34 37 45 54 59 57 45 37 27 26 466 
2012 20 25 33 36 44 54 58 56 44 37 26 26 459 
2013 31 28 32 41 54 52 58 59 40 41 32 31 499
2014 31 25 33 60 38 42 53 42 40 41 27 30 462
2015 23 23 24 29 31 40 45 36 39 32 25 31 378
2016 25 25 26 35 29 50 43 41 39 31 28 31 403 
2017 23 22 28 29 34 64 41 43 38 41 36 25 424 
2018 24 23 28 29 36 64 41 43 38 41 36 25 428 
2019 28 25 28 35 40 45 48 49 45 32 26 29 430 
2020 27 25 27 36 41 45 48 50 46 33 25 30 433 
2021 26 28 33 33 37 48 45 46 52 36 22 27 433 
