# USBR Lower Colorado Basin Annual reports: Havasu National Farm Ditch
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2005 0 0 100 1056 975 905 1085 437 678 458 296 0 5990
2006 161 220 694 1166 1103 1121 781 563 585 444 65 92 6995 
2007 96 406 1074 1293 1050 1019 766 542 622 261 0 0 7129
2008 0 175 1198 1313 859 780 642 443 186 0 0 0 5596
2009 0 869 1323 658 419 562 435 476 165 167 31 5105 
2010 0 64 713 779 818 797 726 561 458 183 37 0 5136 
2011 0 41 1153 1533 1146 1269 1351 926 491 167 16 0 8093
2012 86 475 1208 1884 1181 1086 511 398 434 60 0 0 7323 
2013 0 112 1454 1153 530 552 440 599 30 491 0 -19 5344 
2014 -12 227 1360 1142 679 466 402 146 390 301 94 -16 5179 
2015 52 95 1341 1349 582 572 444 520 598 230 32 3 5818 
2016 32 273 1096 1483 886 790 640 354 445 271 53 -1 6322 
2017 -7 10 623 1097 708 731 614 311 225 194 30 19 4555
2018 -2 65 621 1583 1177 828 456 274 620 123 104 -7 5842
2019 -6 82 238 814 985 856 750 482 500 55 1 -9 4748
2020 -5 15 100 577 692 459 225 263 199 117 8 -10 2640
2021 -4 1 344 670 1033 603 477 291 384 141 -7 -8 3925 
