# USBR Lower Colorado Basin Annual reports: Havasu National Meas
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 0 0 0 3626 2227 15 0 0 0 0 0 0 5868
2004 0 0 0 0 1900 569 0 0 0 0 0 0 2469
2005 0 0 0 0 0 0 0 30 12 14 14 16 86
2006 13 11 10 6 0 0 0 0 11 6 0 0 57
2007 0 0 2 9 0 1 0 0 0 0 0 12
2008 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 0 0 0 0 0 0
2010 0 0 0 0 0 0 0 0 0 0 0 0 0 
2011 0 0 0 0 0 0 0 0 0 0 0 0 0 
2012 0 0 10 0 0 0 0 0 0 0 0 0 10 
2013 0 0 -96 -3 4 2 0 0 0 0 0 0 -93
2014 0 0 -264 -7 2 0 0 0 0 0 0 0 -269
2015 0 0 -377 -171 1 0 0 0 0 0 0 0 -547
2016 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018 0 0 0 0 0 0 0 0 0 0 0 0 0 
2019 0 0 0 0 0 1 0 0 0 0 0 0 1 
2020 0 0 0 0 0 0 0 0 0 0 0 0 0 
2021 0 0 0 0 0 0 0 0 0 0 0 0 0 
