# USBR Lower Colorado Basin Annual reports: Havasu National Pump
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 1  2 10 8 14 15 18 22 24 23 18 15 11 11 190 
2004 9 11 15 17 20 25 27 26 20 17 12 12 211
2005 11 9 15 17 21 25 27 26 21 17 12 12 213
2006 10 11 15 17 20 25 27 26 20 17 12 12 212
2007 10 11 15 17 20 25 27 26 20 17 12 12 212
2008 10 11 15 17 20 25 27 26 20 17 12 12 212
2009 10 11 15 17 20 25 27 26 20 17 12 12 212
2010 10 11 15 17 20 25 27 26 20 17 12 12 212
2011 10 11 15 17 20 25 27 26 20 17 12 12 212
2012 10 11 15 17 20 25 27 26 20 17 12 12 212
2013 10 14 15 17 20 25 27 26 20 17 12 12 212
2014 10 11 15 17 20 25 27 26 20 17 12 12 212 
2015 10 11 15 17 20 25 27 26 20 17 12 12 212 
2016 10 11 15 17 20 25 27 26 20 17 12 12 212 
2017 10 11 15 17 20 25 27 26 20 17 12 12 212
2018 10 11 15 17 20 25 27 26 20 17 12 12 212 
2019 10 11 15 17 20 25 27 26 20 17 12 12 212 
2020 10 11 15 17 20 25 27 26 20 17 12 12 212 
2021 10 11 15 17 20 25 27 26 20 17 12 12 212 
