# USBR Lower Colorado Basin Annual reports: Havasu National Inlet
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 789 1343 6897 6251 6107 5571 5144 3013 2230 3174 1208 1270 42997
2004 1020 2150 6499 6796 6771 6400 5209 3800 3930 2560 2040 2230 49405
2005 0 0 100 1056 975 905 1085 437 678 458 296 0 5990
2006 650 1245 3490 6306 5834 4735 3209 2005 1615 1197 0 143 30429
2007 399 1571 4081 5861 5102 4943 5320 3334 1968 678 0 0 33257
2008 0 718 5059 7119 5330 5006 3885 3017 1726 679 569 0 33108
2009 970 1480 6471 6891 3762 2805 3171 2902 2600 803 728 258 32841
2010 125 434 3711 4880 4603 4667 4434 3169 3387 2590 343 90 32433
2011 20 158 1816 3247 347 2382 1988 2814 2618 489 18 16 15913
2012 1602 3297 4747 3300 3130 4730 3000 2220 2220 719 561 16 29542 
2013 75 256 4070 6310 4540 4400 2690 2380 447 1810 187 36 27201 
2014 99 412 5680 6070 4590 4270 3910 1520 2110 1330 386 2 30379 
2015 0 0 2560 6670 3570 3390 2420 2040 3000 1290 328 30 25298 
2016 215 1120 4390 5560 3880 3570 3060 1930 2130 1320 541 88 27804 
2017 24 150 3065 5023 3318 3312 2984 1787 1316 1224 427 215 22845 
2018 36 426 2591 5232 5198 4302 3078 1794 2896 1082 950 57 27642 
2019 71 540 1326 3643 4218 4271 3852 2442 2321 358 142 44 23228 
2020 0 281 815 3171 5083 4093 2963 2711 2532 1697 546 0 23892 
2021 0 268 3207 5508 5936 4473 3331 2058 2108 1007 179 44 28119 
