# USBR Lower Colorado Basin Annual reports: Havasu National Unmeas
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 703 1189 6082 2323 3430 4909 4548 2672 1978 2807 1073 1127 32841
2004 906 1902 5732 5995 4304 5153 4608 3367 3476 2268 1806 1973 41490
2005 18 246 409 5958 5487 4902 4830 2064 2833 2097 1058 26 29928
2006 711 1289 3687 6585 6122 5175 3535 2283 1944 1454 68 217 33070
2007 444 1749 4548 6303 5431 5268 5379 3434 2297 841 11 11 35716
2008 9 796 5519 7435 5464 5114 4008 3068 1700 612 511 11 34247
2009 862 1312 6472 7243 3907 2859 3309 2959 2724 867 798 265 33577
2010 119 448 3906 4995 4788 4830 4565 3305 3401 2455 345 90 33247 
2011 26 185 2626 4221 1331 3235 2962 3314 2754 592 40 25 21311 
2012 1494 3329 5245 4577 3811 5140 3113 2327 2353 700 504 25 32618 
2013 74 334 4874 6583 4479 4380 2778 2645 438 2040 175 26 28826 
2014 85 572 6208 6362 4654 4190 3818 1489 2218 1450 433 0 31479 
2015 55 93 3778 7222 3671 3509 2544 2276 3184 1353 327 40 28052 
2016 226 1235 4841 6213 4212 3858 3280 2033 2284 1415 534 88 30219
2017 24 150 3259 5401 3560 3580 3190 1869 1374 1263 413 216 24299 
2018 39 441 2840 6012 5628 4536 3134 1843 3112 1075 938 55 29653 
2019 66 557 1390 3937 4596 4533 4074 2596 2500 379 136 41 24805 
2020 4 270 819 3313 5100 4028 2829 2640 2421 1611 498 2 23535 
2021 5 246 3138 5452 6150 4489 3375 2090 2211 1025 162 42 28385 
