# USBR Lower Colorado Basin Annual reports: Havasu National Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 # No record
1965 # No record
1966 # Footnote, No record except on the well
1967 # Footnote, No record unless its 164
1968 # Footnote, Record is hand written hard to read
1969 307 0 80 1600 3470 3530 6700 8200 4440 690 3940 5740 38697
1970 0 100 3380 1760 1840 3050 5430 6480 9770 8500 3350 0 43660
1971 349 522 3220 3230 3130 5120 4110 4170 4800 3830 1690 4080 37241
1972 0 0 1150 2570 3120 6070 6670 3770 3480 3490 6330 41600
1973 1620 0 1510 1590 3380 8810 5480 5180 6020 6220 4230 1040 45080
1974 0 0 1790 3380 3040 3490 2820 2820 6300 5620 1970 3900 35270
1975 0 0 2830 3450 3450 5250 6660 4640 5320 3700 2530 2900 40730
1976 0 0 9558 877 3283 9892 1831 6851 3173 3155 807 2576 42003
1977 0 0 7557 978 2055 5088 4122 5284 5441 4516 1142 2100 38283
1978 38 0 6077 1207 3954 6237 3428 6735 4048 1845 1221 1531 36321
1979 158 2099 4752 4392 2799 5286 5999 3680 3242 5212 2640 1561 41820
1980 916 1186 4863 3549 4389 4958 4280 7122 4149 1737 1584 882 39615
1981 506 3112 4417 2351 4789 6293 4601 7404 4066 1075 494 374 39482 
1982 1102 3746 4971 3974 2735 6521 7623 3855 2325 1399 234 620 39105
1983 6091 1139 1262 2567 4320 6280 0 0 0 0 0 0 21669
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 2394 1684 1615 1246 1289 4625 6579 744 3013 7361 5518 2168 38236 
1987 169 496 2896 3610 3642 5816 6730 6663 2340 1197 914 3683 38156 
1988 3729 0 3342 4939 3162 5849 6022 4425 3560 1961 1228 899 39116 
1989 689 2080 5930 5660 3530 6170 7620 5890 3820 1312 286 0 42987 
1990 534 2130 5880 5160 4190 4800 5060 4230 3170 1860 1130 535 38779
1991 545 1740 3290 5730 4830 5890 7070 4860 2610 1450 833 631 39479 
1992 113 1690 1310 3010 5820 4170 5850 2600 1290 1580 322 1410 29165
1993 23 0 0 0 2260 10590 9630 7540 4540 4210 2440 0 41233 
1994 115 3518 9048 7915 9342 9051 8312 5350 4020 2200 574 59165
1995 48 2370 9590 11490 8948 9336 6505 5312 3188 2600 608 747 60742
1996 685 1134 5567 6767 4998 5177 7449 5217 3600 1447 222 529 42792
1997 241 7090 5880 4691 4899 8500 8208 7510 3920 3890 2924 329 58082
1998 1920 1530 5970 4844 7929 7383 8416 5300 6164 3524 2160 827 55967
1999 282 346 5800 6560 5730 7040 4850 4037 4540 1880 2560 305 43930
2000 55 198 2761 4360 6068 6990 5990 4310 2430 3600 1570 1670 40002 
2001 1280 3960 3700 6917 5621 6596 1860 1676 2790 1500 1100 839 37839
2002 1450 4740 5456 3715 4486 6753 6895 5545 3730 1456 720 334 45280
2003 789 1343 6897 6251 6107 5571 5144 3013 2230 3174 1208 1270 42997 # meass/unmeas Topock Marsh inlet, Farm Ditch, Pumped needs to be added here
2004 1020 2150 6499 6796 6771 6400 5209 3800 3930 2560 2040 2230 49405 
2005 10 270 350 5697 5239 4641 4377 1913 2532 1922 908 33 27892
2006 650 1245 3490 6306 5834 4735 3209 2005 1615 1197 0 143 30429 
2007 399 1571 4081 5861 5102 4943 5320 3334 1968 678 0 0 33257
2008 0 718 5059 7119 5330 5006 3885 3017 1726 679 569 0 33108 
2009 970 1480 6471 6891 3762 2805 3171 2902 2600 803 728 258 32841 
2010 125 434 3711 4880 4603 4667 4434 3169 3387 2590 343 90 32433 
2011 20 158 1816 3247 347 2382 1988 2814 2618 489 18 16 15913 
2012 1602 3297 4747 3300 3130 4730 3000 2220 2220 719 561 16 29542 
2013 75 256 4070 6310 4540 4400 2690 2380 447 1810 187 36 27201 
2014 99 412 5680 6070 4590 4270 3910 1520 2110 1330 386 2 30379 
2015 0 0 2560 6670 3570 3390 2420 2040 3000 1290 328 30 25298 
2016 215 1120 4390 5560 3880 3570 3060 1930 2130 1320 541 88 27804 
2017 24 150 3065 5023 3318 3312 2984 1787 1316 1224 427 215 22845 
2018 36 426 2591 5232 5198 4302 3078 1794 2896 1082 950 57 27642 
2019 71 540 1326 3643 4218 4271 3852 2442 2321 358 142 44 23228 
2020 0 281 815 3171 5083 4093 2963 2711 2532 1697 546 0 23892 
2021 0 268 3207 5508 5936 4473 3331 2058 2108 1007 179 44 28119 
