# USBR Lower Colorado Basin Annual reports: Hopi Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Part of Cibola Valley
# 2005 0 0 539 175 731 949 874 481 631 870 761 736 6747
# 2006 192 596 263 255 664 1177 1159 1092 920 110 89 168 6685
# 2007 274 499 543 411 702 799 884 763 596 504 387 331 6693
# 2008 202 378 379 210 673 527 824 675 604 239 177 139 5027
# 2009 0 452 567 609 776 401 530 578 474 265 201 93 4946
# 2010 0 0 88 223 547 858 996 1056 632 382 96 20 4898
# 2011 0 291 43 115 772 941 1043 867 809 18 0 0 4899
# 2012 237 138 336 66 531 808 916 1123 743 121 0 0 5019
# Moved out of Cibola Valley here
2013 0 647 66 33 630 936 732 560 552 525 0 0 4681 
2014 0 656 53 119 588 961 902 707 609 0 0 305 4900 
2015 284 523 759 713 360 305 362 436 430 277 281 151 4881 
2016 33 481 270 285 573 751 631 451 632 233 316 244 4900 
2017 0 633 235 259 613 700 982 592 560 231 0 0 4805 
2018 0 738 133 240 628 855 722 767 715 0 0 0 4798 
2019 0 303 354 145 375 802 994 817 701 32 56 50 4629 
2020 0 402 254 135 550 716 1068 875 635 103 0 44 4782 
2021 0 780 62 29 659 935 1041 653 681 133 48 6 5027 
