# USBR Lower Colorado Basin Annual reports: Imperial National Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, real CU data starts in 2003
1967 29 29 29 29 29 30 29 29 29 29 29 30 350
1968 30 30 30 30 30 30 30 30 30 30 30 30 361
1969 37 37 37 38 37 37 37 38 37 37 37 38 447
1970 18 18 18 18 18 18 18 18 18 17 18 17 214  # No monthly data, just total
1971 1 1 1 1 1 1 1 1 6 17 37 46 114
1972 13 13 13 13 13 13 13 13 13 12 13 12 154  # No monthly data, just total
1973 8 8 6 3 3 2 1 46 71 46 15 15 224
1974 2 0 0 0 0 0 0 30 51 11 26 24 144
1975 24 35 0 19 20 52 18 9 49 38 16 23 303
1976 20 21 20 21 20 21 20 21 20 21 20 21 245  # No monthly data, just total
1977 13 13 13 13 13 13 13 13 13 13 13 13 155  # No monthly data, just total
1978 21 2 20 37 40 47 57 42 52 30 16 16 380
1979 23 23 23 23 23 23 23 23 23 23 23 23 275  # No monthly data, just total
1980 28 28 28 28 28 28 28 28 28 28 28 28 337  # No monthly data, just total
1981 8 9 9 16 14 15 14 15 12 11 10 5 138
1982 8 9 10 17 15 16 15 16 12 11 10 5 144
1983 1 1 2 3 3 3 3 3 3 2 1 1 26
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 # No Record
1988 2 2 2 2 2 2 2 2 2 2 2 2 24 # No monthly data, just total
1989 17 18 17 18 17 18 17 18 17 18 17 18 210   # No monthly data, just total
1990 607 223 354 490 854 1128 739 750 1123 1174 1515 1372 10329
1991 380 417 388 73 739 834 907 775 702 636 439 366 6656
1992 427 342 583 629 769 932 1017 979 769 644 458 451 8002
1993 483 384 655 707 865 1049 1144 1101 865 725 515 507 9000
1994 480 384 655 707 865 1049 1145 1102 866 725 515 507 9000
1995 534 427 729 786 962 1165 1272 1223 961 806 572 563 10000
1996 533 427 728 787 962 1166 1272 1224 961 805 572 563 10000
1997 426 342 582 629 769 932 1017 978 769 644 458 450 8000
1998 373 299 510 550 673 816 890 857 673 564 400 394 7000
1999 426 342 582 629 769 933 1018 979 770 645 458 450 8000
2000 480 384 655 707 865 1049 1147 1101 865 725 515 507 9000
2001 426 342 582 629 769 933 1018 979 770 645 458 450 8000
2002 160 128 218 236 288 350 382 367 289 242 172 169 3000
# Real CU data starts here
2003 99 56 61 98 146 937 184 114 174 69 40 94 2073 
2004 73 66 108 144 107 231 200 224 152 64 50 77 1496 
2005 58 32 45 77 103 153 90 143 125 66 133 163 1188
2006 135 105 76 73 122 95 71 77 81 75 76 49 1035 
2007 43 32 32 32 50 43 76 57 91 41 35 337 869 
2008 56 156 125 95 63 213 139 162 46 100 33 5 1193 
2009 58 50 38 45 95 162 103 69 92 66 24 110 912 
2010 122 110 122 94 97 94 219 212 219 114 110 114 1627 
2011 69 63 69 66 69 66 76 76 73 6 6 6 645 
2012 77 61 61 86 42 24 29 64 172 0 0 0 616 
2013 7 87 143 144 138 164 119 121 91 4 1 0 1019 
2014 2 32 108 115 127 153 169 150 123 4 28 29 1040 
2015 47 139 107 123 103 142 149 152 132 30 33 14 1171 
2016 33 71 161 161 168 180 212 232 142 33 33 35 1461 
2017 39 150 151 208 179 209 184 236 166 194 179 69 1964 
2018 156 139 210 187 219 401 284 294 188 161 52 38 2329 
2019 23 39 63 202 281 209 285 280 340 203 153 152 2230 
2020 110 126 169 153 192 247 344 254 261 775 189 158 2978 
2021 107 134 144 156 174 269 287 186 213 162 270 242 2344 
