# USBR Lower Colorado Basin Annual reports: Imperial National Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965
1966
1967 29 29 29 29 29 30 29 29 29 29 29 30 350
1968 30 30 30 30 30 30 30 30 30 30 30 30 361
1969 37 37 37 38 37 37 37 38 37 37 37 38 447
1970 18 18 18 18 18 18 18 18 18 17 18 17 214  # No monthly data, just total
1971 1 1 1 1 1 1 1 1 6 17 37 46 114
1972 13 13 13 13 13 13 13 13 13 12 13 12 154  # No monthly data, just total
1973 8 8 6 3 3 2 1 46 71 46 15 15 224
1974 2 0 0 0 0 0 0 30 51 11 26 24 144
1975 24 35 0 19 20 52 18 9 49 38 16 23 303
1976 20 21 20 21 20 21 20 21 20 21 20 21 245  # No monthly data, just total
1977 13 13 13 13 13 13 13 13 13 13 13 13 155  # No monthly data, just total
1978 21 2 20 37 40 47 57 42 52 30 16 16 380
1979 23 23 23 23 23 23 23 23 23 23 23 23 275  # No monthly data, just total
1980 28 28 28 28 28 28 28 28 28 28 28 28 337  # No monthly data, just total
1981 8 9 9 16 14 15 14 15 12 11 10 5 138
1982 8 9 10 17 15 16 15 16 12 11 10 5 1447
1983 1 1 2 3 3 3 3 3 3 2 1 1 26
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 # No Record
1988 2 2 2 2 2 2 2 2 2 2 2 2 24 # No monthly data, just total
1989 17 18 17 18 17 18 17 18 17 18 17 18 210   # No monthly data, just total
1990 607 223 354 490 854 1128 739 750 1123 1174 1515 1372 10329
1991 380 417 388 73 739 834 907 775 702 636 439 366 6656
1992 427 342 583 629 769 932 1017 979 769 644 458 451 8002
1993 483 384 655 707 865 1049 1144 1101 865 725 515 507 9000
1994 480 384 655 707 865 1049 1145 1102 866 725 515 507 9000
1995 534 427 729 786 962 1165 1272 1223 961 806 572 563 10000
1996 533 427 728 787 962 1166 1272 1224 961 805 572 563 10000
1997 426 342 582 629 769 932 1017 978 769 644 458 450 8000
1998 373 299 510 550 673 816 890 857 673 564 400 394 7000
1999 426 342 582 629 769 933 1018 979 770 645 458 450 8000
2000 480 384 655 707 865 1049 1147 1101 865 725 515 507 9000
2001 426 342 582 629 769 933 1018 979 770 645 458 450 8000
2002 160 128 218 236 288 350 382 367 289 242 172 169 3000 
2003 160 90 98 158 235 1511 297 184 281 111 65 152 3343
2004 117 106 175 233 172 372 322 361 245 103 80 125 2411 
2005 93 52 72 125 166 247 145 231 202 107 214 263 1917 
2006 218 169 122 118 196 154 115 125 131 121 123 78 1671 
2007 70 51 52 52 80 69 122 92 146 66 57 543 1400 
2008 90 251 201 153 102 344 224 261 74 161 54 8 1923 
2009 93 80 61 73 154 261 166 112 149 108 39 178 1472
2010 197 178 197 152 156 152 353 342 353 184 178 184 2626 
2011 112 101 112 107 111 107 122 122 118 10 9 10 1041 
2012 124 99 98 138 68 38 46 103 278 0 0 0 992 
2013 12 141 230 232 222 264 192 195 147 7 2 0 1644 
2014 3 52 175 185 205 247 272 242 198 7 45 47 1678 
2015 76 225 172 199 166 229 240 245 213 48 54 22 1889 
2016 53 115 260 260 271 290 342 375 229 54 54 57 2360 
2017 63 242 244 336 288 337 297 381 267 313 288 112 3168 
2018 252 225 338 301 354 647 458 474 303 260 84 61 3757 
2019 37 63 101 326 453 337 459 452 548 328 248 245 3597 
2020 177 203 273 247 310 399 554 409 421 1250 305 255 4803 
2021 172 216 233 251 280 434 463 300 343 262 436 390 3780 
