# USBR Lower Colorado Basin Annual reports: Lake Havasu Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, Real Consumptive Use starts in 2003
1969 128 124 215 208 229 262 305 350 320 282 183 186 2792
1970 167 154 198 263 334 395 413 395 362 299 219 166 3365
1971 133 212 260 323 319 330 497 419 437 357 280 202 3769
1972 216 228 388 345 422 488 637 645 568 358 321 302 4918
1973 240 207 269 349 503 532 699 478 584 480 387 342 5070
1974 264 354 420 498 646 696 722 767 717 643 478 496 6701
1975 383 328 479 505 673 785 896 889 761 632 500 433 7267  # diff = -3 expected =  7267  got =  7264
1976 422 395 495 575 753 886 878 859 611 578 482 393 7327
1977 340 370 450 557 951 992 867 814 734 508 506 435 7524
1978 324 332 449 575 716 874 922 1079 797 743 522 438 7771
1979 405 401 476 787 847 968 1029 970 920 870 535 476 8684
1980 39 371 501 675 849 959 1080 1132 962 868 657 530 8982
1981 485 404 505 683 856 1005 1091 1087 932 750 619 499 8916
1982 464 425 483 617 798 836 942 916 898 778 509 383 8049
1983 476 427 495 621 851 994 1110 824 797 705 604 545 8449
1984 526 555 721 661 940 995 990 986 833 794 641 443 9085
1985 520 437 670 819 928 1062 1203 1179 973 845 626 553 9815
1986 563 484 692 806 1006 1149 1201 1184 1003 781 695 540 10104
1987 548 561 697 843 967 1101 1374 1245 1076 978 622 624 10636
1988 607 627 806 781 1078 1123 1369 1283 1149 1173 909 759 11664  # checked, diff = -359 expected =  8982
1989 716 734 927 1069 1208 1337 1486 1477 1318 1114 943 874 13203
1990 670 669 883 932 1127 1296 1386 1445 1079 1122 917 764 12290
1991 672 696 706 861 1105 1221 1446 1350 1204 1158 831 711 11961
1992 671 626 667 949 1193 1272 1430 1374 1292 1154 892 723 12243
1993 599 566 882 929 1286 1190 1711 1303 1284 1162 930 824 12666
1994 790 741 906 1043 1247 1306 1794 1552 1406 1234 964 794 13777
1995 706 721 887 1048 1221 1406 1539 1628 1446 1325 1002 876 13805
1996 882 834 991 1179 1404 1556 1565 1586 1344 1276 986 863 14466
1997 907 830 1076 1105 1436 1487 1626 1504 1290 1253 973 1525 15012
1998 1457 656 933 1059 1309 1379 1599 1507 1055 1304 816 723 13797
1999 786 734 983 1029 1286 1442 1380 1299 1280 1335 936 871 13361
2000 867 803 850 1078 1384 1344 1927 1572 1642 1281 977 905 14630
2001 872 770 968 1154 1506 1608 1477 1589 1558 1377 1203 981 15063
2002 954 943 1143 1270 1480 1702 1678 1475 1715 1393 1089 979 15821
# Real CU data starts here
2003 608 535 636 739 930 1136 1159 1055 936 937 731 658 10060 
2004 626 593 715 820 951 1014 1075 1029 803 2256 554 671 11107 
2005 608 573 680 696 756 802 832 712 587 504 577 601 7928
2006 591 551 597 763 904 913 867 752 796 746 766 763 9009 
2007 712 635 686 706 707 930 1012 1112 944 905 787 690 9826 
2008 685 639 751 836 930 1019 1194 1125 995 969 728 652 10523 
2009 662 562 738 747 947 916 1073 995 900 891 693 599 9723 
2010 545 496 557 625 727 800 874 904 807 686 570 484 8075 
2011 507 459 572 590 706 757 827 932 740 736 536 498 7860 
2012 526 516 601 622 767 824 812 767 756 690 596 509 7986 
2013 504 474 601 639 761 815 818 802 703 675 567 511 7870 
2014 504 511 590 627 706 734 815 740 684 670 570 492 7643 
2015 491 451 531 563 614 684 734 748 711 621 534 500 7182 
2016 459 492 628 598 678 805 831 756 683 651 560 505 7646 
2017 455 438 555 584 644 725 824 776 737 718 702 553 7711 
2018 533 498 571 625 706 747 783 823 756 645 571 519 7777 
2019 505 443 544 596 624 707 790 814 702 685 544 448 7402 
2020 486 470 486 557 733 684 699 723 682 815 781 616 7732 
2021 482 389 584 633 659 872 822 841 762 751 634 580 8009 
