# USBR Lower Colorado Basin Annual reports: Lake Havasu Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 # No Record
1965 # No Record
1966 # No Record
1967 # No Record
1968 # No Record
1969 128 124 215 208 229 262 305 350 320 282 183 186 2792
1970 167 154 198 263 334 395 413 395 362 299 219 166 3365
1971 133 212 260 323 319 330 497 419 437 357 280 202 3769
1972 216 228 388 345 422 488 637 645 568 358 321 302 4918
1973 240 207 269 349 503 532 699 478 584 480 387 342 5070
1974 264 354 420 498 646 696 722 767 717 643 478 496 6701
1975 383 328 479 505 673 785 896 889 761 632 500 433 7267  # diff = -3 expected =  7267  got =  7264
1976 422 395 495 575 753 886 878 859 611 578 482 393 7327
1977 340 370 450 557 951 992 867 814 734 508 506 435 7524
1978 324 332 449 575 716 874 922 1079 797 743 522 438 7771
1979 405 401 476 787 847 968 1029 970 920 870 535 476 8684
1980 39 371 501 675 849 959 1080 1132 962 868 657 530 8982
1981 485 404 505 683 856 1005 1091 1087 932 750 619 499 8916 
1982 464 425 483 617 798 836 942 916 898 778 509 383 8049 
1983 476 427 495 621 851 994 1110 824 797 705 604 545 8449
1984 526 555 721 661 940 995 990 986 833 794 641 443 9085
1985 520 437 670 819 928 1062 1203 1179 973 845 626 553 9815 
1986 563 484 692 806 1006 1149 1201 1184 1003 781 695 540 10104
1987 548 561 697 843 967 1101 1374 1245 1076 978 622 624 10636
1988 607 627 806 781 1078 1123 1369 1283 1149 1173 909 759 11664  # checked, diff = -359 expected =  8982
1989 716 734 927 1069 1208 1337 1486 1477 1318 1114 943 874 13203
1990 670 669 883 932 1127 1296 1386 1445 1079 1122 917 764 12290
1991 672 696 706 861 1105 1221 1446 1350 1204 1158 831 711 11961 
1992 671 626 667 949 1193 1272 1430 1374 1292 1154 892 723 12243 
1993 599 566 882 929 1286 1190 1711 1303 1284 1162 930 824 12666 
1994 790 741 906 1043 1247 1306 1794 1552 1406 1234 964 794 13777 
1995 706 721 887 1048 1221 1406 1539 1628 1446 1325 1002 876 13805 
1996 882 834 991 1179 1404 1556 1565 1586 1344 1276 986 863 14466 
1997 907 830 1076 1105 1436 1487 1626 1504 1290 1253 973 1525 15012 
1998 1457 656 933 1059 1309 1379 1599 1507 1055 1304 816 723 13797 
1999 786 734 983 1029 1286 1442 1380 1299 1280 1335 936 871 13361 
2000 867 803 850 1078 1384 1344 1927 1572 1642 1281 977 905 14630 
2001 872 770 968 1154 1506 1608 1477 1589 1558 1377 1203 981 15063 
2002 954 943 1143 1270 1480 1702 1678 1475 1715 1393 1089 979 15821 
2003 980 863 1026 1192 1500 1832 1869 1702 1509 1511 1179 1061 16224 
2004 1010 957 1154 1322 1534 1635 1734 1659 1295 3639 894 1082 17915 
2005 981 925 1097 1122 1220 1293 1342 1148 947 813 930 969 12787 
2006 954 889 963 1230 1458 1473 1399 1213 1284 1204 1236 1230 14533
2007 1149 1025 1107 1138 1141 1500 1632 1794 1523 1459 1270 1113 15851 
2008 1105 1030 1211 1348 1500 1643 1926 1815 1605 1563 1175 1052 16973 
2009 1068 907 1191 1205 1528 1477 1731 1605 1451 1437 1117 966 15683
2010 879 800 898 1008 1173 1291 1409 1458 1301 1107 920 781 13025 
2011 817 740 922 952 1138 1221 1334 1504 1194 1187 865 804 12678 
2012 849 832 969 1004 1237 1329 1310 1237 1220 1113 962 821 12883 
2013 813 765 970 1031 1228 1314 1320 1294 1134 1089 915 825 12698 
2014 813 825 952 1012 1138 1184 1314 1193 1103 1080 919 793 12326 
2015 792 728 857 908 991 1104 1184 1206 1147 1001 862 806 11586 
2016 741 794 1013 965 1093 1298 1340 1220 1101 1049 904 814 12332 
2017 734 706 895 942 1039 1170 1329 1251 1189 1158 1132 892 12437 
2018 859 803 922 1008 1138 1205 1263 1327 1220 1040 921 837 12543 
2019 815 714 877 961 1006 1140 1274 1313 1133 1105 878 722 11938 
2020 784 758 784 898 1182 1103 1127 1167 1100 1315 1259 993 12470 
2021 778 627 942 1021 1063 1406 1326 1357 1229 1211 1023 935 12918 
