# USBR Lower Colorado Basin Annual reports: Temple Bar Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1993 4 6 8 13 20 23 26 33 23 23 14 7 200  # No CU data, Diversion data, "From Lake Mead" here
1994 8 9 15 19 20 27 26 21 21 18 11 5 200
1995 5 7 8 13 14 14 20 25 20 21 16 15 178
1996 8 9 12 18 20 20 19 21 17 19 12 13 188
1997 9 12 12 19 17 17 18 18 15 16 8 5 166
1998 7 3 7 12 14 16 19 15 13 14 8 5 133
1999 5 5 15 9 13 14 13 19 13 12 9 7 134
2000 3 4 4 9 13 16 16 16 9 10 6 5 111
2001 3 3 6 8 12 15 9 17 13 7 6 6 104
2002 5 5 7 11 11 14 15 18 14 10 6 4 121
2003 7 7 8 12 14 20 20 19 17 13 10 7 154  # CU data from report starts here
2004 3 4 6 4 9 2 7 11 10 8 3 2 69
2005 1 1 2 3 7 7 11 10 11 8 6 3 70
2006 2 3 3 6 10 11 12 13 15 9 5 3 92
2007 4 3 5 10 12 13 15 12 9 7 5 2 97
2008 3 2 4 8 9 12 25 18 13 9 5 5 113
2009 6 2 4 8 10 8 17 23 18 18 7 2 123
2010 3 1 3 4 7 12 14 16 15 2 11 7 95
2011 8 7 8 11 13 14 17 12 11 8 8 11 128
2012 6 9 12 12 18 22 20 18 19 19 11 14 180
2013 0 4 5 8 13 15 13 17 14 13 10 11 123  # "Temple Bar" here
2014 12 10 13 12 14 14 19 17 15 16 13 15 170 
2015 12 10 12 11 13 14 17 17 15 7 5 4 137 
2016 5 5 6 9 10 11 11 16 14 15 11 3 116
2017 2 3 2 9 12 12 13 10 5 4 4 1 77
2018 1 2 2 5 4 8 11 10 8 5 4 4 64 
2019 2 3 3 5 7 8 9 11 8 6 3 1 66 
2020 1 1 1 3 1 7 9 9 10 7 4 3 56 
2021 3 4 3 5 10 10 11 12 9 4 7 2 80 
