# USBR Lower Colorado Basin Annual reports: Lake Mead Nat Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 9 10 11 16 19 27 27 29 25 21 17 11 222
1965 8 9 9 9 17 24 27 25 26 22 19 6 201
1966 4 6 8 15 21 22 31 31 29 18 16 12 213
1967 10 9 12 17 20 25 32 31 26 23 17 11 233
1968 8 9 12 21 21 26 31 30 29 28 19 13 247
1969 9 5 6 18 22 20 26 24 23 20 16 12 201
1970 11 12 12 15 21 24 30 29 26 24 17 12 233
1971 11 10 11 15 20 23 28 29 27 24 21 17 236
1972 15 13 15 16 18 19 33 43 38 25 24 23 282
1973 23 22 21 21 21 38 42 41 40 30 17 13 329
1974 9 14 19 25 37 39 37 44 37 26 13 10 310
1975 10 12 11 22 33 37 42 39 29 23 20 13 291
1976 13 11 18 17 32 39 42 39 20 13 13 10 267  # Total is illegible
1977 8 11 12 19 16 28 40 35 31 24 16 11 251
1978 7 6 12 18 22 31 36 34 30 22 12 9 239
1979 7 8 9 19 27 34 34 33 25 17 15 10 238
1980 6 6 9 17 21 27 33 40 28 22 12 9 230
1981 9 6 11 22 23 37 41 37 28 24 19 16 273
1982 14 14 18 23 31 33 31 41 24 21 16 13 279
1983 16 14 13 19 28 30 30 21 24 22 17 15 249
1984 15 17 26 31 43 41 42 37 40 37 30 11 370
1985 11 12 21 31 39 57 56 52 34 24 22 21 380
1986 19 16 30 33 46 40 40 43 33 25 24 15 364 
1987 16 16 19 31 41 48 47 50 42 33 15 11 369
1988 12 12 19 11 26 34 41 35 30 28 19 16 283
1989 15 13 20 26 32 12 47 46 37 22 17 14 301
1990 12 12 18 24 36 43 44 38 27 21 16 14 306
1991 51 65 76 21 25 26 35 29 24 21 13 10 395
1992 21 21 20 32 51 53 59 28 27 21 11 9 353 
1993 4 6 8 13 20 23 26 33 23 23 14 7 200 
1994 8 9 15 19 20 27 26 21 21 18 11 5 200 
1995 5 7 8 13 14 14 20 25 20 21 16 15 178 
1996 8 9 12 18 20 20 19 21 17 19 12 13 188
1997 9 12 12 19 17 17 18 18 15 16 8 5 166 
1998 7 3 7 12 14 16 19 15 13 14 8 5 133 
1999 5 5 15 9 13 14 13 19 13 12 9 7 134 
2000 3 4 4 9 13 16 16 16 9 10 6 5 111 
2001 3 3 6 8 12 15 9 17 13 7 6 6 104 
2002 5 5 7 11 11 14 15 18 14 10 6 4 121 
2003 7 7 8 12 14 20 20 19 17 13 10 7 154 
2004 3 4 6 4 9 2 7 11 10 8 3 2 69 
2005 1 1 2 3 7 7 11 10 11 8 6 3 70
2006 2 3 3 6 10 11 12 13 15 9 5 3 92 
2007 4 3 5 10 12 13 15 12 9 7 5 2 97 
2008 3 2 4 8 9 12 25 18 13 9 5 5 113 
2009 6 2 4 8 10 8 17 23 18 18 7 2 123
2010 3 1 3 4 7 12 14 16 15 2 11 7 95 
2011 8 7 8 11 13 14 17 12 11 8 8 11 128 
2012 6 9 12 12 18 22 20 18 19 19 14 180
2013 0 4 5 8 13 15 13 17 14 13 10 14 123
2014 12 10 13 12 14 14 19 17 15 16 13 15 170 
2015 12 10 12 11 13 14 17 17 15 7 5 4 137 
2016 5 5 6 9 10 11 11 16 14 15 11 3 116 
2017 2 3 2 9 12 12 13 10 5 4 4 1 77
2018 1 2 2 5 4 8 11 10 8 5 4 4 64 
2019 2 3 3 5 7 8 9 11 8 6 3 1 66 
2020 1 1 1 3 1 7 9 9 10 7 4 3 56 
2021 3 4 3 5 10 10 11 12 9 4 7 2 80 
