# USBR Lower Colorado Basin Annual reports: Pumped from Lake Mohave Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2017 8 8 13 15 19 20 20 19 17 15 10 15 179 
2017 2 2 2 2 2 3 3 3 2 2 2 1 26 
2018 16 14 19 19 17 18 18 16 13 14 13 13 190 
2018 1 1 2 2 2 3 4 4 3 1 2 2 27 
2019 8 10 12 13 14 13 17 21 25 14 19 19 185 
2019 2 2 2 2 3 3 2 3 3 3 2 3 30 
2020 15 16 12 12 13 16 19 22 17 14 11 11 178 
2020 3 3 2 1 3 3 4 4 4 4 2 2 35 
2021 22 10 12 13 18 16 21 19 19 16 15 16 197 
2021 2 2 2 2 2 3 3 3 3 3 2 2 29 
