# USBR Lower Colorado Basin Annual reports: Diversions from Lake Mohave Diversion (Lake Mead National Recreation)
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1991 51 65 76 21 25 26 35 29 24 21 13 10 395
1992 21 21 20 32 51 53 59 28 27 21 11 9 353 
1993 12 11 15 22 32 37 48 47 37 33 20 16 330
1994 15 13 29 25 30 42 42 41 35 32 18 15 337
1995 11 15 12 22 32 33 40 44 43 29 26 19 326 
1996 19 17 24 32 40 43 44 43 32 25 17 16 352 
1997 13 13 23 27 34 37 39 35 36 46 26 26 355 
1998 28 31 26 30 38 55 64 54 54 44 36 26 486 
1999 27 25 55 100 83 85 92 80 89 96 55 91 878 
2000 91 43 62 99 121 93 96 113 46 72 91 17 944
2001 28 52 98 91 96 92 96 94 37 94 93 81 952 
2002 17 15 47 22 36 29 36 41 24 21 20 15 322 
2003 12 11 14 16 25 27 36 35 24 19 17 9 245 
2004 10 8 14 18 20 26 31 24 24 16 11 11 213 
2005 8 8 8 13 16 20 29 29 21 18 12 9 191
2006 10 12 15 14 20 25 30 32 22 21 13 12 226 
2007 9 7 9 8 17 20 26 25 23 18 17 9 188 
2008 14 13 13 16 16 19 18 18 15 15 14 11 182 
2009 9 7 11 12 13 14 21 21 21 18 11 11 169 
2010 11 8 9 9 14 15 18 18 18 14 15 13 162 
2011 11 9 8 12 14 19 23 20 21 16 11 13 177 
2012 13 8 16 11 13 18 20 17 17 15 13 12 173
2013 12 10 10 14 17 19 21 24 14 14 14 13 182
