# USBR Lower Colorado Basin Annual reports: Marine Corps Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# This is diversion data
1987 66 121 165 217 266 309 374 333 298 216 36 48 2459
1988 50 61 176 180 261 225 321 305 267 165 101 6 2118
1989 12 48 156 194 185 245 237 231 221 185 77 48 1839
1990
1991
1992
1993
1994
1995
1996
1997
1998
1999
2000
2001
2002
# Real Consumptive Use data start here
2003 85 77 122 165 200 217 234 210 217 172 96 76 1871
2004 75 82 141 171 207 224 244 228 229 173 155 142 2071
2005 68 58 86 116 178 226 203 225 177 195 123 134 1789
2006 137 251 111 370 162 189 186 176 172 135 117 98 2104
2007 75 65 130 137 173 167 199 191 168 155 109 85 1654
2008 79 85 101 116 138 194 167 191 161 122 104 71 1529
2009 70 63 83 127 155 165 208 228 180 133 93 73 1578
2010 66 58 69 114 135 146 162 150 141 102 97 81 1321
2011 89 51 67 101 131 121 141 165 136 129 93 76 1300
2012 78 70 96 141 143 155 164 172 138 121 86 64 1428
2013 80 48 63 103 115 124 126 122 121 126 87 72 1187
2014 88 74 96 191 138 137 181 173 142 141 102 75 1538
2015 102 80 99 128 137 139 154 139 117 98 69 74 1336
2016 128 71 127 69 110 116 162 165 140 130 98 66 1382
2017 71 73 113 134 141 134 140 132 117 118 99 88 1360
2018 87 69 104 113 146 148 151 151 124 91 86 72 1342
2019 73 57 76 127 122 134 148 149 126 94 83 71 1260
2020 76 65 95 102 124 144 153 147 126 122 84 58 1296
2021 65 64 94 127 150 138 135 98 119 95 82 72 1239
