# USBR Lower Colorado Basin Annual reports: Marine Corps Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 72 70 154 225 224 296 308 224 213 142 130 73 2131
1984 60 54 89 116 250 279 259 231 207 146 49 35 1775 
1985 62 69 119 196 282 287 338 329 220 121 69 42 2134
1986 88 89 130 195 258 288 307 351 206 207 96 43 2258 
1987 66 121 165 217 266 309 374 333 298 216 36 48 2459
1988 50 61 176 180 261 225 321 305 267 165 101 6 2118
1989 12 48 156 194 185 245 237 231 221 185 77 48 1839
1990 59 37 116 184 258 277 301 250 181 126 54 19 1862
1991 80 108 78 149 199 212 176 150 130 117 138 81 1618 
1992 81 54 52 127 180 187 287 278 255 200 92 31 1824 
1993 63 89 43 114 224 233 269 224 201 174 86 61 1781
1994 67 66 156 170 202 267 271 238 213 139 21 6 1816 
1995 0 0 35 135 162 197 241 240 220 178 79 65 1552 
1996 39 54 114 208 258 313 337 323 262 180 135 69 2292 
1997 84 100 162 185 239 256 287 277 218 155 102 58 2123 
1998 60 56 117 130 187 235 289 274 217 148 101 62 1876 
1999 68 66 123 117 180 217 233 224 179 145 99 52 1703 
2000 80 87 113 177 239 252 256 242 215 175 110 84 2030
2001 68 73 117 155 227 304 334 327 251 261 131 59 2307 
2002 68 73 117 155 227 304 334 327 251 261 131 59 2307 
2003 85 77 122 165 200 217 234 210 217 172 96 76 1871 
2004 75 82 141 171 207 224 244 228 229 173 155 142 2071
2005 68 58 86 116 178 226 203 225 177 195 123 134 1789 
2006 137 251 111 370 162 189 186 176 172 135 117 98 2104 
2007 75 65 130 137 173 167 199 191 168 155 109 85 1654 
2008 79 85 101 116 138 194 167 191 161 122 104 71 1529 
2009 70 63 83 127 155 165 208 228 180 133 93 73 1578
2010 66 58 69 114 135 146 162 150 141 102 97 81 1321 
2011 89 51 67 101 131 121 141 165 136 129 93 76 1300 
2012 78 70 96 141 143 155 164 172 138 121 86 64 1428 
2013 80 48 63 103 115 124 126 122 121 126 87 72 1187 
2014 88 74 96 191 138 137 181 173 142 141 102 75 1538 
2015 102 80 99 128 137 139 154 139 117 98 69 74 1336 
2016 128 71 127 69 110 116 162 165 140 130 98 66 1382 
2017 71 73 113 134 141 134 140 132 117 118 99 88 1360 
2018 87 69 104 113 146 148 151 151 124 91 86 72 1342 
2019 73 57 76 127 122 134 148 149 126 94 83 71 1260 
2020 76 65 95 102 124 144 153 147 126 122 84 58 1296 
2021 65 64 94 127 150 138 135 98 119 95 82 72 1239 
