# USBR Lower Colorado Basin Annual reports: Mohave Valley Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1969 466 432 763 1567 1339 1450 1916 1457 1810 737 595 423 12955
1970 513 662 478 1711 1659 1572 1851 1791 1696 1033 445 347 13758
1971 418 676 903 1669 1356 1417 1905 1289 1209 934 596 293 12665
1972 316 547 728 1350 1059 1822 2017 1523 2660 886 497 449 13854
1973 247 462 1112 2138 2747 2534 2807 2877 2322 1435 514 460 19655
1974 462 743 1544 2556 2015 2136 1953 2164 4600 2632 817 281 21903
1975 99 181 892 1919 1405 3080 2630 4103 2930 1056 132 379 18806
1976 413 267 752 1221 1101 2360 3013 2734 1348 592 534 263 14598
1977 247 659 1175 3236 2456 3287 5115 4438 2436 722 739 426 24936
1978 188 287 790 2112 2145 2858 3947 3451 1931 698 491 177 19075
1979 501 913 1267 3356 2840 2982 3033 2972 1561 1134 827 1375 22761
1980 495 669 1677 3323 3138 3391 4295 4061 2664 1451 940 654 26758
1981 1260 1287 2608 3152 3440 4152 3822 6103 3006 1003 904 276 31013
1982 496 948 2533 3252 3899 4380 4206 4993 3093 1800 771 369 30740
1983 984 1097 1970 2678 3197 2803 3820 3699 2873 1229 1265 567 26182
1984 903 1094 2147 2379 2843 3046 3173 2907 2237 1707 745 315 23496
1985 374 685 1284 2322 2871 2306 3197 2868 1787 1234 811 474 20213
1986 894 951 1395 1921 1806 2851 3464 2394 1915 1103 837 555 20086
1987 776 788 1742 1797 2274 2956 3452 3559 2466 1343 762 601 22516
1988 531 1145 2116 2153 2897 3964 4125 3845 3399 2057 1246 1384 28862
1989 737 1420 3152 2843 3345 4171 5291 4586 3921 2255 1838 1757 35316
1990 1158 1985 2705 3395 2885 4590 4338 4977 3319 2204 1609 1894 35059
1991 1032 1586 2057 3546 4036 4894 5756 5672 3908 2495 2083 1485 38550
1992 976 989 1780 3718 3471 4888 5840 5585 3151 2531 1586 1204 35719 
1993 473 603 2699 3319 4203 5028 6010 5273 3425 2979 1783 1825 37620 
1994 1626 1799 3546 3483 3996 5823 6733 5900 3824 2652 1809 1237 42428
1995 349 1268 3140 2815 3568 5053 7061 5892 3811 2289 1767 1385 38398 
1996 1739 2192 3726 4179 4397 5853 6227 6032 4472 3276 2120 1580 45793
1997 1099 2301 4168 4515 4487 5713 6082 5466 2793 2896 2016 1064 42600
1998 1283 289 2611 2077 2779 4476 5453 4881 3179 2375 1397 868 31668
1999 1498 1517 3577 2934 3322 4648 4102 5036 2815 2429 1789 1314 34981 
2000 1561 1631 2764 3580 4580 4582 5491 4029 2652 2893 2070 1599 37432
2001 919 1493 3185 2917 4605 5289 5391 4601 3843 2740 1562 324 36869 
2002 1651 1715 2822 3225 3710 4634 4413 4175 4213 2369 1732 1111 35770
2003 2424 1595 1810 3389 3884 3963 4541 3795 3884 3458 1432 1406 35581 
2004 1910 1539 3198 4099 4184 5130 5023 4079 3220 1758 644 1080 35864 
2005 419 214 1762 3834 3951 5602 3469 2806 4114 1870 1530 2358 31929
2006 1057 1992 2363 3163 3146 6543 4096 3423 3935 2288 1946 1554 35506
2007 1297 2290 2724 4056 3472 3678 3693 3932 4527 2251 1964 1586 35470 
2008 966 2381 4020 4399 4136 5014 3531 3160 4217 2081 1868 1315 37088
2009 888 1553 1872 2596 2902 3344 4047 3794 3290 2542 1339 890 29057 
2010 523 636 1792 2451 2751 3256 3451 3671 2396 2006 1709 1358 26000 
2011 1128 814 1706 2183 2262 4297 3503 3358 3363 3259 2932 2937 31742 
2012 981 1004 1790 1941 2374 2430 2340 2595 2431 1616 1325 402 21229 
2013 808 657 2541 2195 3294 3719 3780 2848 1411 2576 1752 1212 26793 
2014 1943 1951 2924 3375 3995 4631 3976 3566 3058 2668 2319 686 35092 
2015 1393 1901 2604 3057 3222 3975 3439 4055 3686 1682 1605 1021 31640 
2016 1288 2082 3616 2457 3885 4873 4303 4087 4079 2626 2181 1399 36876 
2017 684 903 2340 2791 2906 3235 3894 3557 2163 2716 1481 1023 27693 
2018 303 1395 2284 3479 3500 3849 3941 5011 3134 2010 2148 373 31427 
2019 854 676 1630 3112 3412 4320 4168 3635 2897 2060 526 38 27328 
2020 859 1154 454 2242 2450 2448 2682 2253 2154 1383 914 465 19458 
2021 1332 1043 1152 1984 2007 1702 1674 1981 1574 1041 423 481 16394 
