# USBR Lower Colorado Basin Annual reports: Mohave Water Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Diversion data, cu data starts in 2003
1980 2 2 2 3 3 5 4 5 5 4 3 3 41
1981 3 3 2 4 5 5 6 5 4 3 4 3 49
1982 4 3 4 4 5 6 7 6 6 5 4 3 57
1983 4 3 4 4 6 7 8 6 7 5 4 4 62
1984 5 5 8 10 11 11 10 8 12 11 10 7 108
1985 14 9 12 13 16 17 18 16 15 15 13 10 168
1986 11 10 11 16 22 25 25 23 21 20 17 15 216
1987 16 14 16 23 31 36 36 32 30 29 24 22 309
1988 25 26 26 26 26 26 25 26 26 26 26 26 310 # Total only
1989 33 34 34 34 33 34 34 34 33 34 34 34 405 # Total only
1990 25 20 33 36 44 54 59 56 44 37 25 26 460
1991 24 29 24 31 36 43 49 44 44 45 32 27 428
1992 23 24 28 34 35 46 55 54 56 43 34 31 463
1993 28 23 29 38 44 53 58 55 55 42 39 33 497
1994 36 32 40 41 48 59 57 47 45 40 35 28 508
1995 25 28 32 37 43 54 61 69 61 52 55 47 564
1996 45 49 46 62 75 68 72 92 64 93 68 60 793
1997 37 30 50 54 67 81 88 85 67 56 39 38 692
1998 48 34 39 45 46 50 73 61 67 53 38 51 606
1999 42 44 45 56 47 54 61 62 64 50 50 50 626
2000 44 42 48 45 58 78 67 83 58 62 53 56 694
2001 51 44 48 59 75 73 81 89 67 72 66 51 777
2002 50 42 45 59 64 64 68 74 67 68 44 55 701
# Real cu data starts here
2003 18 17 20 23 28 31 34 32 27 27 23 21 301 
2004 42 34 37 44 45 46 56 60 58 44 36 45 547 
2005 33 32 44 50 54 70 61 57 71 54 56 52 634
2006 49 48 51 48 64 68 62 68 68 50 54 38 668
2007 29 36 49 53 65 79 86 82 65 54 39 38 675 
2008 43 40 42 51 52 52 76 62 62 60 45 48 633 
2009 41 40 44 52 51 64 68 62 58 56 46 46 628 
2010 38 36 40 48 47 60 63 57 54 52 43 42 580 
2011 14 13 12 15 17 17 22 21 22 20 16 14 203 
2012 44 46 38 42 52 48 53 55 47 52 40 40 557 
2013 44 33 36 40 53 52 55 58 46 50 40 39 546 
2014 44 40 48 54 55 62 75 67 62 62 51 52 672 
2015 37 33 40 46 46 52 63 56 52 52 43 42 562 
2016 42 38 45 52 52 60 70 64 59 59 49 49 639 
2017 48 40 53 55 64 65 72 64 68 62 54 48 693 
2018 44 37 49 50 58 60 67 59 63 57 49 44 637 
2019 48 44 47 55 54 61 54 64 62 56 50 107 702 
2020 50 47 50 52 64 64 70 74 70 70 60 59 730 
2021 64 56 52 65 70 74 89 66 82 66 57 68 809 
