# USBR Lower Colorado Basin Annual reports: Mohave Water Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1980 2 2 2 3 3 5 4 5 5 4 3 3 41
1981 3 3 2 4 5 5 6 5 4 3 4 3 49 
1982 4 3 4 4 5 6 7 6 6 5 4 3 57
1983 4 3 4 4 6 7 8 6 7 5 4 4 62
1984 5 5 8 10 11 11 10 8 12 11 10 7 108
1985 14 9 12 13 16 17 18 16 15 15 13 10 168
1986 11 10 11 16 22 25 25 23 21 20 17 15 216
1987 16 14 16 23 31 36 36 32 30 29 24 22 309 
1988 25 26 26 26 26 26 25 26 26 26 26 26 310  # Total only
1989 33 34 34 34 33 34 34 34 33 34 34 34 405  # Total only
1990 25 20 33 36 44 54 59 56 44 37 25 26 460
1991 24 29 24 31 36 43 49 44 44 45 32 27 428 
1992 23 24 28 34 35 46 55 54 56 43 34 31 463 
1993 28 23 29 38 44 53 58 55 55 42 39 33 497 
1994 36 32 40 41 48 59 57 47 45 40 35 28 508 
1995 25 28 32 37 43 54 61 69 61 52 55 47 564 
1996 45 49 46 62 75 68 72 92 64 93 68 60 793 
1997 37 30 50 54 67 81 88 85 67 56 39 38 692 
1998 48 34 39 45 46 50 73 61 67 53 38 51 606 
1999 42 44 45 56 47 54 61 62 64 50 50 50 626 
2000 44 42 48 45 58 78 67 83 58 62 53 56 694
2001 51 44 48 59 75 73 81 89 67 72 66 51 777 
2002 50 42 45 59 64 64 68 74 67 68 44 55 701 
2003 58 48 38 53 63 65 70 82 70 58 51 59 716 
2004 63 51 55 66 67 68 83 90 86 66 54 67 816 
2005 50 48 65 74 81 104 91 85 106 81 83 77 945
2006 73 71 76 72 96 101 93 101 101 75 80 57 996
2007 43 54 73 79 97 118 128 123 97 81 58 57 1008 
2008 64 59 62 76 77 78 113 92 92 89 67 72 941 
2009 61 59 65 78 76 96 101 92 86 84 69 68 935 
2010 56 54 60 72 70 89 94 85 80 77 64 62 863 
2011 55 53 60 71 69 87 92 84 78 76 63 61 849 
2012 66 69 56 62 78 71 79 82 70 77 60 60 830 
2013 66 50 54 59 79 78 82 86 68 75 60 58 815 
2014 65 59 71 81 82 93 112 100 93 92 76 77 1001 
2015 55 50 60 68 69 78 94 84 78 77 64 63 840 
2016 62 57 67 77 78 89 105 96 89 88 73 73 954 
2017 72 60 79 82 95 98 108 95 102 92 80 71 1034 
2018 66 55 73 75 87 90 100 88 94 85 73 65 951 
2019 72 66 70 82 80 91 81 96 92 84 75 159 1048 
2020 74 71 75 78 96 95 104 110 105 104 90 88 1090 
2021 95 84 78 97 105 111 133 99 122 98 85 101 1208 
