# USBR Lower Colorado Basin Annual reports: North Gila Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 2189 4049 3815 3294 4890 5252 5094 2723 2944 2292 1539 1778 39859
1965 1434 3401 2999 2089 4014 4554 4303 3101 3967 3968 1859 338 36027
1966 878 3855 3441 4533 5603 4814 6011 3420 2980 3480 2398 2921 44334
1967 2120 3787 3680 3961 5239 5303 4753 2658 1512 3947 2030 1170 40160
1968 2324 3479 3462 3723 5090 5245 4302 3224 2577 3081 2621 1875 40993
1969 924 4570 3824 3887 4437 4426 4936 2733 3056 3324 1576 2687 40380
1970 2079 4199 2940 4730 4323 4667 5056 3849 3863 4133 3245 1811 44895
1971 1997 4285 3828 3984 4304 4488 5355 3887 5042 3078 3208 1562 45018
1972 1518 4504 3180 4519 5218 4764 5519 5009 4419 1225 2643 2195 44713
1973 2059 4239 2985 4274 6042 5279 5881 5021 5704 3320 2415 2194 49413
1974 1780 6138 3290 4564 6247 5271 6008 5989 3596 3147 3193 2111 51334
1975 2516 3963 4290 4812 5879 4258 4522 4396 5179 4056 2952 2086 48909
1976 2330 3574 4018 4453 4879 4115 5856 5653 2573 2953 2368 1827 44599
1977 1189 5643 2615 3691 4646 5160 5264 4278 3037 2084 2275 2271 42153
1978 553 3571 4080 4885 4401 4142 4512 4504 3953 2947 2184 1346 41078
1979 1343 2811 3032 4219 4552 4299 4684 3114 2945 3569 2773 2423 39764
1980 1577 2288 2624 3604 2451 2937 3971 3548 3286 3213 2916 1248 33663 
1981 2249 2530 2803 5140 4215 4775 4444 4634 3623 3126 2786 1497 41822
1982 2241 3220 2609 4287 4664 4661 3849 3655 2653 2875 2633 1056 38403 
1983 2027 2243 3393 3683 4498 4240 3391 1111 821 1329 1741 828 29305
1984 379 847 1644 1403 1923 1521 1078 342 647 882 591 1121 11136
1985 464 1275 1971 2663 2761 1590 1806 957 960 1551 1142 645 17755
1986 1252 1631 2642 2980 2912 1934 1303 1514 1721 771 448 280 19328
1987 558 717 1537 1895 2913 2754 1911 1152 1656 1438 361 660 17552
1988 937 863 1991 2690 3081 2657 1700 921 1611 1493 797 934 19675
1989 787 1204 2277 2900 2743 2040 1294 554 1332 2322 1728 928 20109
1990 1184 1499 1760 2295 3091 2690 1164 751 2100 2523 1187 1202 21446
1991 841 1442 1491 2842 3654 2452 1888 1554 1723 2599 1419 396 22301
1992 1016 1314 1635 2417 2354 2267 1397 966 1578 1882 1197 373 18396 
1993 166 939 2118 2793 2215 1708 858 520 2276 1952 627 746 16918 
1994 1218 1323 2158 2511 2149 1901 1287 1011 1950 2046 999 743 19296
1995 546 1565 1964 2605 2688 1616 1274 651 1658 2126 664 568 17925 
1996 1132 1436 2262 2917 2948 1449 1630 589 1646 2530 1219 888 20646
1997 920 1622 2158 2527 3797 2444 1880 1030 742 2361 808 310 20599 
1998 702 486 2259 2406 2841 2336 1644 1063 1867 2182 1033 713 19532 
1999 910 1061 1763 1852 2637 2801 1642 785 1150 1622 1194 1149 18567 
2000 1010 1406 1763 2465 3176 2896 1931 795 1413 1911 1243 1051 21060 
2001 812 916 1191 2225 3285 2505 1707 716 1909 2207 1221 582 19275 
2002 797 1178 2116 2601 2651 2267 1785 651 1281 1900 1031 159 18417 
2003 74 321 1240 1762 1761 1715 1424 289 999 1491 395 347 11818 
2004 295 507 980 1302 1825 1393 1237 435 768 732 404 296 10174 
2005 232 215 1451 1374 1788 1340 1678 546 960 1561 826 437 12408 
2006 493 908 1087 1223 1798 1541 1422 393 1028 1390 831 381 12495 
2007 731 874 1477 1603 1900 1623 1310 736 949 1318 741 148 13410 
2008 368 748 1891 2318 2158 1409 1506 834 1083 1264 579 -181 13977 
2009 454 633 1552 2025 1907 1282 1529 786 653 856 410 137 12224 
2010 -150 100 775 1184 1654 1612 1651 734 852 787 454 91 9744 
2011 301 552 1148 1265 1601 1414 1608 594 549 1092 232 364 10720 
2012 322 629 1187 1235 1874 1548 1332 677 900 1050 738 144 11636 
2013 332 547 1172 1880 2011 1823 1594 733 1021 958 155 -21 12205 
2014 166 606 1107 1632 1981 1527 1364 466 840 1325 494 -58 11450 
2015 -91 897 1508 2000 1454 1209 1302 764 1116 1132 680 331 12302 
2016 28 715 1268 1416 1751 1747 1398 332 973 891 807 269 11595 
2017 160 345 1062 1125 1824 1661 1835 862 999 1185 681 549 12288 
2018 322 567 1231 1315 2014 1730 1383 782 1014 883 662 200 12103 
2019 184 336 999 1308 1542 1207 1482 564 586 933 214 -36 9319 
2020 212 335 189 1288 1826 1590 1624 504 595 839 659 168 9829 
2021 11 299 860 968 1510 1966 1162 393 499 659 492 60 8879 
