# USBR Lower Colorado Basin Annual reports: North Gila Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 5214 7094 8007 7351 7440 7612 8108 5585 5921 6593 3099 4241 76265
1965 3392 4865 5216 4669 6744 7514 7218 7003 6419 6162 4044 2054 65300
1966 2955 5288 5832 6499 7553 7102 7893 5563 5394 5641 4249 4242 68221
1967 3579 5482 5973 5458 7235 7030 6690 4468 2534 5620 3387 1861 59317
1968 2314 3479 3462 3723 5090 5245 4302 3224 2577 3081 2621 1875 40993
1969 1639 5390 5094 5177 5797 5886 6376 3913 3980 4163 2136 3215 52766
1970 2577 4723 3520 5348 5024 5429 5886 4681 4642 4921 4042 2595 53348  # diff = 40 expected =  53348  got =  53388
1971 2427 4818 4688 4889 5279 5206 6203 4681 6092 4150 4001 2098 54532
1972 1518 4504 3180 4519 5218 4764 5519 5009 4419 1225 2643 2195 51073  # diff = -6360 expected =  51073  got =  44713
1973 2365 4682 3408 4666 6540 3958 6617 5864 6500 3968 2926 2646 56140  # diff = -2000 expected =  56140  got =  54140
1974 2077 6580 3828 5089 6943 5996 6885 6862 4549 3930 3918 2614 59271
1975 3010 4626 4785 5350 6547 4895 5301 5259 5859 4841 3812 2608 56893
1976 2794 4235 4627 5188 5706 4837 6644 6652 3602 3838 3102 2440 53665
1977 1648 6288 3220 4218 5236 5821 6062 4965 3902 2751 2875 2599 49505
1978 800 3959 4492 5353 4902 4678 5054 5162 4618 3463 2518 1582 46681  # iff = -100 expected =  46681  got =  46581
1979 1533 2901 3241 4428 4925 4785 5406 3907 3559 4069 3335 3014 45103
1980 2087 2717 3043 4242 3116 3585 4924 4523 4213 4359 4051 2195 43055
1981 2980 3304 3340 5848 4993 5523 5236 5582 4399 3869 3598 1917 50589
1982 2702 3748 3149 4904 5428 5368 4750 4568 3545 4100 3607 1771 47640
1983 2842 2952 4238 4396 5446 5097 4187 2177 1994 2508 2859 2046 40742
1984 2828 3581 4271 4395 5144 4162 3308 2312 2532 3752 2617 1649 40551 
1985 2729 3639 4680 6029 6024 4601 5330 3496 3449 5316 4335 3316 52944
1986 3622 4014 5399 5948 5919 4710 3665 3449 4246 3753 3070 1977 49772 
1987 3383 3446 4094 4212 5752 5708 4527 2794 4437 4832 2552 2868 48605 
1988 3101 3364 4514 5063 6259 5898 4315 2982 4557 4855 3279 3443 51630
1989 2512 3149 4880 5813 5834 4330 3097 1706 3607 5464 4517 3106 48015
1990 2803 3233 3760 4580 6048 5456 2740 1848 4463 5254 3741 3916 48842  # diff = -1000 expected =  48842  got =  47842
1991 2473 3141 3168 5504 6805 4952 4110 3287 3874 6054 4179 2026 49573
1992 2541 2946 3466 4551 4911 4635 3238 2232 4008 4957 3239 1518 42242
1993 1138 1915 3838 5175 4213 3553 2405 1764 4607 4883 2587 2533 38611
1994 3038 3029 4397 5155 4742 3996 2900 2353 4255 5019 2840 2300 44024 
1995 1851 3594 4458 5362 5586 4056 3641 2391 4133 4984 2880 2738 45674 
1996 2987 3496 4994 5938 6239 3662 4085 1947 3774 5685 3337 2429 48573 
1997 2366 3501 4897 5095 7554 6059 4184 2778 2821 5511 3007 2070 49843 
1998 2225 1648 4886 4385 5656 5160 4164 2710 4064 4979 3224 2510 45611 
1999 2652 2875 3983 4336 5634 5575 3545 2233 3274 3949 3309 2612 43976
2000 2898 3471 4524 5247 6575 5802 4378 2209 3304 4325 3364 2868 48965
2001 2401 2201 2732 4685 6720 5521 4164 2058 4239 5085 3814 2530 46150 
2002 2489 3173 4192 5373 5705 5365 4764 2590 3333 4987 3972 2498 48441
2003 2455 2671 3932 4751 5482 5234 4524 1821 3583 4751 3540 2447 45191
2004 2174 2388 4030 4775 5454 6546 4153 2427 3594 3633 2790 1829 43793 
2005 1782 1654 4138 3920 5249 4243 5047 3057 3997 5055 3416 3269 44827 
2006 2657 3284 3965 4029 5320 5018 4587 2612 3535 4764 3450 2440 45661 
2007 2785 2591 4607 4836 5734 4919 4687 3289 3550 4965 3344 2221 47528 
2008 2595 3091 5314 6052 5602 4042 4291 3242 3802 4918 3667 1301 47917 
2009 2632 2573 4596 5218 5198 3929 4496 3058 4051 4523 3918 2673 46865 
2010 1565 1842 3417 4175 5234 4917 5158 2829 3430 4245 3989 3067 43868 
2011 2717 2927 4260 4241 5120 4619 5245 3093 3462 4794 3365 2478 46321
2012 2563 3022 4170 4424 5567 5225 4604 2738 3527 4639 3511 2509 46499 
2013 2204 2513 4097 5119 5939 5380 5000 3430 4023 4929 3298 2645 48577 
2014 2680 3332 3892 4623 5968 5025 4711 2672 3856 5191 4013 2855 48818 
2015 1950 3300 4868 5670 4585 3978 3846 2639 3460 4068 3376 2342 44082 
2016 1405 2596 4061 4151 4814 5073 4443 2410 3381 4092 3626 2081 42133 
2017 1719 2121 3500 3570 5516 5412 5521 2916 3315 4130 3244 2330 43294 
2018 1874 2306 3825 4183 5595 4940 4495 2928 3559 3509 3404 2101 42719 
2019 1854 2137 3621 4240 4874 4525 4624 2812 2903 3859 2694 1932 40075 
2020 2180 2043 2099 4156 5507 5139 5463 2846 3139 3904 3496 2742 42714 
2021 1557 2115 3728 3863 5026 6566 4790 3201 3229 3687 3397 2371 43530 
