# USBR Lower Colorado Basin Annual reports: other users pumping Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# No cosumptive use data until 2003, this is diversion data
1964 5001 6983 7478 7959 8785 9006 10289 9191 8484 5973 3839 3068 86056
1965 2606 5706 7279 5758 7793 8873 10461 9928 8906 5613 3246 1441 77610
1966 1565 4929 7736 8281 8752 9050 10459 9636 8762 5094 4188 3700 82152
1967 3653 5259 8675 8150 8804 11776 12037 10206 7521 6251 4497 2117 88946
1968 3286 6220 7585 10156 10189 10849 10941 10207 9583 6914 4590 4659 95179
1969 2987 5187 7625 8884 9656 9003 10633 8317 7022 7751 3549 3126 83740
1970 4852 5450 7323 7925 9129 9472 10272 8789 7189 7142 5333 3496 86382 # Revised
1971 4376 6289 7750 8928 9434 9021 11544 9021 7944 5216 4936 4458 88917
1972 4621 5679 9667 8872 10513 10123 10684 8472 7559 5010 4654 4162 90016
1973 3434 5482 6507 8736 11321 11241 12350 10419 7916 6863 6293 4420 94982
1974 3412 6485 9827 7318 9890 12077 10385 9561 8137 6335 5381 3938 92746
1975 10751 6117 10571 8333 11144 10462 11704 10546 10778 6490 5540 3966 106402
1976 4984 4709 8024 8842 8381 9200 10296 10649 8045 5613 5211 4471 88425
1977 1664 6399 6804 7860 8850 9009 10486 11075 5209 5949 6524 5194 85023
1978 2837 3889 5024 8639 8597 9845 10572 9157 8194 6204 4256 3414 80628
1979 1738 3670 7959 10329 10101 9306 9618 8880 8819 6710 5237 4089 86456
1980 3420 3704 3984 7309 6927 6572 8108 9063 7301 6042 3491 2685 68606  # Revised, slightly in month, not total
1981 2377 3919 5664 6619 7829 8204 9329 9270 7195 5831 2602 2631 71470
1982 3282 3777 4815 6356 6331 8096 8001 7362 4189 3223 2634 1086 59152
1983 1359 1568 2886 4753 4267 4939 5737 4055 2262 905 734 555 34020
1984 1080 2535 2656 2823 4562 5713 3704 3295 2601 1812 812 631 32224
1985 1000 1474 2500 2951 5010 3409 4897 3774 3593 1888 1953 966 33415
1986 4655 1627 3363 3653 4616 5012 5131 4741 3297 3364 2712 2238 44409
1987 1376 2763 3267 6437 5602 5925 7509 6835 5079 3877 2164 1697 52531
1988 1486 2492 5444 4520 4657 5380 6418 6337 4967 3308 2617 3025 50651
1989 1847 2438 4554 5497 6244 5611 7087 4934 2878 3403 2310 2232 49035
1990 1776 2417 2380 2583 3374 3974 4640 3981 3498 2826 2540 2372 36360
1991 1868 3512 2761 2917 5256 4687 5929 4555 4233 4064 2930 2464 45176
1992 1893 1749 3296 3347 4778 5017 5735 4420 3425 4211 3388 2690 43956  # checked, diff = -7 expected =  43956  got =  43949
1993 1866 1495 2549 2752 3365 4079 4449 4282 3364 2819 2003 1971 35013  # checked, diff = -19 expected =  35013  got =  34994
1994 4443 1346 3414 3091 3027 3793 3975 3375 3293 2765 1853 1488 35863
1995 5109 1650 3150 3244 2896 3097 3742 3474 2831 2684 1990 2589 36457
1996 4023 1845 3196 3109 3638 3566 4110 3966 2995 2884 2175 1862 37369
1997 4103 2233 2673 3043 3341 3744 3725 3798 2586 2303 2146 1750 35444
1998 1737 1651 2412 2936 3317 3227 4137 3794 2228 2414 2088 2675 32616
1999 1838 2186 2445 2976 3293 3812 4180 3652 3163 2809 2462 2192 35010
2000 2862 3050 4160 5181 5422 6241 6190 5938 4792 4086 3287 3158 54367
2001 3043 2872 3776 4004 5710 6757 5572 5463 5043 4425 3679 3313 53658
2002 2484 2147 2926 3372 4078 4318 4317 4370 3582 3549 2459 2248 39850
# Real consumptive use data starts here
2003 956 981 938 1525 1623 1531 2039 1898 1645 1568 1048 1036 16788 
2004 895 1120 1117 1695 1912 2237 2350 2299 2067 1562 1172 1061 19487 
2005 822 963 1278 1685 1901 1988 1789 2031 1840 1561 1483 1174 18515 
2006 852 1004 1257 1400 1696 1868 2100 1897 1676 1444 1125 1039 17358 
2007 1019 1139 1601 1600 1906 2267 2168 1973 1525 1472 1278 1171 19119
2008 845 932 1360 1407 1697 1811 1857 1592 1383 1333 1051 857 16125 
2009 858 877 1395 1482 1640 1826 2136 1764 1388 1475 1091 910 16842
2010 637 664 1200 1526 1721 1982 2034 1909 1491 1303 995 924 16386 
2011 700 721 1293 1439 1865 1930 1937 1918 1340 1276 947 862 16228 
2012 710 820 1459 1645 1859 1930 1732 1729 1349 1176 868 824 16101 
2013 429 460 723 818 871 930 951 894 792 707 579 507 8661
2014 377 542 858 873 1089 1125 1157 1071 774 707 508 366 9447
2015 359 572 863 1007 1028 1011 1118 1101 767 571 493 402 9292
