# USBR Lower Colorado Basin Annual reports: other users pumping diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 5001 6983 7478 7959 8785 9006 10289 9191 8484 5973 3839 3068 86056
1965 2606 5706 7279 5758 7793 8873 10461 9928 8906 5613 3246 1441 77610
1966 1565 4929 7736 8281 8752 9050 10459 9636 8762 5094 4188 3700 82152
1967 3653 5259 8675 8150 8804 11776 12037 10206 7521 6251 4497 2117 88946
1968 3286 6220 7585 10156 10189 10849 10941 10207 9583 6914 4590 4659 95179
1969 2987 5187 7625 8884 9656 9003 10633 8317 7022 7751 3549 3126 83740
1970 4852 5450 7323 7925 9129 9472 10272 8789 7189 7142 5333 3496 86382 # Revised   # diff = -10 expected =  86382  got =  86372
1971 4376 6289 7750 8928 9434 9021 11544 9021 7944 5216 4936 4458 88917
1972 4621 5679 9667 8872 10513 10123 10684 8472 7559 5010 4654 4162 90016
1973 3434 5482 6507 8736 11321 11241 12350 10419 7916 6863 6293 4420 94982
1974 3412 6485 9827 7318 9890 12077 10385 9561 8137 6335 5381 3938 92746
1975 10751 6117 10571 8333 11144 10462 11704 10546 10778 6490 5540 3966 106402
1976 4984 4709 8024 8842 8381 9200 10296 10649 8045 5613 5211 4471 88425
1977 1664 6399 6804 7860 8850 9009 10486 11075 5209 5949 6524 5194 85023
1978 2837 3889 5024 8639 8597 9845 10572 9157 8194 6204 4256 3414 80628
1979 1738 3670 7959 10329 10101 9306 9618 8880 8819 6710 5237 4089 86456
1980 3420 3704 3984 7309 6927 6572 8108 9063 7301 6042 3491 2685 68606  # Revised, slightly in month, not total
1981 2377 3919 5664 6619 7829 8204 9329 9270 7195 5831 2602 2631 71470
1982 3282 3777 4815 6356 6331 8096 8001 7362 4189 3223 2634 1086 59152
1983 1359 1568 2886 4753 4267 4939 5737 4055 2262 905 734 555 34020
1984 1080 2535 2656 2823 4562 5713 3704 3295 2601 1812 812 631 32224
1985 1000 1474 2500 2951 5010 3409 4897 3774 3593 1888 1953 966 33415
1986 4655 1627 3363 3653 4616 5012 5131 4741 3297 3364 2712 2238 44409
1987 1376 2763 3267 6437 5602 5925 7509 6835 5079 3877 2164 1697 52531
1988 1486 2492 5444 4520 4657 5380 6418 6337 4967 3308 2617 3025 50651
1989 1847 2438 4554 5497 6244 5611 7087 4934 2878 3403 2310 2232 49035
1990 1776 2417 2380 2583 3374 3974 4640 3981 3498 2826 2540 2372 36360
1991 1868 3512 2761 2917 5256 4687 5929 4555 4233 4064 2930 2464 45176
1992 1893 1749 3296 3347 4778 5017 5735 4420 3425 4211 3388 2690 43956  # checked, diff = -7 expected =  43956  got =  43949
1993 1866 1495 2549 2752 3365 4079 4449 4282 3364 2819 2003 1971 35013  # checked, diff = -19 expected =  35013  got =  34994
1994 4443 1346 3414 3091 3027 3793 3975 3375 3293 2765 1853 1488 35863
1995 5109 1650 3150 3244 2896 3097 3742 3474 2831 2684 1990 2589 36457
1996 4023 1845 3196 3109 3638 3566 4110 3966 2995 2884 2175 1862 37369
1997 4103 2233 2673 3043 3341 3744 3725 3798 2586 2303 2146 1750 35444
1998 1737 1651 2412 2936 3317 3227 4137 3794 2228 2414 2088 2675 32616
1999 1838 2186 2445 2976 3293 3812 4180 3652 3163 2809 2462 2192 35010
2000 2862 3050 4160 5181 5422 6241 6190 5938 4792 4086 3287 3158 54367
2001 3043 2872 3776 4004 5710 6757 5572 5463 5043 4425 3679 3313 53658
2002 2484 2147 2926 3372 4078 4318 4317 4370 3582 3549 2459 2248 39850
2003 1471 1508 1444 2347 2498 2355 3138 2920 2530 2412 1612 1594 25829
2004 1377 1723 1720 2608 2941 3442 3617 3537 3180 2403 1804 1633 29985 
2005 1265 1481 1966 2592 2924 3059 2752 3125 2831 2402 2281 1806 28484
2006 1310 1545 1934 2154 2609 2874 3231 2917 2577 2222 1730 1596 26699 
2007 1568 1754 2463 2462 2932 3488 3335 3036 2348 2266 1968 1802 29422 
2008 1300 1435 2092 2164 2611 2786 2858 2451 2127 2050 1616 1318 24808 
2009 1319 1347 2146 2280 2524 2810 3287 2716 2135 2269 1678 1399 25910
2010 996 1032 1852 2359 2662 3071 3153 2958 2313 2024 1545 1438 25403 
2011 1092 1122 1992 2222 2731 2989 2998 2973 2074 1968 1463 1330 24954 
2012 1115 1279 2273 2565 2900 3001 2696 2691 2099 1840 1350 1284 25093 
2013 658 709 1122 1265 1354 1447 1486 1391 1234 1099 897 789 13451 
2014 585 840 1330 1348 1686 1747 1800 1667 1204 1100 789 570 14666
2015 557 884 1337 1566 1593 1572 1743 1701 1183 879 761 618 14394
# Bureau dumped all these users into the main table here...not good
