# USBR Lower Colorado Basin Annual reports: Southern Pacific Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1984 1 2 3 4 5 7 8 7 5 3 2 1 48
1985 4 4 4 4 4 4 4 4 4 4 4 4 48 
1986 4 4 4 4 4 4 4 4 4 4 4 4 48 
1987 4 4 4 4 4 4 4 4 4 4 4 4 48 
1988 4 4 4 4 4 4 4 4 4 4 4 4 48
1989 4 4 4 4 4 4 4 4 4 4 4 4 48 
1990 4 4 4 4 4 4 4 4 4 4 4 4 48 
1991 4 4 4 4 4 4 4 4 4 4 4 4 48 
1992 4 4 4 4 4 4 4 4 4 4 4 4 48 
1993 4 4 4 4 4 4 4 4 4 4 4 4 48 
1994 4 4 4 4 4 4 4 4 4 4 4 4 48 
1995 4 4 4 4 4 4 4 4 4 4 4 4 48 
1996 4 4 4 4 4 4 4 4 4 4 4 4 48 
1997 4 4 4 4 4 4 4 4 4 4 4 4 48 
1998 4 4 4 4 4 4 4 4 4 4 4 4 48 
1999 4 4 4 4 4 4 4 4 4 4 4 4 48 
2000 4 4 4 4 4 4 4 4 4 4 4 4 48 
2001 4 4 4 4 4 4 4 4 4 4 4 4 48 
2002 4 4 4 4 4 4 4 4 4 4 4 4 48 
2003 4 4 4 4 4 4 4 4 4 4 4 4 48 
2004 4 4 4 4 4 4 4 4 4 4 4 4 48 
2005 4 4 4 4 4 4 4 4 4 4 4 4 48 
2006 4 4 4 4 4 4 4 4 4 4 4 4 48 
2007 4 4 4 4 4 4 4 4 4 4 4 4 48 
2008 # Under Union Pacific
2009 4 4 4 0 4 4 4 4 4 4 4 4 44
