# USBR Lower Colorado Basin Annual reports: Arizona Totals Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 27372 60044 85801 107693 136403 150302 162738 133623 128103 77779 26790 30528 1127176
1965 14464 58321 95058 78556 133691 137751 154553 145939 132019 66464 17607 -25892 1008531
1966 -10736 46423 89483 124272 150812 140059 150993 144668 123054 55604 26505 31607 1073055  # diff = -311 expected =  1073055  got =  1072744
1967 19693 68695 98392 96764 146998 151150 146145 139474 76080 73008 26168 -644 1042437  # diff = -514 expected =  1042437  got =  1041923
1968 22384 64024 101001 112468 138496 152945 143445 132373 107965 61002 36235 25060 1097398
1969 13215 69992 99092 115961 140319 144602 160218 163073 115151 73821 7413 25022 1127085  # diff = 794 expected =  1127085  got =  1127879
1970 25637 70848 74530 123371 146018 143599 169882 152300 133211 84445 42633 21892 1186800  # diff = 1566 expected =  1186800  got =  1188366
1971 34857 88012 113800 141953 150218 146787 185653 151923 143894 64689 42229 31822 1297797  # diff = -1960 expected =  1297797  got =  1295837
1972 23722 86912 110663 131989 163205 159340 180919 165535 117793 17322 35426 42345 1235325  # diff = -154 expected =  1235325  got =  1235171
1973 15726 56829 69606 140464 172236 160266 194886 168757 140971 86018 38946 27228 1271933
1974 14551 79374 97420 145959 157443 172212 182106 180758 138,010 81768 40608 35422 1325631
1975 40543 75943 107459 146454 160943 154516 180988 175716 140085 88899 46791 39666 1358003
1976 33006 56428 148558 138212 131433 163343 168498 181456 108169 56610 26691 35471 1248000  # diff = -125 expected =  1248000  got =  1247875
1977 1213 93035 118309 125192 125702 179315 198404 145328 111578 64861 42289 25803 1231274  # diff = -245 expected =  1231274  got =  1231029
1978 -13653 43153 99341 133351 145150 189876 204411 181294 130585 61603 34669 25162 1234942
1979 -1830 64565 94419 129263 137242 170958 178224 138001 111128 65971 31064 31573 1150853  # diff = -275 expected =  1150853  got =  1150578
1980 11320 39494 92121 133726 104848 149036 197954 180176 128660 64777 35885 31323 1169657  # diff = -337 expected =  1169657  got =  1169320
1981 20430 85501 116541 157288 144474 200430 220472 203009 136351 62757 42613 25984 1415850
1982 23359 78031 94870 135946 143870 182174 207586 149595 118830 69323 29313 7487 1240384
1983 32482 44746 85582 125417 137172 160391 155510 90889 113504 55043 42308 18125 1062169  # diff = -1000 expected =  1062169  got =  1061169
1984 23836 90091 116637 121861 144068 168617 135528 122805 110892 67641 35436 -15013 1122399
1985 8363 41658 101971 150226 145348 154359 188197 190587 102841 59811 32940 17907 1194208
1986 38821 66974 115395 156557 146426 189394 183769 191318 125703 71567 48589 22417 1356930 
1987 40864 86684 121657 174915 186534 223530 266165 242473 173158 108577 51737 57878 1734172 
1988 37931 92063 170793 153305 218136 271706 311197 236976 180377 105602 78295 66356 1922737 
1989 26180 80716 227488 236867 235391 310692 339240 295001 207546 124859 78204 67513 2229697
1990 32057 87729 218251 224109 257489 336168 323806 287970 200357 130694 83735 77906 2260272 
1991 17893 91229 101581 179061 222737 251614 295674 266288 172723 133413 91841 40305 1864360 
1992 28332 65396 96688 181893 210899 271648 327885 243433 159244 137949 99857 82846 1906071
1993 5728 20629 161520 263038 262854 293749 337719 260457 167337 143757 110161 219747 2246695
1994 162615 104914 237316 251979 234510 199794 206807 197569 132273 179071 191712 53850 2152410 
1995 64573 89022 223047 247605 273448 227416 224003 208325 157279 179529 126130 200969 2221346
1996 164338 194392 323354 339380 364701 336731 250446 215439 161954 118031 66899 179090 2714754
1997 194385 260406 287582 303474 367070 273151 235411 200771 117824 195322 236008 182482 2853886 
1998 202219 185928 253350 266917 309063 305143 235719 179897 137965 148369 186829 155308 2566707
1999 182718 211297 291668 282538 346780 279132 223240 196442 142496 176972 218065 176612 2727960 
2000 165224 216971 282327 324772 363743 248049 236104 198223 168268 139196 219154 240728 2802758 
2001 216439 235955 254359 305408 345799 302559 250887 199713 181545 154521 181955 211887 2841028 
2002 209791 247449 322167 333587 356269 320306 256663 238728 189680 149667 179303 165618 2969230 
2003 216938 195797 282488 312166 319683 285427 228575 163063 162915 231586 220560 211401 2830599
2004 222780 231587 294267 311500 335803 299551 251683 167675 178551 84237 196553 210458 2784645 
2005 179126 77532 124148 306792 310533 246977 231592 177550 220041 229691 209252 115235 2428469 
2006 193234 186756 185166 292725 335434 331021 215921 165274 234664 266057 173127 203486 2782866
2007 180650 197544 275545 296335 308454 289276 237678 162590 243182 257817 202237 138013 2783323  # diff = 5998 expected =  2783323  got =  2789321
2008 200464 222592 301055 326468 315358 256945 226770 190897 198679 229746 215344 68179 2752497 
2009 224567 211406 299532 315553 310422 211181 214504 195691 245512 220313 201049 181982 2831711 
2010 135447 117331 218000 278902 302751 309364 217618 229979 290441 248075 214994 217465 2780367 
2011 129270 180781 290691 315005 303211 298321 236817 198525 201721 239375 208992 178399 2781108 
2012 223301 228623 296991 313981 337032 279963 175751 204527 233009 120169 222460 153859 2789667 
