# USBR Lower Colorado Basin Annual reports: Arizona Totals Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 80126 122907 153303 174781 196537 200447 219379 194431 185514 138246 76791 73748 1816210
1965 53125 99184 152842 137245 190848 195412 218979 213282 192541 129046 74168 30863 1687535
1966 37536 88874 149493 183262 205543 200096 217306 211526 185086 122321 83231 82268 1766873  # diff = -331 expected =  1766873  got =  1766542
1967 66007 114522 159515 158079 199203 207469 211790 207966 136436 138513 85246 51550 1736810  # diff = -514 expected =  1736810  got =  1736296
1968 73221 110859 161275 171643 191397 209972 209548 201208 169388 118774 86996 76446 1781252  # diff = -525 expected =  1781252  got =  1780727
1969 60826 117153 162782 183028 203752 208798 232119 236543 180133 136254 70852 84095 1875541  # diff = 794 expected =  1875541  got =  1876335
1970 84125 121291 145862 199912 214687 212451 244198 224276 197853 155192 108667 86049 1992997  # diff = 1566 expected =  1992997  got =  1994563
1971 87526 142676 184665 209483 215183 209805 256895 226522 212785 133435 107933 97781 2086649  # diff = -1960 expected =  2086649  got =  2084689
1972 78437 147443 187743 201793 231590 222927 256695 242740 193328 89913 98148 108105 2059006  # diff = -144 expected =  2059006  got =  2058862
1973 71275 120892 141992 214974 244100 230750 263626 240673 216079 162139 105818 87522 2099840
1974 68313 133549 166092 211780 230380 236849 255499 253061 208701 148641 101821 96003 2110689
1975 90991 128638 175463 209127 231996 223392 251879 248007 212117 152902 105624 98077 2128213
1976 85002 99958 210019 193891 197724 227281 238988 251511 170980 116840 84048 92361 1968848  # diff = -245 expected =  1968848  got =  1968603
1977 50968 144340 172085 188005 185117 238360 263650 209900 172484 119390 96765 76762 1917981  # diff = -155 expected =  1917981  got =  1917826
1978 27802 83272 148260 192697 205038 248034 265073 243043 185768 115024 77956 67868 1859835
1979 33408 95359 142073 181992 194457 225163 239064 199884 168565 121201 88136 80463 1770040  # diff = -275 expected =  1770040  got =  1769765
1980 56818 81324 143117 191020 164664 207947 258549 245014 189525 123467 86041 80491 1828314  # diff = -337 expected =  1828314  got =  1827977
1981 64236 127625 166016 212053 203511 256036 279707 264487 194798 114500 83744 71225 2037938 
1982 67611 119308 144392 189050 196545 233800 263363 206104 173831 121984 74583 48245 1838816
1983 72526 84007 133398 177694 190952 215408 218480 145593 167499 113243 99057 73722 1691579
1984 74041 137446 176036 181139 202264 223571 194987 183450 170420 126712 87239 32647 1789952
1985 54328 90761 160579 212842 207583 208654 244577 249041 156028 112346 88150 68304 1853193 
1986 85718 108514 168987 212763 205157 240201 241433 247809 183266 130357 100497 74463 1999165
1987 89023 134515 175608 229051 244371 281688 326932 303546 226307 161036 96166 100452 2368695
1988 77059 136237 222769 205958 273561 321746 365486 297801 237065 165871 130990 119882 2554425
1989 77146 129230 287555 295324 293947 357265 395468 352075 267406 183280 133781 122369 2894846
1990 77923 135244 275696 280480 312912 392050 384574 342892 255661 190793 140638 134024 2922888
1991 68626 141036 156570 234965 280328 303150 356950 328532 228794 193183 147115 89618 2528868
1992 70468 108708 143568 226374 261974 319821 382601 299090 211812 191936 145111 123843 2485307
1993 50565 56925 208946 317853 321513 351401 392308 318089 219997 202508 162016 269553 2871673
1994 207428 151098 292430 307876 302612 254468 256614 248394 185293 235289 243124 108171 2792797 
1995 111665 130848 278734 308297 335021 283667 281904 267427 213670 238857 177052 257235 2884377 
1996 214127 247318 383359 399739 425886 391112 309876 269288 216958 177288 119350 226623 3380926 
1997 234316 303957 345934 358052 426554 339771 283709 252696 174059 249259 288905 240200 3497412 
1998 251570 232494 308481 318590 368179 361137 294093 234186 191365 209180 245142 213151 3227570 
1999 237765 264722 353585 347631 412773 340720 278525 253791 199515 238528 275313 223529 3426400
2000 218887 267439 345603 383595 429599 308768 299982 257585 231785 196894 274154 298809 3513099 
2001 266916 282539 302126 365479 415082 368916 312660 257389 242176 221255 247729 274637 3556904 
2002 264940 303982 369204 398357 422292 384622 324792 302010 246858 213468 234445 227119 3692089 
2003 278355 253482 349983 388804 406298 364443 310861 236003 237791 303185 286510 270516 3686231
2004 276005 283768 368287 391008 415182 397860 327636 242092 250817 155872 257466 264069 3630062 
2005 225447 120139 175693 375266 388790 325782 312343 249954 301245 302776 269546 177224 3224205 
2006 250943 241574 257285 365007 412397 409500 293568 243197 302279 332328 233444 258527 3600049 
2007 236269 248876 352060 375206 394954 370642 321000 239492 313538 330211 263092 192273 3637615 
2008 252110 280765 371101 398161 393207 334659 305593 268382 268335 302913 281431 124817 3581474 
2009 282458 266168 375167 389824 389515 288584 295011 271348 325781 288428 257567 233909 3663760 
2010 179768 166286 287125 355375 385436 391065 300086 305601 365080 313719 278179 274746 3602466 
2011 181347 234510 364565 394174 381749 378598 324013 284161 276833 314194 273787 234999 3642930 
2012 286011 293980 373645 387838 414965 358969 258681 285537 308499 190948 285963 211973 3657009 
2013 160853 257151 357753 373467 405556 356338 289170 288003 302051 354076 248968 225999 3619387 
2014 188343 253792 355486 390221 404245 341272 314547 261843 303131 299585 269427 224052 3605944 
2015 272267 233826 327313 386160 365022 268622 265821 250947 326922 262482 238132 231082 3428596 
2016 222933 249280 311791 369383 381258 291965 280710 241414 299362 289727 257061 205549 3400433 
2017 192119 157637 316756 380840 374993 280149 282477 254676 294713 300359 236437 245763 3316919 
2018 182842 223858 315067 386254 408754 294479 274574 216213 351521 305039 292585 221079 3472265 
2019 156591 240843 237685 343926 371168 312950 317634 304327 313385 301980 218071 122655 3241215 
2020 162876 176929 177909 336672 400043 300561 277208 244843 331602 318044 236440 248112 3211239 
2021 185976 223205 319978 372716 382433 293651 247719 219706 276292 282253 238134 189714 3231777 
