# USBR Lower Colorado Basin Annual reports: Arizona Totals Measured Returns
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003
2004
2005
2006
2007
2008
2009 48509 48600 58790 55546 61796 60009 59715 57580 65548 54418 46098 47764 664381
2010 39465 41883 52961 55667 60057 55478 53982 50475 54536 51671 52665 48832 617672 
2011 48706 47681 61518 60292 59407 56493 66490 66180 58969 61115 55693 48889 691433 
2012 57851 57364 61334 59063 58606 57696 64234 64749 63759 57994 58360 51868 712878 
2013 49662 48662 58182 59078 61220 55999 58633 59959 56202 62502 55698 54184 679982 
2014 56495 52760 55217 53624 57782 56263 57058 55075 60482 59967 59943 59338 684004 
2015 50783 47965 53215 57645 54664 55439 60973 56919 54591 51919 50698 53034 647845 
2016 40251 45393 56381 56838 55330 51304 52334 52292 52572 48090 48611 54544 613941 
2017 47424 49639 56922 53711 50706 54079 59034 56613 56997 60743 50590 55653 652111 
2018 55548 54620 55600 59854 57976 50551 56126 64779 61931 52604 47872 46282 663743 
2019 44748 40399 50975 55310 60702 53575 53618 51642 44405 44358 39442 38513 577687 
2020 39299 40121 39684 44842 50624 48774 51928 47491 47171 49274 44651 45953 549812 
2021 38983 40950 50163 53199 55163 56149 58567 56435 51849 43825 46727 52368 604378 
