# USBR Lower Colorado Basin Annual reports: Arizona Totals Return
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 52754 62863 67502 67088 60134 50145 56641 60808 57411 60467 50001 43220 689034
1965 38661 40863 57784 58689 57157 57661 64426 67343 60522 62582 56561 56755 679004
1966 48272 42451 60010 58990 54713 60037 66313 66858 62032 66717 56726 50681 693818
1967 46314 45827 61123 61315 52205 56319 65645 68492 60356 65505 59078 52194 694373
1968 50837 46835 60274 59175 52901 57027 66103 68835 61423 57772 50761 51386 683329
1969 47611 47161 63690 67067 63433 64196 71901 73470 64982 62433 63439 59073 748456 # Revision didn't change anything
1970 58424 50988 71751 74916 68263 68585 74985 73511 65376 70139 65413 63952 806303
1971 52669 54664 70869 67772 65130 63018 71934 74779 68891 68903 66017 65959 790605 # Revised
1972 55051 61269 77935 70168 68358 63742 79086 83205 81415 76491 68012 71050 855809 # Revised
1973 55549 64063 72386 74510 71864 70484 68740 71916 75108 76121 66872 60294 827907
1974 53762 54175 68672 65821 72937 64637 73393 72303 70691 66873 61213 60581 785058
1975 50448 52695 68004 62673 71053 68876 70891 72291 72032 64003 58833 58411 770210
1976 51996 43530 61461 55779 66291 63938 70490 70055 62811 60230 57357 56890 720828
1977 49755 51305 53686 62813 59415 59045 65246 64572 60906 54529 54476 50959 686707
1978 41455 40119 48919 59346 59888 58158 60662 61749 55183 53421 43287 42706 624893
1979 35238 30794 47654 52729 57215 54205 60840 61883 57437 55230 57072 48890 619187 
1980 45498 41830 50996 57294 59816 58911 60595 64838 60865 58691 50156 49168 658658 # Revised
1981 43806 42124 49475 54765 59037 55606 59235 61478 58447 41131 51743 45241 622088
1982 44252 41277 49522 53104 52675 51626 55777 56509 55001 52661 45270 40750 598432
1983 40044 39261 47816 52277 53780 55017 62970 54704 53995 58200 55749 55597 629410
1984 52299 50443 61300 61168 60581 57379 60257 61364 59670 58853 52002 47220 682536 # Revised
1985 45965 49103 58608 62616 62235 54295 56380 58454 53187 52535 55210 50397 658985
1986 46897 41540 53592 56206 58731 50807 57664 56491 57563 58790 51908 52046 642235 
1987 48159 47831 53951 54136 57837 58158 60767 61073 53149 52459 44429 42574 634523 
1988 39128 44174 51976 52653 55425 50040 54289 60825 56688 60269 52695 53526 631688 
1989 50966 48514 60067 58457 58556 46573 56228 57074 59860 58421 55577 54856 665149 
1990 45866 47515 57445 56371 55423 55882 60768 54922 55304 60099 56903 56118 662616
1991 50733 49807 54989 55904 57591 51536 61276 62244 56071 59770 55274 49313 664508 
1992 42136 43312 46880 44481 51075 48173 54716 55657 52568 53987 45254 40997 579236
1993 44837 36296 47426 54815 58659 57652 54589 57632 52660 58751 51855 49806 624978 
1994 44813 46184 55114 55897 68102 54674 49807 50825 53020 56218 51412 54321 640387 
1995 47092 41826 55687 60692 61573 56251 57901 59102 56391 59328 50922 56266 663032 
1996 49788 52926 60005 60359 61185 54381 59430 53849 55005 59257 52452 47533 666171 
1997 39931 43551 58352 54578 59484 66620 48298 51925 56235 53937 52897 57718 643526 
1998 49351 46567 55131 51673 59116 55995 58374 54289 53400 60811 58313 57843 660863 
1999 55047 53425 61917 65094 65993 61588 55285 57349 57018 61557 57248 46917 698440 
2000 53663 50468 63276 58823 65856 60719 63878 59362 63517 57698 55000 58081 710341 
2001 50477 46584 47767 60071 69283 66356 61773 57676 60631 66734 65774 62750 715876
2002 55149 56533 47037 64770 66022 64316 68129 63282 57178 63801 55142 61501 722859
