# USBR Lower Colorado Basin Annual reports: Arizona Totals Unmeasured Returns
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003
2004
2005
2006
2007
2008
2009 9382 6162 16845 18717 17297 17394 20792 18077 14721 13696 10420 4163 167668
2010 4856 7072 16164 20806 22628 26223 28486 25147 20103 13973 10520 8449 204427 
2011 3371 6048 12356 18877 19132 23784 20706 19456 16143 13704 9102 7711 170389 
2012 4859 7993 15320 14794 19327 21310 18696 16261 11731 12785 5143 6246 154464 
2013 3896 6950 16187 19155 20419 26302 23061 19620 10553 10264 2557 1572 160538 
2014 2460 9099 16678 18581 20021 20516 20533 13144 11436 8503 4826 1482 147279 
2015 5967 11745 19155 25741 21106 22775 19028 17109 14342 9093 6294 3664 176019 
2016 5273 13011 17794 19529 19733 21316 20657 15649 14622 14472 8341 3263 173659 
2017 1854 4500 12997 20821 22199 20604 19054 16365 12764 10725 10028 3394 155305 
2018 1467 5142 12795 20676 26320 22739 20754 19225 18023 12179 10676 6266 176262 
2019 980 6179 12948 17073 18106 22699 25610 23192 17606 14457 8167 4804 171821 
2020 7626 9658 8271 19161 25490 23180 22531 21361 18438 15575 10512 8848 190651 
2021 6784 10655 17261 23662 25401 23689 22084 20195 18255 13752 10416 9509 201663 
