# USBR Lower Colorado Basin Annual reports: Town of Parker Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 46 47 59 80 91 97 103 81 82 70 50 43 851
1984 48 47 59 80 91 97 103 81 82 70 50 43 851
1985 38 58 108 162 212 270 268 132 91 139 74 58 1610
1986 61 43 63 80 105 120 122 127 92 80 68 47 1008
1987 50 52 65 61 112 137 144 139 122 106 72 60 1120
1988 55 58 78 72 108 703 141 116 96 97 62 49 1635
1989 45 53 77 100 114 129 140 131 111 93 59 55 1107
# Some real cu data starts here
1990 55 44 75 81 99 120 131 126 99 83 59 58 1030
1991 52 57 53 10 101 114 124 106 96 87 60 50 910
1992 46 45 47 74 99 122 134 106 93 80 56 45 947
1993 43 39 62 84 107 122 134 125 12 93 55 56 1032 #  diff = -100 expected =  1032  got =  932
1994 58 52 68 86 105 136 134 134 118 88 63 86 1128
1995 68 48 69 84 111 129 136 139 126 94 72 64 1140
1996 62 62 81 97 120 132 135 135 108 100 60 51 1143
1997 49 52 77 84 84 108 113 106 84 172 54 47 1031
1998 59 45 68 80 101 109 137 120 100 88 62 55 1025
1999 49 45 65 66 95 108 103 105 91 82 65 56 930
2000 52 51 67 86 98 109 114 101 89 75 52 48 942
2001 44 44 57 70 95 101 97 100 95 74 65 57 900
2002 44 44 57 70 95 101 97 100 95 74 65 57 900
2003 12 10 17 28 48 53 58 49 37 34 14 11 373
2004 12 13 20 24 44 49 51 48 35 24 8 7 335 
2005 4 4 14 28 40 51 59 37 43 31 22 14 347 
2006 13 16 16 25 43 49 52 52 41 32 25 19 383 
2007 16 13 27 30 36 39 38 43 33 29 15 5 324 
2008 6 6 16 27 23 35 37 35 32 30 23 10 286
2009 14 10 20 24 37 34 37 37 31 21 18 13 296
2010 11 7 16 23 33 39 41 40 34 25 14 12 295 
2011 13 13 19 24 31 38 40 43 29 24 18 12 304 
2012 14 14 22 25 35 39 35 39 37 34 28 16 338 
2013 16 16 25 29 37 46 43 41 33 31 18 16 351 
2014 19 17 25 33 38 41 41 38 33 29 22 13 349
2015 17 19 23 29 34 44 34 45 39 27 23 20 354 
2016 17 12 23 26 35 49 51 46 41 40 24 24 388 
2017 19 19 24 33 44 49 53 51 38 35 29 25 419 
2018 20 20 26 35 38 47 46 44 41 27 24 15 383 
2019 15 15 21 29 36 45 47 47 38 28 25 11 357 
2020 18 16 18 24 55 49 54 50 40 30 23 12 389 
2021 18 19 19 29 40 47 45 44 39 28 26 19 373 
