# USBR Lower Colorado Basin Annual reports: Town of Parker Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 29 82 186 295 294 247 286 57 61 37 38 28 1640
1965 67 62 82 55 57 66 83 82 58 47 26 25 710
1966 22 20 33 43 63 91 93 98 63 41 26 20 605 # diff = 8 expected =  605  got =  613
1967 23 23 28 28 55 72 82 82 61 46 34 21 555
1968 21 22 32 41 61 79 79 84 77 49 34 25 604
1969 22 23 35 52 70 83 90 104 82 49 29 27 666
1970 25 26 28 41 63 70 92 92 77 48 35 26 623
1971 32 38 49 54 64 84 103 82 76 39 27 18 666
1972 22 27 52 57 77 87 108 99 68 39 33 28 697
1973 36 28 40 60 101 108 164 167 106 72 52 46 980
1974 40 48 45 63 101 131 111 94 84 58 41 35 851
1975 39 50 55 62 81 97 105 112 96 67 51 44 857  # Partially illegible diff = 2 expected =  857  got =  859
1976 48 56 44 43 71 97 110 103 102 57 51 47 829
1977 43 48 61 73 74 97 111 103 88 69 52 43 862
1978 38 34 50 63 84 103 114 112 94 75 49 41 857
1979 44 47 58 76 90 120 141 117 101 84 61 51 990
1980 45 40 48 68 99 123 154 148 106 98 64 52 1045
1981 51 52 64 106 123 214 203 193 135 75 66 52 1334
1982 51 54 69 92 109 156 177 114 98 73 52 42 1087
1983 46 47 59 80 91 97 103 81 82 70 50 43 851
1984 48 47 59 80 91 97 103 81 82 70 50 43 851
1985 38 58 108 162 212 270 268 132 91 139 74 58 1610
1986 61 43 63 80 105 120 122 127 92 80 68 47 1008
1987 50 52 65 61 112 137 144 139 122 106 72 60 1120 
1988 55 58 78 72 108 703 141 116 96 97 62 49 1635
1989 45 53 77 100 114 129 140 131 111 93 59 55 1107  # Some returns and cu start here
1990 0 0 0 0 14 22 22 24 13 14 2 0 111
1990 55 44 75 81 87 100 111 105 88 71 57 58 932
1991 0 0 0 0 0 16 23 2 3 0 0 0 44
1991 52 57 53 10 101 101 104 104 93 87 60 50 872
1992 0 0 0 0 0 21 30 16 0 0 0 0 67
1992 46 45 47 74 99 102 106 92 93 80 56 45 885
1993 0 0 0 0 2 17 28 23 8 0 0 0 78
1993 43 39 62 84 105 106 107 104 105 93 55 56 959
1994 0 0 0 0 0 18 12 8 0 0 0 0 38
1994 58 52 68 86 105 120 123 128 118 88 63 86 1095
1995 0 0 0 0 0 0 18 22 19 0 0 0 59
1995 68 48 69 84 111 129 119 119 108 94 72 64 1085
1996 0 0 0 0 6 10 22 19 8 1 0 0 66
1996 62 62 81 97 115 123 115 119 102 99 60 51 1086
1997 49 52 77 84 84 108 113 106 84 172 54 47 1031
1998 59 45 68 80 101 109 137 120 100 88 62 55 1025
1999 49 45 65 66 95 108 103 105 91 82 65 56 930
2000 52 51 67 86 98 109 114 101 89 75 52 48 942
2001 44 44 57 70 95 101 97 100 95 74 65 57 900
2002 56 54 67 76 90 108 115 106 81 70 58 48 929
2003 49 44 56 70 98 109 118 106 87 84 55 50 928
2004 53 52 65 69 97 102 106 103 83 67 45 43 885 
2005 42 38 51 70 87 101 114 84 91 73 60 49 860 
2006 50 51 54 67 91 97 107 103 84 73 63 54 894 
2007 52 43 72 75 84 85 85 91 75 71 56 40 834
2008 6 6 16 27 23 35 37 35 32 30 23 10 286  # diff = -6 expected =  286  got =  280
2009 53 46 63 66 86 83 91 93 84 70 57 51 843
2010 47 43 57 65 80 89 97 91 83 68 53 50 823
2011 51 49 60 68 79 89 92 93 74 69 53 45 822
2012 50 48 59 63 80 87 83 82 80 76 66 51 825
2013 51 46 61 66 79 90 88 84 73 71 52 50 811 
2014 52 48 59 68 79 82 86 80 71 66 56 46 793 
2015 49 49 57 65 74 85 84 90 82 66 56 53 810 
2016 48 46 58 60 73 92 95 86 80 80 59 57 834 
2017 50 49 57 69 85 90 97 93 75 73 63 59 860 
2018 51 47 59 69 76 88 89 86 81 65 60 48 819
2019 46 43 55 66 74 86 90 91 75 63 60 41 790 
2020 50 45 48 55 100 91 95 96 82 70 56 42 830
2021 50 47 50 66 83 91 89 90 83 67 61 52 829
