# USBR Lower Colorado Basin Annual reports: Union Pacific Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2008 4 4 4 4 4 4 4 4 4 4 4 4 48 
2009  # Bureau put year under Southern Pacific
2010 4 4 4 0 4 4 0 4 4 4 4 4 40 
2011 4 4 4 4 4 4 4 4 4 4 4 4 48 
2012 4 4 4 4 4 4 4 4 4 4 4 4 48 
2013 4 4 4 4 4 4 4 4 4 4 4 4 48 
2014 4 4 4 4 4 4 4 4 4 4 4 4 48 
2015 4 4 4 4 4 4 4 4 4 4 4 4 48 
2016 4 4 4 4 4 4 4 4 4 4 4 4 48 
2017 4 4 4 4 4 4 4 4 4 4 4 4 48 
2018 4 4 4 4 4 4 4 4 4 4 4 4 48 
2019 4 4 4 4 4 4 4 4 4 4 4 4 48 
2020 4 4 4 4 4 4 4 4 4 4 4 4 48 
2021 4 4 4 4 4 4 4 4 4 4 4 4 48 
