# USBR Lower Colorado Basin Annual reports: Unit "B" Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Bureau wasn't tracking returns until 1982 so this is diversion data
1964 2461 1911 2826 3450 4469 4558 5306 5006 4896 2745 1650 2401 41679
1965 1835 1554 2513 2810 4261 4685 5207 4953 4295 2772 2153 889 37926
1966 2016 1965 2603 3275 4424 4549 4839 5234 4674 2885 1889 1873 40226
1967 2030 2109 2416 3036 4457 4660 4866 5226 3371 2986 1881 821 37859
1968 2393 1712 2497 3156 4424 4319 4800 4802 4247 3190 1985 1851 39376
1969 1502 1555 1861 3137 4192 4301 5301 5151 4532 3212 1090 1701 37535
1970 1985 1596 2084 3361 3673 4740 5405 5234 4707 3024 2666 1751 40226
1971 2030 2191 2901 3409 3630 4614 5473 5323 4606 2531 2163 1953 40824
1972 1861 1992 2948 2535 4558 4758 5300 5595 3740 1526 1754 1894 38461
1973 1988 1546 1561 2750 4489 4764 5348 4907 3749 3278 2040 2077 38497
1974 1653 1633 2113 3039 4119 4766 5483 5738 4109 3386 1974 1819 39832
1975 1802 1675 1895 2774 3749 4430 5138 5028 4054 3031 2030 1830 37436
1976 1712 902 2846 3084 3879 4736 4909 4904 3454 2522 2210 2067 37225
1977 1092 1828 3003 3160 3653 4788 4855 3503 3774 2891 2547 1662 36726
1978 187 1805 2144 3053 4310 4925 5163 5357 3540 2922 1790 1563 36759
1979 660 1735 1904 3142 4348 4552 4596 4619 3512 3352 2505 1719 36644
1980 1621 1084 2418 3168 3282 3893 4837 4664 3622 3060 1961 1912 35522
1981 1540 1429 2359 3515 3248 4349 5247 4642 4335 2524 1883 1676 36747
1982 1314 1448 1891 2507 3443 3902 4043 3805 3022 2487 1741 1011 30614
# Bureau started tracking return flows here so this is real consumptive use data
1983 1362 835 1798 1904 3268 3721 3671 2797 3115 1844 1529 1020 26864
1984 1408 1697 2224 2452 4177 4122 3135 4123 2963 2698 1336 381 30716
1985 1074 1170 1544 3413 3172 3568 4315 3887 2516 2080 1672 716 29127
1986 1965 1747 2002 2845 3187 3783 3870 3463 2593 2264 1728 1254 30701 
1987 1426 1672 2388 2916 2771 3455 4073 3047 3065 2235 1156 1709 29913
1988 1242 1618 2314 2158 3241 3758 3630 3835 2930 2577 2160 2221 31684
1989 987 908 1478 2300 2699 3273 2877 2442 2153 2786 1484 1294 24681
1990 1155 815 1546 2058 2974 3340 3629 3488 3125 2454 1247 1452 27283  #  diff = -5197 expected =  58691  got =  53494
1991 770 1215 1288 2356 2487 2657 3070 2978 2046 2324 984 1164 23339
1992 804 523 1180 2153 3042 3073 3313 2998 2546 3004 1641 550 24827
1993 -95 635 2155 2561 2633 2818 3181 3079 2761 2114 1110 1143 24095 
1994 1128 754 1779 2149 2463 3253 3207 3671 2086 1897 1204 748 24339
1995 259 1120 1687 1690 3009 3037 3426 3884 3123 2349 1002 1148 25734
1996 1183 1068 1540 2632 2719 2963 3377 3072 2528 2136 1460 553 25231 
1997 730 1164 1464 2121 2398 2787 3239 3083 1216 1690 1112 278 21282
1998 601 432 1542 2120 2088 2400 3431 2787 2183 1732 1116 537 20969 
1999 584 865 1661 1451 2207 3027 3131 2782 2364 1561 1398 1383 22414
2000 1016 963 1320 1826 2602 3012 2746 2754 1967 1291 1002 1066 21565
2001 616 430 841 1166 2134 2164 2217 2459 1649 1549 923 -169 15980 
2002 674 462 1219 1861 2489 2112 -664 1866 1758 1499 418 620 14314
2003 67 -146 135 1271 1457 2006 2498 1772 1627 1208 666 -95 12466 
2004 386 640 1093 1178 1909 2426 2176 1900 1574 907 208 -85 14312 
2005 -5 -262 1583 2026 1853 1144 1522 1974 1482 1044 1257 379 13997
2006 117 -137 224 543 2266 2265 2090 2114 1090 1326 905 371 13174
2007 543 202 318 1064 1737 2008 1907 1889 1277 1014 868 -202 12625 
2008 -47 -55 739 1892 1189 1109 1891 1460 1205 608 162 -123 10030
2009 617 -40 571 1173 1590 1370 1671 1453 1645 1473 1512 432 13467
2010 -13 -412 169 1059 1025 1580 1862 1961 2114 1942 1548 1115 13950 
2011 545 393 889 1544 2319 2022 1602 2242 1949 2293 1638 996 18432 
2012 704 557 779 1696 2678 2610 2296 2483 922 2414 1676 1172 19987 
2013 916 1026 911 1823 2480 2166 2624 1865 1527 2137 1616 628 19719 
2014 342 615 1121 2094 2617 2488 2900 2245 2072 2081 1520 274 20369 
2015 750 991 1580 2207 2277 2120 1976 1983 1593 2074 1432 557 19540 
2016 219 1029 1186 1487 2328 2561 2614 2833 2432 2069 1390 718 20866 
2017 771 532 1371 1771 2542 2781 3110 2989 1938 1807 1293 186 21091
2018 181 391 640 1509 1978 1903 2106 1635 1531 1428 703 482 14487 
2019 -143 302 1082 1833 2109 2276 2871 2640 2565 1745 1272 483 19035
2020 772 726 745 1554 2192 2630 2613 2916 2964 2408 1676 560 21756
2021 238 652 1468 1217 1719 2387 2123 2290 2108 972 915 232 16321
