# USBR Lower Colorado Basin Annual reports: Unit "B" diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 2461 1911 2826 3450 4469 4558 5306 5006 4896 2745 1650 2401 41679
1965 1835 1554 2513 2810 4261 4685 5207 4953 4295 2772 2153 889 37926  # diff = 1 expected =  37926  got =  37927
1966 2016 1965 2603 3275 4424 4549 4839 5234 4674 2885 1889 1873 40226
1967 2030 2109 2416 3036 4457 4660 4866 5226 3371 2986 1881 821 37859
1968 2393 1712 2497 3156 4424 4319 4800 4802 4247 3190 1985 1851 39376
1969 1502 1555 1861 3137 4192 4301 5301 5151 4532 3212 1090 1701 37535
1970 1985 1596 2084 3361 3673 4740 5405 5234 4707 3024 2666 1751 40226
1971 2030 2191 2901 3409 3630 4614 5473 5323 4606 2531 2163 1953 40824
1972 1861 1992 2948 2535 4558 4758 5300 5595 3740 1526 1754 1894 38461
1973 1988 1546 1561 2750 4489 4764 5348 4907 3749 3278 2040 2077 38497
1974 1653 1633 2113 3039 4119 4766 5483 5738 4109 3386 1974 1819 39832
1975 1802 1675 1895 2774 3749 4430 5138 5028 4054 3031 2030 1830 37436
1976 1712 902 2846 3084 3879 4736 4909 4904 3454 2522 2210 2067 37225
1977 1092 1828 3003 3160 3653 4788 4855 3503 3744 2891 2547 1662 36726
1978 187 1805 2144 3053 4310 4925 5163 5357 3540 2922 1790 1563 36759
1979 660 1735 1904 3142 4348 4552 4596 4619 3512 3352 2505 1719 36644
1980 1621 1084 2418 3168 3282 3893 4837 4664 3622 3060 1961 1912 35522 
1981 1540 1429 2359 3515 3248 4349 5247 4642 4335 2524 1883 1676 36747
1982 1314 1448 1891 2507 3443 3902 4043 3805 3022 2487 1741 1011 30614
1983 1583 1103 2104 2211 3576 3916 3887 3040 3361 2083 1809 1358 30031
1984 1683 1946 2515 2641 4329 4243 3311 4609 3605 3173 1723 748 34526
1985 1546 1804 2085 3907 3683 3815 4561 4221 2818 2270 2029 1084 33823
1986 2182 1985 2310 3233 3693 3985 4193 3764 2977 2576 2038 1541 34477
1987 1606 1842 2446 3095 3116 3797 4427 3461 3317 2589 1434 2031 33161
1988 1560 1953 2687 2543 3613 4042 3923 4069 3207 2837 2293 2463 35190
1989 1584 1676 2495 3260 3658 3953 3651 3105 2812 3118 1840 2045 33197
1990 1798 1597 2555 2872 3681 4081 4193 4019 3543 2982 1614 2084 35019
1991 1293 1853 1649 2945 3160 3345 3942 3815 2721 3021 1611 1625 30980
1992 1338 1029 1719 2816 3281 3505 4190 3712 3244 3542 2014 881 31271 
1993 547 1110 2810 3155 3335 3441 3752 3578 3038 2525 1535 1584 30410 
1994 1663 1300 2406 2785 3050 3800 3629 4208 2586 2306 1591 1427 30751
1995 904 1600 2667 2462 3387 3435 3764 4456 3728 2785 1314 1671 32173
1996 1565 1472 2080 3158 3069 3423 4118 3875 3161 2620 1886 917 31344
1997 1041 1582 1997 2471 2761 3462 3279 3293 1690 1973 1597 850 25996
1998 1083 911 2117 2367 2473 2860 4032 3372 2654 2438 1743 1320 27370
1999 1426 1664 2425 2261 2880 3718 3565 3682 3050 2048 1867 1572 30157  # diff = 1 expected =  30157  got =  30158
2000 1683 1562 2307 2612 3411 3856 3605 3598 2728 1856 1425 1751 30394
2001 1377 894 1306 2121 3361 3183 3249 3146 2418 2503 1968 896 26422 
2002 1642 1395 1691 2786 3382 3044 254 2894 2423 2306 1273 1783 24873 
2003 1263 1096 1355 2565 2737 3158 3897 2968 2698 1910 1552 595 25794
2004 904 991 1839 1969 2576 3150 3067 2831 2621 1546 1197 1027 23718 
2005 929 557 1736 2249 2105 2210 2907 3133 2914 1972 1873 1359 23944
2006 1407 1130 1751 2114 3344 3325 3278 3742 2252 2244 1795 1147 27529
2007 1740 1581 1847 2329 3091 3477 3823 3654 2579 2490 1996 831 29438 
2008 1276 1374 1913 2505 2605 2841 3668 3138 2429 2172 1623 1262 26807  # diff = -1 expected =  26807  got =  26806
2009 1868 1111 1954 2330 3018 3279 3636 3300 3008 1916 1786 1315 28521
2010 742 924 1647 2258 2539 3303 3359 3360 3082 2098 1714 1307 26333 
2011 1187 1172 1997 2470 3220 3372 3126 3636 2657 2680 1915 1215 28647 
2012 1475 1531 1956 2395 2984 3160 3046 3396 2013 2615 1845 1350 27766 
2013 1209 1410 1677 2628 3299 3141 3573 3090 2644 2767 1852 1231 28521 
2014 1524 1637 1779 2532 2933 3418 3811 2934 3129 2361 1745 892 28695 
2015 1173 1544 2054 2918 2759 3119 3586 3464 2202 2186 2056 1222 28283 
2016 926 1712 2021 2231 2928 3395 3400 3622 3092 2240 1649 981 28197 
2017 1199 1059 1906 2324 2942 3290 3611 3663 2475 2735 1636 1216 28056
2018 1498 1363 1576 2225 2707 2554 2874 2495 2485 1873 1303 910 23863 
2019 964 857 1797 2583 2856 2874 3601 3324 2922 1849 1384 646 25657
2020 917 986 1188 1675 2648 3229 3304 3380 3458 2761 2018 1236 26800
2021 929 1184 2119 2031 2450 3292 3352 3549 2960 1532 1779 1399 26576
